(ST-99-44) States Ranked by White Population, July 1, 1999
  
Source:  Population Estimates Program, Population Division, U.S. Census Bureau, Washington, DC  20233
  
Internet Release Date:  August 30, 2000
  
Contact:  Statistical Information Staff, Population Division, U.S. Census Bureau (301-457-2422)
           pop@census.gov (please include a phone number with email correspondence)

                               Estimated        4/1/90                        |-----7/1/99-----|
                                   White    Population |--4/1/90 to 7/1/99--|            Rank of
                             Population,     Estimates        Numeric Percent   Percent  Percent
Rank STATE                        7/1/99          Base         Change  Change     White    White
                                                                                                
   1 CALIFORNIA               26,306,164    24,263,159      2,043,005     8.4      79.4       37
   2 TEXAS                    16,899,229    14,534,465      2,364,764    16.3      84.3       30
   3 NEW YORK                 13,872,760    14,150,156       -277,396    -2.0      76.2       40
   4 FLORIDA                  12,436,096    10,972,071      1,464,025    13.3      82.3       34
   5 PENNSYLVANIA             10,602,898    10,622,482        -19,584    -0.2      88.4       24
   6 ILLINOIS                  9,830,204     9,406,601        423,603     4.5      81.1       36
   7 OHIO                      9,796,553     9,574,526        222,027     2.3      87.0       27
   8 MICHIGAN                  8,222,390     7,833,058        389,332     5.0      83.4       31
   9 NEW JERSEY                6,453,922     6,377,702         76,220     1.2      79.3       38
  10 NORTH CAROLINA            5,759,680     5,036,958        722,722    14.3      75.3       42
  11 MASSACHUSETTS             5,521,542     5,529,996         -8,454    -0.2      89.4       21
  12 GEORGIA                   5,373,060     4,636,435        736,625    15.9      69.0       46
  13 INDIANA                   5,371,185     5,058,714        312,471     6.2      90.4       20
  14 VIRGINIA                  5,210,494     4,844,011        366,483     7.6      75.8       41
  15 WASHINGTON                5,103,999     4,411,387        692,612    15.7      88.7       23
  16 WISCONSIN                 4,826,984     4,550,352        276,632     6.1      91.9       16
  17 MISSOURI                  4,769,006     4,505,213        263,793     5.9      87.2       26
  18 TENNESSEE                 4,504,674     4,055,755        448,919    11.1      82.1       35
  19 MINNESOTA                 4,437,800     4,149,994        287,806     6.9      92.9       12
  20 ARIZONA                   4,239,119     3,277,590        961,529    29.3      88.7       22
  21 COLORADO                  3,742,369     3,065,724        676,645    22.1      92.3       14
  22 KENTUCKY                  3,638,891     3,398,835        240,056     7.1      91.9       17
  23 MARYLAND                  3,492,062     3,430,055         62,007     1.8      67.5       47
  24 ALABAMA                   3,188,102     2,980,474        207,628     7.0      73.0       44
  25 OREGON                    3,098,494     2,684,559        413,935    15.4      93.4       11
  26 LOUISIANA                 2,882,781     2,858,290         24,491     0.9      65.9       48
  27 CONNECTICUT               2,880,829     2,946,216        -65,387    -2.2      87.8       25
  28 OKLAHOMA                  2,788,026     2,617,484        170,542     6.5      83.0       32
  29 IOWA                      2,765,593     2,694,983         70,610     2.6      96.4        5
  30 SOUTH CAROLINA            2,683,585     2,413,788        269,797    11.2      69.1       45
  31 KANSAS                    2,425,555     2,277,045        148,510     6.5      91.4       18
  32 ARKANSAS                  2,107,797     1,950,576        157,221     8.1      82.6       33
  33 UTAH                      2,025,663     1,651,359        374,304    22.7      95.1        8
  34 WEST VIRGINIA             1,739,602     1,727,113         12,489     0.7      96.3        6
  35 MISSISSIPPI               1,728,520     1,636,362         92,158     5.6      62.4       49
  36 NEBRASKA                  1,560,171     1,495,071         65,100     4.4      93.6       10
  37 NEVADA                    1,548,143     1,061,303        486,840    45.9      85.6       29
  38 NEW MEXICO                1,501,681     1,330,645        171,036    12.9      86.3       28
  39 MAINE                     1,231,546     1,210,001         21,545     1.8      98.3        2
  40 IDAHO                     1,213,053       978,667        234,386    23.9      96.9        4
  41 NEW HAMPSHIRE             1,174,519     1,090,365         84,154     7.7      97.8        3
  42 RHODE ISLAND                912,101       937,018        -24,917    -2.7      92.1       15
  43 MONTANA                     816,995       744,218         72,777     9.8      92.5       13
  44 SOUTH DAKOTA                662,823       638,678         24,145     3.8      90.4       19
  45 NORTH DAKOTA                593,754       605,675        -11,921    -2.0      93.7        9
  46 DELAWARE                    585,805       541,497         44,308     8.2      77.7       39
  47 VERMONT                     584,176       555,851         28,325     5.1      98.4        1
  48 ALASKA                      466,041       420,745         45,296    10.8      75.2       43
  49 WYOMING                     460,434       437,153         23,281     5.3      96.0        7
  50 HAWAII                      391,489       379,248         12,241     3.2      33.0       51
  51 DISTRICT OF COLUMBIA        182,438       191,321         -8,883    -4.6      35.2       50
