table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 3. Intercensal Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Rhode Island: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
"Sex, Race, and Hispanic Origin","April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,
BOTH SEXES,"1,048,259","1,050,268","1,057,142","1,065,995","1,071,342","1,074,579","1,067,916","1,063,096","1,057,315","1,055,003","1,053,646","1,052,567","1,052,886"
.One Race,"1,034,583","1,036,463","1,042,231","1,049,958","1,054,231","1,056,305","1,048,691","1,042,723","1,035,930","1,032,353","1,029,835","1,027,869","1,027,866"
..White,"942,268","943,392","945,933","949,738","950,441","949,376","939,748","932,328","923,855","918,265","913,480","910,253","910,062"
..Black,"59,931","60,320","62,318","64,599","66,719","68,779","69,875","70,831","72,053","73,099","74,365","75,073","75,196"
..AIAN,"5,910","5,994","6,305","6,674","7,057","7,322","7,704","8,034","8,155","8,477","8,886","9,173","9,160"
..Asian,"25,335","25,617","26,460","27,675","28,678","29,458","29,915","30,096","30,366","31,015","31,502","31,768","31,860"
..NHPI,"1,139","1,140","1,215","1,272","1,336","1,370","1,449","1,434","1,501","1,497","1,602","1,602","1,588"
.Two or More Races,"13,676","13,805","14,911","16,037","17,111","18,274","19,225","20,373","21,385","22,650","23,811","24,698","25,020"
.NOT HISPANIC,"957,438","958,614","960,467","964,041","964,250","963,563","953,679","945,439","936,797","930,812","925,785","921,912","921,503"
..One Race,"945,943","947,008","948,026","950,791","950,288","948,733","938,297","929,359","920,009","913,224","907,411","903,054","902,454"
...White,"869,347","869,890","868,490","868,343","865,404","861,554","850,027","840,414","830,035","822,044","815,324","810,631","809,917"
...Black,"46,851","47,071","48,610","50,334","51,740","53,268","53,922","54,522","55,382","56,060","56,539","56,797","56,834"
...AIAN,"4,501","4,519","4,555","4,617","4,691","4,692","4,731","4,710","4,617","4,599","4,558","4,421","4,400"
...Asian,"24,727","25,011","25,817","26,922","27,872","28,606","28,987","29,121","29,358","29,934","30,348","30,588","30,686"
...NHPI,517,517,554,575,581,613,630,592,617,587,642,617,617
..Two or More Races,"11,495","11,606","12,441","13,250","13,962","14,830","15,382","16,080","16,788","17,588","18,374","18,858","19,049"
.HISPANIC,"90,821","91,654","96,675","101,954","107,092","111,016","114,237","117,657","120,518","124,191","127,861","130,655","131,383"
..One Race,"88,640","89,455","94,205","99,167","103,943","107,572","110,394","113,364","115,921","119,129","122,424","124,815","125,412"
...White,"72,921","73,502","77,443","81,395","85,037","87,822","89,721","91,914","93,820","96,221","98,156","99,622","100,145"
...Black,"13,080","13,249","13,708","14,265","14,979","15,511","15,953","16,309","16,671","17,039","17,826","18,276","18,362"
...AIAN,"1,409","1,475","1,750","2,057","2,366","2,630","2,973","3,324","3,538","3,878","4,328","4,752","4,760"
...Asian,608,606,643,753,806,852,928,975,"1,008","1,081","1,154","1,180","1,174"
...NHPI,622,623,661,697,755,757,819,842,884,910,960,985,971
..Two or More Races,"2,181","2,199","2,470","2,787","3,149","3,444","3,843","4,293","4,597","5,062","5,437","5,840","5,971"
MALE,"503,603","504,494","508,168","512,905","515,752","518,204","515,084","512,962","510,456","509,591","508,882","508,400","508,643"
.One Race,"497,133","497,971","501,095","505,237","507,546","509,351","505,778","503,138","500,099","498,534","497,308","496,384","496,464"
..White,"451,665","452,162","453,765","456,069","456,703","456,799","452,400","448,894","445,164","442,755","440,369","438,951","438,936"
..Black,"29,735","29,910","30,834","31,926","32,947","34,150","34,659","35,312","35,828","36,257","36,870","37,186","37,258"
..AIAN,"2,873","2,911","3,086","3,221","3,425","3,559","3,708","3,907","3,993","4,108","4,346","4,508","4,498"
..Asian,"12,320","12,447","12,836","13,401","13,829","14,169","14,300","14,324","14,356","14,656","14,906","14,946","14,987"
..NHPI,540,541,574,620,642,674,711,701,758,758,817,793,785
.Two or More Races,"6,470","6,523","7,073","7,668","8,206","8,853","9,306","9,824","10,357","11,057","11,574","12,016","12,179"
.NOT HISPANIC,"458,838","459,351","460,482","462,605","462,887","463,345","458,557","454,653","450,695","448,174","445,697","443,882","443,737"
..One Race,"453,406","453,875","454,604","456,292","456,208","456,192","451,113","446,910","442,572","439,575","436,745","434,706","434,484"
...White,"415,582","415,810","415,436","415,707","414,473","413,129","407,732","403,118","398,418","394,927","391,605","389,516","389,234"
...Black,"23,353","23,455","24,146","25,029","25,722","26,722","26,996","27,408","27,791","28,084","28,322","28,381","28,408"
...AIAN,"2,168","2,177","2,204","2,224","2,275","2,257","2,239","2,251","2,201","2,176","2,175","2,137","2,126"
...Asian,"12,063","12,193","12,557","13,054","13,461","13,776","13,840","13,840","13,853","14,093","14,309","14,361","14,405"
...NHPI,240,240,261,278,277,308,306,293,309,295,334,311,311
..Two or More Races,"5,432","5,476","5,878","6,313","6,679","7,153","7,444","7,743","8,123","8,599","8,952","9,176","9,253"
.HISPANIC,"44,765","45,143","47,686","50,300","52,865","54,859","56,527","58,309","59,761","61,417","63,185","64,518","64,906"
..One Race,"43,727","44,096","46,491","48,945","51,338","53,159","54,665","56,228","57,527","58,959","60,563","61,678","61,980"
...White,"36,083","36,352","38,329","40,362","42,230","43,670","44,668","45,776","46,746","47,828","48,764","49,435","49,702"
...Black,"6,382","6,455","6,688","6,897","7,225","7,428","7,663","7,904","8,037","8,173","8,548","8,805","8,850"
...AIAN,705,734,882,997,"1,150","1,302","1,469","1,656","1,792","1,932","2,171","2,371","2,372"
...Asian,257,254,279,347,368,393,460,484,503,563,597,585,582
...NHPI,300,301,313,342,365,366,405,408,449,463,483,482,474
..Two or More Races,"1,038","1,047","1,195","1,355","1,527","1,700","1,862","2,081","2,234","2,458","2,622","2,840","2,926"
FEMALE,"544,656","545,774","548,974","553,090","555,590","556,375","552,832","550,134","546,859","545,412","544,764","544,167","544,243"
.One Race,"537,450","538,492","541,136","544,721","546,685","546,954","542,913","539,585","535,831","533,819","532,527","531,485","531,402"
..White,"490,603","491,230","492,168","493,669","493,738","492,577","487,348","483,434","478,691","475,510","473,111","471,302","471,126"
..Black,"30,196","30,410","31,484","32,673","33,772","34,629","35,216","35,519","36,225","36,842","37,495","37,887","37,938"
..AIAN,"3,037","3,083","3,219","3,453","3,632","3,763","3,996","4,127","4,162","4,369","4,540","4,665","4,662"
..Asian,"13,015","13,170","13,624","14,274","14,849","15,289","15,615","15,772","16,010","16,359","16,596","16,822","16,873"
..NHPI,599,599,641,652,694,696,738,733,743,739,785,809,803
.Two or More Races,"7,206","7,282","7,838","8,369","8,905","9,421","9,919","10,549","11,028","11,593","12,237","12,682","12,841"
.NOT HISPANIC,"498,600","499,263","499,985","501,436","501,363","500,218","495,122","490,786","486,102","482,638","480,088","478,030","477,766"
..One Race,"492,537","493,133","493,422","494,499","494,080","492,541","487,184","482,449","477,437","473,649","470,666","468,348","467,970"
...White,"453,765","454,080","453,054","452,636","450,931","448,425","442,295","437,296","431,617","427,117","423,719","421,115","420,683"
...Black,"23,498","23,616","24,464","25,305","26,018","26,546","26,926","27,114","27,591","27,976","28,217","28,416","28,426"
...AIAN,"2,333","2,342","2,351","2,393","2,416","2,435","2,492","2,459","2,416","2,423","2,383","2,284","2,274"
...Asian,"12,664","12,818","13,260","13,868","14,411","14,830","15,147","15,281","15,505","15,841","16,039","16,227","16,281"
...NHPI,277,277,293,297,304,305,324,299,308,292,308,306,306
..Two or More Races,"6,063","6,130","6,563","6,937","7,283","7,677","7,938","8,337","8,665","8,989","9,422","9,682","9,796"
.HISPANIC,"46,056","46,511","48,989","51,654","54,227","56,157","57,710","59,348","60,757","62,774","64,676","66,137","66,477"
..One Race,"44,913","45,359","47,714","50,222","52,605","54,413","55,729","57,136","58,394","60,170","61,861","63,137","63,432"
...White,"36,838","37,150","39,114","41,033","42,807","44,152","45,053","46,138","47,074","48,393","49,392","50,187","50,443"
...Black,"6,698","6,794","7,020","7,368","7,754","8,083","8,290","8,405","8,634","8,866","9,278","9,471","9,512"
...AIAN,704,741,868,"1,060","1,216","1,328","1,504","1,668","1,746","1,946","2,157","2,381","2,388"
...Asian,351,352,364,406,438,459,468,491,505,518,557,595,592
...NHPI,322,322,348,355,390,391,414,434,435,447,477,503,497
..Two or More Races,"1,143","1,152","1,275","1,432","1,622","1,744","1,981","2,212","2,363","2,604","2,815","3,000","3,045"
"1 The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program, legal boundary updates, and other geographic program revisions.  The original race data from 
Census 2000 are modified to reclassify the Some Other Race category.  For more information see http://www.census.gov/popest/research/modified.html.",,,,,,,,,,,,,
"2 The data source for April 1, 2010 is the 2010 Census count.  The original race data from the 2010 Census are modified to reclassify the Some Other Race category.  For more information see 
http://www.census.gov/popest/methodology/2000-2010_Intercensal_Estimates_Methodology.pdf.",,,,,,,,,,,,,
"3 The values for July 1, 2010 were produced by applying estimates of change in the population between April 1 and July 1 of 2010 to the 2010 Census counts.  Further details on this methodology are available
 at http://www.census.gov/popest/methodology/2000-2010_Intercensal_Estimates_Methodology.pdf.",,,,,,,,,,,,,
"Note: Hispanic origin is considered an ethnicity, not a race.  Hispanics may be of any race.  Abbreviations: Black = Black or African American; AIAN = American Indian and Alaska Native; 
NHPI = Native Hawaiian and Other Pacific Islander.",,,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,,
"Table 3. Intercensal Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Rhode Island: April 1, 2000 to July 1, 2010 (ST-EST2010-03-44)",,,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,,
Release Date: October 2012,,,,,,,,,,,,,
