table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 3. Intercensal Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Alabama: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
"Sex, Race, and Hispanic Origin","April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,
BOTH SEXES,"4,447,207","4,452,173","4,467,634","4,480,089","4,503,491","4,530,729","4,569,805","4,628,981","4,672,840","4,718,206","4,757,938","4,779,736","4,785,298"
.One Race,"4,411,192","4,415,743","4,428,808","4,438,999","4,459,951","4,484,597","4,520,807","4,576,943","4,617,741","4,659,602","4,695,919","4,715,452","4,720,526"
..White,"3,195,561","3,196,875","3,201,387","3,204,279","3,215,079","3,227,772","3,249,443","3,283,056","3,308,005","3,332,141","3,353,244","3,362,877","3,364,465"
..Black,"1,158,988","1,161,454","1,167,403","1,171,672","1,178,398","1,186,375","1,197,062","1,215,481","1,227,620","1,241,613","1,252,307","1,259,224","1,262,341"
..AIAN,"22,967","23,262","24,084","24,966","25,920","26,755","27,606","28,666","29,666","30,722","31,825","32,903","33,008"
..Asian,"32,142","32,544","33,971","35,810","37,929","40,712","43,406","46,030","48,454","50,683","53,747","55,240","55,510"
..NHPI,"1,534","1,608","1,963","2,272","2,625","2,983","3,290","3,710","3,996","4,443","4,796","5,208","5,202"
.Two or More Races,"36,015","36,430","38,826","41,090","43,540","46,132","48,998","52,038","55,099","58,604","62,019","64,284","64,772"
.NOT HISPANIC,"4,371,386","4,375,157","4,381,912","4,385,910","4,400,019","4,417,445","4,444,983","4,491,139","4,522,188","4,554,497","4,581,420","4,594,134","4,598,451"
..One Race,"4,336,747","4,340,154","4,344,922","4,347,053","4,359,199","4,374,407","4,399,631","4,443,218","4,471,673","4,501,022","4,525,049","4,535,853","4,539,887"
...White,"3,130,563","3,131,028","3,128,439","3,124,451","3,127,696","3,132,265","3,144,397","3,167,057","3,181,159","3,194,543","3,205,366","3,207,965","3,208,616"
...Black,"1,151,729","1,154,109","1,159,749","1,163,654","1,169,990","1,177,537","1,187,604","1,205,350","1,216,925","1,230,092","1,240,016","1,246,251","1,249,297"
...AIAN,"21,791","21,956","22,283","22,649","23,102","23,448","23,799","24,303","24,786","25,214","25,569","26,039","26,110"
...Asian,"31,586","31,978","33,290","35,066","37,085","39,733","42,362","44,890","47,144","49,371","52,244","53,575","53,841"
...NHPI,"1,078","1,083","1,161","1,233","1,326","1,424","1,469","1,618","1,659","1,802","1,854","2,023","2,023"
..Two or More Races,"34,639","35,003","36,990","38,857","40,820","43,038","45,352","47,921","50,515","53,475","56,371","58,281","58,564"
.HISPANIC,"75,821","77,016","85,722","94,179","103,472","113,284","124,822","137,842","150,652","163,709","176,518","185,602","186,847"
..One Race,"74,445","75,589","83,886","91,946","100,752","110,190","121,176","133,725","146,068","158,580","170,870","179,599","180,639"
...White,"64,998","65,847","72,948","79,828","87,383","95,507","105,046","115,999","126,846","137,598","147,878","154,912","155,849"
...Black,"7,259","7,345","7,654","8,018","8,408","8,838","9,458","10,131","10,695","11,521","12,291","12,973","13,044"
...AIAN,"1,176","1,306","1,801","2,317","2,818","3,307","3,807","4,363","4,880","5,508","6,256","6,864","6,898"
...Asian,556,566,681,744,844,979,"1,044","1,140","1,310","1,312","1,503","1,665","1,669"
...NHPI,456,525,802,"1,039","1,299","1,559","1,821","2,092","2,337","2,641","2,942","3,185","3,179"
..Two or More Races,"1,376","1,427","1,836","2,233","2,720","3,094","3,646","4,117","4,584","5,129","5,648","6,003","6,208"
MALE,"2,146,560","2,149,338","2,158,138","2,165,719","2,179,422","2,192,872","2,213,382","2,243,501","2,265,565","2,287,949","2,309,779","2,320,188","2,323,317"
.One Race,"2,129,170","2,131,735","2,139,363","2,145,750","2,158,203","2,170,339","2,189,399","2,218,038","2,238,614","2,259,304","2,279,448","2,288,718","2,291,585"
..White,"1,564,045","1,564,949","1,568,320","1,570,843","1,577,854","1,584,510","1,596,161","1,613,829","1,627,055","1,639,481","1,651,374","1,655,851","1,656,912"
..Black,"537,530","538,795","541,736","543,961","547,635","551,123","556,584","565,542","571,152","577,562","583,504","586,864","588,483"
..AIAN,"11,594","11,750","12,178","12,671","13,154","13,566","14,031","14,571","15,008","15,633","16,196","16,793","16,854"
..Asian,"15,179","15,375","16,047","17,020","18,080","19,472","20,771","21,981","23,122","24,086","25,653","26,241","26,365"
..NHPI,822,866,"1,082","1,255","1,480","1,668","1,852","2,115","2,277","2,542","2,721","2,969","2,971"
.Two or More Races,"17,390","17,603","18,775","19,969","21,219","22,533","23,983","25,463","26,951","28,645","30,331","31,470","31,732"
.NOT HISPANIC,"2,103,448","2,105,469","2,109,450","2,112,343","2,120,877","2,128,979","2,143,111","2,166,023","2,181,290","2,196,499","2,210,995","2,216,405","2,218,813"
..One Race,"2,086,753","2,088,598","2,091,638","2,093,575","2,101,107","2,108,101","2,121,100","2,142,783","2,156,794","2,170,625","2,183,729","2,188,168","2,190,418"
...White,"1,526,385","1,526,743","1,526,185","1,524,987","1,527,793","1,530,095","1,536,529","1,548,231","1,555,756","1,562,282","1,568,357","1,569,042","1,569,557"
...Black,"534,062","535,274","538,069","540,038","543,496","546,710","551,811","560,325","565,599","571,562","577,049","579,967","581,540"
...AIAN,"10,911","10,993","11,143","11,336","11,530","11,664","11,839","12,057","12,198","12,439","12,573","12,810","12,848"
...Asian,"14,870","15,059","15,663","16,605","17,609","18,923","20,177","21,333","22,373","23,384","24,794","25,296","25,418"
...NHPI,525,529,578,609,679,709,744,837,868,958,956,"1,053","1,055"
..Two or More Races,"16,695","16,871","17,812","18,768","19,770","20,878","22,011","23,240","24,496","25,874","27,266","28,237","28,395"
.HISPANIC,"43,112","43,869","48,688","53,376","58,545","63,893","70,271","77,478","84,275","91,450","98,784","103,783","104,504"
..One Race,"42,417","43,137","47,725","52,175","57,096","62,238","68,299","75,255","81,820","88,679","95,719","100,550","101,167"
...White,"37,660","38,206","42,135","45,856","50,061","54,415","59,632","65,598","71,299","77,199","83,017","86,809","87,355"
...Black,"3,468","3,521","3,667","3,923","4,139","4,413","4,773","5,217","5,553","6,000","6,455","6,897","6,943"
...AIAN,683,757,"1,035","1,335","1,624","1,902","2,192","2,514","2,810","3,194","3,623","3,983","4,006"
...Asian,309,316,384,415,471,549,594,648,749,702,859,945,947
...NHPI,297,337,504,646,801,959,"1,108","1,278","1,409","1,584","1,765","1,916","1,916"
..Two or More Races,695,732,963,"1,201","1,449","1,655","1,972","2,223","2,455","2,771","3,065","3,233","3,337"
FEMALE,"2,300,647","2,302,835","2,309,496","2,314,370","2,324,069","2,337,857","2,356,423","2,385,480","2,407,275","2,430,257","2,448,159","2,459,548","2,461,981"
.One Race,"2,282,022","2,284,008","2,289,445","2,293,249","2,301,748","2,314,258","2,331,408","2,358,905","2,379,127","2,400,298","2,416,471","2,426,734","2,428,941"
..White,"1,631,516","1,631,926","1,633,067","1,633,436","1,637,225","1,643,262","1,653,282","1,669,227","1,680,950","1,692,660","1,701,870","1,707,026","1,707,553"
..Black,"621,458","622,659","625,667","627,711","630,763","635,252","640,478","649,939","656,468","664,051","668,803","672,360","673,858"
..AIAN,"11,373","11,512","11,906","12,295","12,766","13,189","13,575","14,095","14,658","15,089","15,629","16,110","16,154"
..Asian,"16,963","17,169","17,924","18,790","19,849","21,240","22,635","24,049","25,332","26,597","28,094","28,999","29,145"
..NHPI,712,742,881,"1,017","1,145","1,315","1,438","1,595","1,719","1,901","2,075","2,239","2,231"
.Two or More Races,"18,625","18,827","20,051","21,121","22,321","23,599","25,015","26,575","28,148","29,959","31,688","32,814","33,040"
.NOT HISPANIC,"2,267,938","2,269,688","2,272,462","2,273,567","2,279,142","2,288,466","2,301,872","2,325,116","2,340,898","2,357,998","2,370,425","2,377,729","2,379,638"
..One Race,"2,249,994","2,251,556","2,253,284","2,253,478","2,258,092","2,266,306","2,278,531","2,300,435","2,314,879","2,330,397","2,341,320","2,347,685","2,349,469"
...White,"1,604,178","1,604,285","1,602,254","1,599,464","1,599,903","1,602,170","1,607,868","1,618,826","1,625,403","1,632,261","1,637,009","1,638,923","1,639,059"
...Black,"617,667","618,835","621,680","623,616","626,494","630,827","635,793","645,025","651,326","658,530","662,967","666,284","667,757"
...AIAN,"10,880","10,963","11,140","11,313","11,572","11,784","11,960","12,246","12,588","12,775","12,996","13,229","13,262"
...Asian,"16,716","16,919","17,627","18,461","19,476","20,810","22,185","23,557","24,771","25,987","27,450","28,279","28,423"
...NHPI,553,554,583,624,647,715,725,781,791,844,898,970,968
..Two or More Races,"17,944","18,132","19,178","20,089","21,050","22,160","23,341","24,681","26,019","27,601","29,105","30,044","30,169"
.HISPANIC,"32,709","33,147","37,034","40,803","44,927","49,391","54,551","60,364","66,377","72,259","77,734","81,819","82,343"
..One Race,"32,028","32,452","36,161","39,771","43,656","47,952","52,877","58,470","64,248","69,901","75,151","79,049","79,472"
...White,"27,338","27,641","30,813","33,972","37,322","41,092","45,414","50,401","55,547","60,399","64,861","68,103","68,494"
...Black,"3,791","3,824","3,987","4,095","4,269","4,425","4,685","4,914","5,142","5,521","5,836","6,076","6,101"
...AIAN,493,549,766,982,"1,194","1,405","1,615","1,849","2,070","2,314","2,633","2,881","2,892"
...Asian,247,250,297,329,373,430,450,492,561,610,644,720,722
...NHPI,159,188,298,393,498,600,713,814,928,"1,057","1,177","1,269","1,263"
..Two or More Races,681,695,873,"1,032","1,271","1,439","1,674","1,894","2,129","2,358","2,583","2,770","2,871"
"1 The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program, legal boundary updates, and other geographic program revisions.  The original race data from 
Census 2000 are modified to reclassify the Some Other Race category.  For more information see http://www.census.gov/popest/research/modified.html.",,,,,,,,,,,,,
"2 The data source for April 1, 2010 is the 2010 Census count.  The original race data from the 2010 Census are modified to reclassify the Some Other Race category.  For more information see 
http://www.census.gov/popest/methodology/2000-2010_Intercensal_Estimates_Methodology.pdf.",,,,,,,,,,,,,
"3 The values for July 1, 2010 were produced by applying estimates of change in the population between April 1 and July 1 of 2010 to the 2010 Census counts.  Further details on this methodology are available
 at http://www.census.gov/popest/methodology/2000-2010_Intercensal_Estimates_Methodology.pdf.",,,,,,,,,,,,,
"Note: Hispanic origin is considered an ethnicity, not a race.  Hispanics may be of any race.  Abbreviations: Black = Black or African American; AIAN = American Indian and Alaska Native; 
NHPI = Native Hawaiian and Other Pacific Islander.",,,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,,
"Table 3. Intercensal Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Alabama: April 1, 2000 to July 1, 2010 (ST-EST2010-03-01)",,,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,,
Release Date: October 2012,,,,,,,,,,,,,
