table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 3. Intercensal Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Alaska: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
"Sex, Race, and Hispanic Origin","April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,
BOTH SEXES,"626,933","627,963","633,714","642,337","648,414","659,286","666,946","675,302","680,300","687,455","698,895","710,231","713,985"
.One Race,"597,203","597,777","602,220","609,330","613,886","622,671","628,504","634,641","637,825","643,020","652,034","661,126","664,355"
..White,"446,431","446,506","448,602","452,784","454,912","460,845","464,201","468,452","469,996","472,582","477,369","483,873","485,944"
..Black,"22,909","22,843","23,269","23,838","23,633","23,841","23,577","23,544","23,785","23,955","23,979","24,441","24,582"
..AIAN,"98,743","98,931","99,332","99,969","100,717","101,835","102,888","103,603","103,803","104,406","105,769","106,268","106,911"
..Asian,"25,695","26,007","27,198","28,482","29,929","31,077","32,350","33,258","34,072","35,488","37,726","38,882","39,225"
..NHPI,"3,425","3,490","3,819","4,257","4,695","5,073","5,488","5,784","6,169","6,589","7,191","7,662","7,693"
.Two or More Races,"29,730","30,186","31,494","33,007","34,528","36,615","38,442","40,661","42,475","44,435","46,861","49,105","49,630"
.NOT HISPANIC,"601,081","602,000","605,725","612,394","616,997","626,407","632,524","639,797","644,071","650,199","660,663","670,982","674,115"
..One Race,"572,951","573,440","576,086","581,468","584,828","592,415","597,073","602,453","605,237","609,689","618,023","626,318","629,198"
...White,"426,367","426,371","427,257","430,259","431,601","436,721","439,277","443,017","444,259","446,429","450,661","456,394","458,206"
...Black,"21,295","21,214","21,525","22,014","21,786","21,895","21,579","21,508","21,667","21,775","21,723","22,157","22,270"
...AIAN,"96,891","97,082","97,176","97,482","97,992","98,883","99,703","100,292","100,427","100,932","102,248","102,747","103,350"
