table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 3. Intercensal Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Arizona: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
"Sex, Race, and Hispanic Origin","April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,
BOTH SEXES,"5,130,247","5,160,586","5,273,477","5,396,255","5,510,364","5,652,404","5,839,077","6,029,141","6,167,681","6,280,362","6,343,154","6,392,017","6,413,737"
.One Race,"5,059,866","5,088,683","5,195,023","5,310,941","5,417,912","5,551,971","5,729,479","5,909,525","6,038,898","6,142,437","6,196,701","6,239,234","6,260,012"
..White,"4,518,143","4,542,461","4,629,736","4,723,484","4,808,335","4,915,749","5,057,542","5,196,133","5,290,642","5,361,814","5,391,934","5,418,483","5,435,779"
..Black,"168,952","170,022","177,795","186,140","194,179","205,171","218,998","235,636","249,757","263,512","274,594","280,905","281,942"
..AIAN,"266,542","268,184","271,935","277,602","283,724","290,212","298,844","308,302","316,798","325,262","330,731","335,278","336,476"
..Asian,"97,677","99,270","106,209","113,754","121,029","129,542","141,711","156,142","167,344","176,686","183,714","188,456","189,630"
..NHPI,"8,552","8,746","9,348","9,961","10,645","11,297","12,384","13,312","14,357","15,163","15,728","16,112","16,185"
.Two or More Races,"70,381","71,903","78,454","85,314","92,452","100,433","109,598","119,616","128,783","137,925","146,453","152,783","153,725"
.NOT HISPANIC,"3,834,631","3,851,197","3,906,561","3,969,818","4,029,456","4,111,398","4,220,738","4,327,178","4,394,036","4,449,496","4,476,334","4,496,868","4,504,823"
..One Race,"3,777,017","3,792,601","3,843,757","3,902,670","3,957,822","4,034,601","4,137,966","4,237,835","4,298,962","4,348,931","4,370,805","4,387,725","4,394,886"
...White,"3,291,673","3,303,962","3,341,475","3,384,155","3,423,719","3,481,436","3,557,990","3,626,365","3,662,620","3,690,345","3,697,254","3,705,038","3,709,615"
...Black,"152,119","152,868","158,955","165,509","171,619","180,398","191,685","205,279","216,675","227,716","236,554","240,946","241,661"
...AIAN,"236,056","237,071","237,858","240,182","242,579","244,897","248,601","252,534","255,265","257,690","257,580","258,184","258,929"
...Asian,"91,299","92,690","99,053","105,993","112,539","120,138","131,191","144,499","154,566","162,847","168,607","172,403","173,480"
...NHPI,"5,870","6,010","6,416","6,831","7,366","7,732","8,499","9,158","9,836","10,333","10,810","11,154","11,201"
..Two or More Races,"57,614","58,596","62,804","67,148","71,634","76,797","82,772","89,343","95,074","100,565","105,529","109,143","109,937"
.HISPANIC,"1,295,616","1,309,389","1,366,916","1,426,437","1,480,908","1,541,006","1,618,339","1,701,963","1,773,645","1,830,866","1,866,820","1,895,149","1,908,914"
..One Race,"1,282,849","1,296,082","1,351,266","1,408,271","1,460,090","1,517,370","1,591,513","1,671,690","1,739,936","1,793,506","1,825,896","1,851,509","1,865,126"
...White,"1,226,470","1,238,499","1,288,261","1,339,329","1,384,616","1,434,313","1,499,552","1,569,768","1,628,022","1,671,469","1,694,680","1,713,445","1,726,164"
...Black,"16,833","17,154","18,840","20,631","22,560","24,773","27,313","30,357","33,082","35,796","38,040","39,959","40,281"
...AIAN,"30,486","31,113","34,077","37,420","41,145","45,315","50,243","55,768","61,533","67,572","73,151","77,094","77,547"
...Asian,"6,378","6,580","7,156","7,761","8,490","9,404","10,520","11,643","12,778","13,839","15,107","16,053","16,150"
...NHPI,"2,682","2,736","2,932","3,130","3,279","3,565","3,885","4,154","4,521","4,830","4,918","4,958","4,984"
..Two or More Races,"12,767","13,307","15,650","18,166","20,818","23,636","26,826","30,273","33,709","37,360","40,924","43,640","43,788"
MALE,"2,560,865","2,576,007","2,631,801","2,692,038","2,746,287","2,816,798","2,908,266","3,003,007","3,070,683","3,125,084","3,153,246","3,175,823","3,187,204"
.One Race,"2,525,858","2,540,222","2,592,768","2,649,508","2,700,278","2,766,730","2,853,639","2,943,444","3,006,554","3,056,605","3,080,566","3,099,913","3,110,805"
..White,"2,256,517","2,268,595","2,311,494","2,357,156","2,397,192","2,450,178","2,519,368","2,588,419","2,634,002","2,667,658","2,679,632","2,691,009","2,700,120"
..Black,"88,503","89,116","93,169","97,529","101,428","107,233","114,395","123,115","130,377","137,585","143,213","146,394","146,983"
..AIAN,"130,453","131,287","133,338","136,243","139,304","142,742","147,073","151,822","156,264","160,490","163,311","165,721","166,333"
..Asian,"45,902","46,636","49,827","53,235","56,649","60,519","66,133","72,927","78,171","82,712","85,909","88,100","88,637"
..NHPI,"4,483","4,588","4,940","5,345","5,705","6,058","6,670","7,161","7,740","8,160","8,501","8,689","8,732"
.Two or More Races,"35,007","35,785","39,033","42,530","46,009","50,068","54,627","59,563","64,129","68,479","72,680","75,910","76,399"
.NOT HISPANIC,"1,891,100","1,899,663","1,927,158","1,958,576","1,987,247","2,029,077","2,083,323","2,137,937","2,171,829","2,199,892","2,213,304","2,224,033","2,228,281"
..One Race,"1,862,483","1,870,541","1,895,991","1,925,210","1,951,710","1,990,880","2,042,176","2,093,589","2,124,644","2,150,149","2,161,152","2,170,072","2,173,911"
...White,"1,621,746","1,628,148","1,646,794","1,668,014","1,687,086","1,716,660","1,754,719","1,790,342","1,808,894","1,823,252","1,826,794","1,831,287","1,833,818"
...Black,"80,182","80,634","83,774","87,285","90,247","94,974","100,862","108,103","114,054","119,888","124,507","126,699","127,117"
...AIAN,"114,687","115,172","115,683","116,783","117,933","119,145","120,975","122,846","124,313","125,454","125,389","125,747","126,118"
...Asian,"42,755","43,394","46,289","49,379","52,419","55,857","60,936","67,212","71,923","75,849","78,455","80,142","80,632"
...NHPI,"3,113","3,193","3,451","3,749","4,025","4,244","4,684","5,086","5,460","5,706","6,007","6,197","6,226"
..Two or More Races,"28,617","29,122","31,167","33,366","35,537","38,197","41,147","44,348","47,185","49,743","52,152","53,961","54,370"
.HISPANIC,"669,765","676,344","704,643","733,462","759,040","787,721","824,943","865,070","898,854","925,192","939,942","951,790","958,923"
..One Race,"663,375","669,681","696,777","724,298","748,568","775,850","811,463","849,855","881,910","906,456","919,414","929,841","936,894"
...White,"634,771","640,447","664,700","689,142","710,106","733,518","764,649","798,077","825,108","844,406","852,838","859,722","866,302"
...Black,"8,321","8,482","9,395","10,244","11,181","12,259","13,533","15,012","16,323","17,697","18,706","19,695","19,866"
...AIAN,"15,766","16,115","17,655","19,460","21,371","23,597","26,098","28,976","31,951","35,036","37,922","39,974","40,215"
...Asian,"3,147","3,242","3,538","3,856","4,230","4,662","5,197","5,715","6,248","6,863","7,454","7,958","8,005"
...NHPI,"1,370","1,395","1,489","1,596","1,680","1,814","1,986","2,075","2,280","2,454","2,494","2,492","2,506"
..Two or More Races,"6,390","6,663","7,866","9,164","10,472","11,871","13,480","15,215","16,944","18,736","20,528","21,949","22,029"
FEMALE,"2,569,382","2,584,579","2,641,676","2,704,217","2,764,077","2,835,606","2,930,811","3,026,134","3,096,998","3,155,278","3,189,908","3,216,194","3,226,533"
.One Race,"2,534,008","2,548,461","2,602,255","2,661,433","2,717,634","2,785,241","2,875,840","2,966,081","3,032,344","3,085,832","3,116,135","3,139,321","3,149,207"
..White,"2,261,626","2,273,866","2,318,242","2,366,328","2,411,143","2,465,571","2,538,174","2,607,714","2,656,640","2,694,156","2,712,302","2,727,474","2,735,659"
..Black,"80,449","80,906","84,626","88,611","92,751","97,938","104,603","112,521","119,380","125,927","131,381","134,511","134,959"
..AIAN,"136,089","136,897","138,597","141,359","144,420","147,470","151,771","156,480","160,534","164,772","167,420","169,557","170,143"
..Asian,"51,775","52,634","56,382","60,519","64,380","69,023","75,578","83,215","89,173","93,974","97,805","100,356","100,993"
..NHPI,"4,069","4,158","4,408","4,616","4,940","5,239","5,714","6,151","6,617","7,003","7,227","7,423","7,453"
.Two or More Races,"35,374","36,118","39,421","42,784","46,443","50,365","54,971","60,053","64,654","69,446","73,773","76,873","77,326"
.NOT HISPANIC,"1,943,531","1,951,534","1,979,403","2,011,242","2,042,209","2,082,321","2,137,415","2,189,241","2,222,207","2,249,604","2,263,030","2,272,835","2,276,542"
..One Race,"1,914,534","1,922,060","1,947,766","1,977,460","2,006,112","2,043,721","2,095,790","2,144,246","2,174,318","2,198,782","2,209,653","2,217,653","2,220,975"
...White,"1,669,927","1,675,814","1,694,681","1,716,141","1,736,633","1,764,776","1,803,271","1,836,023","1,853,726","1,867,093","1,870,460","1,873,751","1,875,797"
...Black,"71,937","72,234","75,181","78,224","81,372","85,424","90,823","97,176","102,621","107,828","112,047","114,247","114,544"
...AIAN,"121,369","121,899","122,175","123,399","124,646","125,752","127,626","129,688","130,952","132,236","132,191","132,437","132,811"
...Asian,"48,544","49,296","52,764","56,614","60,120","64,281","70,255","77,287","82,643","86,998","90,152","92,261","92,848"
...NHPI,"2,757","2,817","2,965","3,082","3,341","3,488","3,815","4,072","4,376","4,627","4,803","4,957","4,975"
..Two or More Races,"28,997","29,474","31,637","33,782","36,097","38,600","41,625","44,995","47,889","50,822","53,377","55,182","55,567"
.HISPANIC,"625,851","633,045","662,273","692,975","721,868","753,285","793,396","836,893","874,791","905,674","926,878","943,359","949,991"
..One Race,"619,474","626,401","654,489","683,973","711,522","741,520","780,050","821,835","858,026","887,050","906,482","921,668","928,232"
...White,"591,699","598,052","623,561","650,187","674,510","700,795","734,903","771,691","802,914","827,063","841,842","853,723","859,862"
...Black,"8,512","8,672","9,445","10,387","11,379","12,514","13,780","15,345","16,759","18,099","19,334","20,264","20,415"
...AIAN,"14,720","14,998","16,422","17,960","19,774","21,718","24,145","26,792","29,582","32,536","35,229","37,120","37,332"
...Asian,"3,231","3,338","3,618","3,905","4,260","4,742","5,323","5,928","6,530","6,976","7,653","8,095","8,145"
...NHPI,"1,312","1,341","1,443","1,534","1,599","1,751","1,899","2,079","2,241","2,376","2,424","2,466","2,478"
..Two or More Races,"6,377","6,644","7,784","9,002","10,346","11,765","13,346","15,058","16,765","18,624","20,396","21,691","21,759"
"1 The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program, legal boundary updates, and other geographic program revisions.  The original race data from 
Census 2000 are modified to reclassify the Some Other Race category.  For more information see http://www.census.gov/popest/research/modified.html.",,,,,,,,,,,,,
"2 The data source for April 1, 2010 is the 2010 Census count.  The original race data from the 2010 Census are modified to reclassify the Some Other Race category.  For more information see 
http://www.census.gov/popest/methodology/2000-2010_Intercensal_Estimates_Methodology.pdf.",,,,,,,,,,,,,
"3 The values for July 1, 2010 were produced by applying estimates of change in the population between April 1 and July 1 of 2010 to the 2010 Census counts.  Further details on this methodology are available
 at http://www.census.gov/popest/methodology/2000-2010_Intercensal_Estimates_Methodology.pdf.",,,,,,,,,,,,,
"Note: Hispanic origin is considered an ethnicity, not a race.  Hispanics may be of any race.  Abbreviations: Black = Black or African American; AIAN = American Indian and Alaska Native; 
NHPI = Native Hawaiian and Other Pacific Islander.",,,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,,
"Table 3. Intercensal Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Arizona: April 1, 2000 to July 1, 2010 (ST-EST2010-03-04)",,,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,,
Release Date: October 2012,,,,,,,,,,,,,
