table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 3. Intercensal Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Arkansas: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
"Sex, Race, and Hispanic Origin","April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,
BOTH SEXES,"2,673,293","2,678,588","2,691,571","2,705,927","2,724,816","2,749,686","2,781,097","2,821,761","2,848,650","2,874,554","2,896,843","2,915,918","2,921,606"
.One Race,"2,644,588","2,649,533","2,660,977","2,673,720","2,690,781","2,713,703","2,742,924","2,781,360","2,805,953","2,829,585","2,849,475","2,866,780","2,871,972"
..White,"2,183,097","2,186,443","2,193,483","2,202,027","2,214,256","2,231,084","2,253,503","2,281,831","2,301,121","2,317,769","2,331,280","2,342,403","2,345,927"
..Black,"420,516","421,693","423,863","425,707","427,838","430,882","434,165","441,071","443,348","447,621","450,633","454,021","455,438"
..AIAN,"18,214","18,311","19,041","19,690","20,346","21,013","22,032","22,701","23,653","24,472","25,166","26,134","26,211"
..Asian,"20,832","21,100","22,166","23,437","25,056","27,060","29,107","31,116","32,810","34,246","36,260","37,537","37,711"
..NHPI,"1,929","1,986","2,424","2,859","3,285","3,664","4,117","4,641","5,021","5,477","6,136","6,685","6,685"
.Two or More Races,"28,705","29,055","30,594","32,207","34,035","35,983","38,173","40,401","42,697","44,969","47,368","49,138","49,634"
.NOT HISPANIC,"2,586,431","2,590,784","2,595,045","2,600,233","2,609,192","2,624,583","2,643,949","2,672,178","2,688,253","2,704,323","2,717,804","2,729,868","2,734,131"
..One Race,"2,558,975","2,563,000","2,565,980","2,569,862","2,577,358","2,591,136","2,608,759","2,635,182","2,649,314","2,663,551","2,675,014","2,685,599","2,689,582"
...White,"2,102,972","2,105,483","2,104,830","2,105,247","2,108,659","2,117,106","2,128,968","2,146,233","2,156,030","2,164,283","2,170,258","2,175,716","2,178,080"
...Black,"417,252","418,409","420,322","421,924","423,821","426,627","429,497","435,995","437,897","441,886","444,630","447,863","449,250"
...AIAN,"16,844","16,880","17,267","17,565","17,851","18,126","18,707","19,008","19,448","19,747","20,081","20,294","20,344"
...Asian,"20,291","20,558","21,512","22,713","24,260","26,191","28,145","30,059","31,707","33,014","34,903","36,086","36,264"
...NHPI,"1,616","1,670","2,049","2,413","2,767","3,086","3,442","3,887","4,232","4,621","5,142","5,640","5,644"
..Two or More Races,"27,456","27,784","29,065","30,371","31,834","33,447","35,190","36,996","38,939","40,772","42,790","44,269","44,549"
.HISPANIC,"86,862","87,804","96,526","105,694","115,624","125,103","137,148","149,583","160,397","170,231","179,039","186,050","187,475"
..One Race,"85,613","86,533","94,997","103,858","113,423","122,567","134,165","146,178","156,639","166,034","174,461","181,181","182,390"
...White,"80,125","80,960","88,653","96,780","105,597","113,978","124,535","135,598","145,091","153,486","161,022","166,687","167,847"
...Black,"3,264","3,284","3,541","3,783","4,017","4,255","4,668","5,076","5,451","5,735","6,003","6,158","6,188"
...AIAN,"1,370","1,431","1,774","2,125","2,495","2,887","3,325","3,693","4,205","4,725","5,085","5,840","5,867"
...Asian,541,542,654,724,796,869,962,"1,057","1,103","1,232","1,357","1,451","1,447"
...NHPI,313,316,375,446,518,578,675,754,789,856,994,"1,045","1,041"
..Two or More Races,"1,249","1,271","1,529","1,836","2,201","2,536","2,983","3,405","3,758","4,197","4,578","4,869","5,085"
MALE,"1,304,646","1,307,573","1,314,726","1,322,688","1,333,293","1,346,638","1,362,802","1,383,333","1,397,292","1,410,334","1,421,830","1,431,637","1,434,726"
.One Race,"1,290,604","1,293,357","1,299,813","1,306,939","1,316,606","1,328,944","1,344,118","1,363,489","1,376,326","1,388,304","1,398,622","1,407,494","1,410,312"
..White,"1,072,665","1,074,549","1,078,690","1,083,536","1,090,541","1,099,937","1,111,434","1,126,072","1,136,143","1,144,724","1,151,531","1,157,248","1,159,195"
..Black,"198,081","198,745","199,996","201,133","202,461","203,857","205,711","209,094","210,325","212,357","214,205","215,891","216,622"
..AIAN,"8,993","9,045","9,425","9,786","10,101","10,488","11,065","11,331","11,799","12,229","12,607","13,116","13,166"
..Asian,"9,853","9,983","10,443","11,034","11,819","12,787","13,765","14,624","15,431","16,140","17,101","17,731","17,818"
..NHPI,"1,012","1,035","1,259","1,450","1,684","1,875","2,143","2,368","2,628","2,854","3,178","3,508","3,511"
.Two or More Races,"14,042","14,216","14,913","15,749","16,687","17,694","18,684","19,844","20,966","22,030","23,208","24,143","24,414"
.NOT HISPANIC,"1,255,795","1,258,204","1,260,946","1,264,118","1,269,545","1,277,973","1,287,968","1,302,395","1,310,940","1,319,136","1,326,255","1,332,384","1,334,689"
..One Race,"1,242,415","1,244,659","1,246,830","1,249,344","1,254,005","1,261,596","1,270,817","1,284,302","1,291,925","1,299,285","1,305,381","1,310,752","1,312,894"
...White,"1,027,323","1,028,745","1,028,962","1,029,641","1,032,066","1,037,135","1,043,273","1,052,536","1,057,875","1,062,370","1,065,464","1,068,254","1,069,558"
...Black,"196,414","197,066","198,228","199,222","200,433","201,713","203,323","206,479","207,537","209,427","211,128","212,691","213,403"
...AIAN,"8,275","8,295","8,489","8,617","8,725","8,885","9,224","9,275","9,492","9,660","9,805","9,959","9,992"
...Asian,"9,572","9,701","10,099","10,662","11,385","12,318","13,240","14,067","14,857","15,474","16,383","16,958","17,044"
...NHPI,831,852,"1,052","1,202","1,396","1,545","1,757","1,945","2,164","2,354","2,601","2,890","2,897"
..Two or More Races,"13,380","13,545","14,116","14,774","15,540","16,377","17,151","18,093","19,015","19,851","20,874","21,632","21,795"
.HISPANIC,"48,851","49,369","53,780","58,570","63,748","68,665","74,834","80,938","86,352","91,198","95,575","99,253","100,037"
..One Race,"48,189","48,698","52,983","57,595","62,601","67,348","73,301","79,187","84,401","89,019","93,241","96,742","97,418"
...White,"45,342","45,804","49,728","53,895","58,475","62,802","68,161","73,536","78,268","82,354","86,067","88,994","89,637"
...Black,"1,667","1,679","1,768","1,911","2,028","2,144","2,388","2,615","2,788","2,930","3,077","3,200","3,219"
...AIAN,718,750,936,"1,169","1,376","1,603","1,841","2,056","2,307","2,569","2,802","3,157","3,174"
...Asian,281,282,344,372,434,469,525,557,574,666,718,773,774
...NHPI,181,183,207,248,288,330,386,423,464,500,577,618,614
..Two or More Races,662,671,797,975,"1,147","1,317","1,533","1,751","1,951","2,179","2,334","2,511","2,619"
FEMALE,"1,368,647","1,371,015","1,376,845","1,383,239","1,391,523","1,403,048","1,418,295","1,438,428","1,451,358","1,464,220","1,475,013","1,484,281","1,486,880"
.One Race,"1,353,984","1,356,176","1,361,164","1,366,781","1,374,175","1,384,759","1,398,806","1,417,871","1,429,627","1,441,281","1,450,853","1,459,286","1,461,660"
..White,"1,110,432","1,111,894","1,114,793","1,118,491","1,123,715","1,131,147","1,142,069","1,155,759","1,164,978","1,173,045","1,179,749","1,185,155","1,186,732"
..Black,"222,435","222,948","223,867","224,574","225,377","227,025","228,454","231,977","233,023","235,264","236,428","238,130","238,816"
..AIAN,"9,221","9,266","9,616","9,904","10,245","10,525","10,967","11,370","11,854","12,243","12,559","13,018","13,045"
..Asian,"10,979","11,117","11,723","12,403","13,237","14,273","15,342","16,492","17,379","18,106","19,159","19,806","19,893"
..NHPI,917,951,"1,165","1,409","1,601","1,789","1,974","2,273","2,393","2,623","2,958","3,177","3,174"
.Two or More Races,"14,663","14,839","15,681","16,458","17,348","18,289","19,489","20,557","21,731","22,939","24,160","24,995","25,220"
.NOT HISPANIC,"1,330,636","1,332,580","1,334,099","1,336,115","1,339,647","1,346,610","1,355,981","1,369,783","1,377,313","1,385,187","1,391,549","1,397,484","1,399,442"
..One Race,"1,316,560","1,318,341","1,319,150","1,320,518","1,323,353","1,329,540","1,337,942","1,350,880","1,357,389","1,364,266","1,369,633","1,374,847","1,376,688"
