table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 3. Intercensal Estimates of the Resident Population by Sex, Race, and Hispanic Origin for California: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
"Sex, Race, and Hispanic Origin","April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,
BOTH SEXES,"33,871,653","33,987,977","34,479,458","34,871,843","35,253,159","35,574,576","35,827,943","36,021,202","36,250,311","36,604,337","36,961,229","37,253,956","37,349,363"
.One Race,"33,104,060","33,207,593","33,654,717","34,002,815","34,337,071","34,610,547","34,815,554","34,959,746","35,135,188","35,429,509","35,724,075","35,964,613","36,054,371"
..White,"26,365,296","26,421,365","26,685,881","26,874,787","27,053,595","27,181,516","27,239,976","27,242,743","27,274,909","27,402,890","27,529,082","27,636,403","27,693,965"
..Black,"2,381,132","2,384,908","2,401,620","2,413,281","2,423,031","2,431,898","2,435,330","2,437,459","2,439,919","2,451,963","2,469,567","2,486,549","2,491,119"
..AIAN,"403,170","407,152","420,413","434,176","451,526","469,622","489,295","510,267","534,343","562,318","596,469","622,107","624,338"
..Asian,"3,816,526","3,854,837","4,002,992","4,132,149","4,255,892","4,370,544","4,489,991","4,604,570","4,717,266","4,839,234","4,951,571","5,038,123","5,062,707"
..NHPI,"137,936","139,331","143,811","148,422","153,027","156,967","160,962","164,707","168,751","173,104","177,386","181,431","182,242"
.Two or More Races,"767,593","780,384","824,741","869,028","916,088","964,029","1,012,389","1,061,456","1,115,123","1,174,828","1,237,154","1,289,343","1,294,992"
.NOT HISPANIC,"22,905,106","22,933,424","23,095,496","23,166,048","23,223,144","23,239,009","23,208,112","23,145,097","23,114,006","23,156,344","23,201,362","23,240,237","23,259,948"
..One Race,"22,276,958","22,297,491","22,433,652","22,479,080","22,509,458","22,499,225","22,441,582","22,352,779","22,294,015","22,304,683","22,317,428","22,329,682","22,344,743"
...White,"16,058,359","16,041,289","16,030,167","15,953,726","15,870,991","15,759,038","15,600,864","15,420,026","15,272,290","15,177,450","15,093,398","15,028,651","15,016,524"
...Black,"2,211,100","2,212,229","2,217,767","2,218,413","2,216,811","2,214,371","2,206,427","2,197,071","2,187,067","2,184,581","2,185,021","2,187,080","2,189,724"
...AIAN,"183,722","183,335","181,977","179,962","178,072","176,062","173,893","171,109","168,700","167,004","165,476","164,434","164,858"
...Asian,"3,714,970","3,750,948","3,890,939","4,011,189","4,125,032","4,229,020","4,337,573","4,439,806","4,539,148","4,646,658","4,742,912","4,816,832","4,840,371"
...NHPI,"108,807","109,690","112,802","115,790","118,552","120,734","122,825","124,767","126,810","128,990","130,621","132,685","133,266"
..Two or More Races,"628,148","635,933","661,844","686,968","713,686","739,784","766,530","792,318","819,991","851,661","883,934","910,555","915,205"
.HISPANIC,"10,966,547","11,054,553","11,383,962","11,705,795","12,030,015","12,335,567","12,619,831","12,876,105","13,136,305","13,447,993","13,759,867","14,013,719","14,089,415"
..One Race,"10,827,102","10,910,102","11,221,065","11,523,735","11,827,613","12,111,322","12,373,972","12,606,967","12,841,173","13,124,826","13,406,647","13,634,931","13,709,628"
...White,"10,306,937","10,380,076","10,655,714","10,921,061","11,182,604","11,422,478","11,639,112","11,822,717","12,002,619","12,225,440","12,435,684","12,607,752","12,677,441"
...Black,"170,032","172,679","183,853","194,868","206,220","217,527","228,903","240,388","252,852","267,382","284,546","299,469","301,395"
...AIAN,"219,448","223,817","238,436","254,214","273,454","293,560","315,402","339,158","365,643","395,314","430,993","457,673","459,480"
...Asian,"101,556","103,889","112,053","120,960","130,860","141,524","152,418","164,764","178,118","192,576","208,659","221,291","222,336"
...NHPI,"29,129","29,641","31,009","32,632","34,475","36,233","38,137","39,940","41,941","44,114","46,765","48,746","48,976"
..Two or More Races,"139,445","144,451","162,897","182,060","202,402","224,245","245,859","269,138","295,132","323,167","353,220","378,788","379,787"
MALE,"16,874,875","16,937,562","17,185,235","17,373,381","17,543,650","17,703,161","17,831,713","17,923,731","18,035,385","18,207,365","18,378,154","18,517,830","18,568,878"
.One Race,"16,499,569","16,555,597","16,781,003","16,947,175","17,094,442","17,230,336","17,334,687","17,401,914","17,486,461","17,628,685","17,768,340","17,882,041","17,930,222"
..White,"13,220,513","13,253,418","13,391,046","13,484,608","13,562,434","13,630,264","13,665,751","13,667,068","13,683,616","13,746,929","13,807,657","13,858,068","13,890,220"
..Black,"1,167,440","1,169,941","1,178,988","1,184,788","1,188,625","1,193,945","1,197,221","1,199,175","1,202,007","1,209,184","1,217,993","1,226,693","1,229,306"
..AIAN,"204,633","206,705","213,246","220,058","228,576","237,640","247,630","258,375","271,224","285,717","303,677","317,121","318,294"
..Asian,"1,837,709","1,855,545","1,925,510","1,983,249","2,038,250","2,089,996","2,143,703","2,195,085","2,245,420","2,300,612","2,350,751","2,389,901","2,401,728"
..NHPI,"69,274","69,988","72,213","74,472","76,557","78,491","80,382","82,211","84,194","86,243","88,262","90,258","90,674"
.Two or More Races,"375,306","381,965","404,232","426,206","449,208","472,825","497,026","521,817","548,924","578,680","609,814","635,789","638,656"
.NOT HISPANIC,"11,259,851","11,277,879","11,364,203","11,397,016","11,411,927","11,424,228","11,415,217","11,385,215","11,373,012","11,395,579","11,419,094","11,437,702","11,448,746"
..One Race,"10,953,045","10,967,021","11,040,405","11,060,961","11,063,066","11,062,606","11,040,117","10,997,112","10,970,823","10,977,791","10,985,210","10,990,683","10,999,357"
...White,"7,934,913","7,930,767","7,933,949","7,900,340","7,853,754","7,806,846","7,738,411","7,654,332","7,587,740","7,546,776","7,511,480","7,482,396","7,477,648"
...Black,"1,084,653","1,085,807","1,089,278","1,089,630","1,088,129","1,087,969","1,085,746","1,082,145","1,078,883","1,078,865","1,079,314","1,080,681","1,082,298"
...AIAN,"90,765","90,617","89,983","88,968","87,894","86,930","85,994","84,613","83,458","82,665","81,957","81,467","81,692"
...Asian,"1,788,160","1,804,825","1,870,702","1,924,064","1,974,138","2,020,653","2,068,787","2,113,986","2,157,618","2,205,395","2,247,571","2,280,348","2,291,632"
...NHPI,"54,554","55,005","56,493","57,959","59,151","60,208","61,179","62,036","63,124","64,090","64,888","65,791","66,087"
..Two or More Races,"306,806","310,858","323,798","336,055","348,861","361,622","375,100","388,103","402,189","417,788","433,884","447,019","449,389"
.HISPANIC,"5,615,024","5,659,683","5,821,032","5,976,365","6,131,723","6,278,933","6,416,496","6,538,516","6,662,373","6,811,786","6,959,060","7,080,128","7,120,132"
..One Race,"5,546,524","5,588,576","5,740,598","5,886,214","6,031,376","6,167,730","6,294,570","6,404,802","6,515,638","6,650,894","6,783,130","6,891,358","6,930,865"
...White,"5,285,600","5,322,651","5,457,097","5,584,268","5,708,680","5,823,418","5,927,340","6,012,736","6,095,876","6,200,153","6,296,177","6,375,672","6,412,572"
...Black,"82,787","84,134","89,710","95,158","100,496","105,976","111,475","117,030","123,124","130,319","138,679","146,012","147,008"
...AIAN,"113,868","116,088","123,263","131,090","140,682","150,710","161,636","173,762","187,766","203,052","221,720","235,654","236,602"
...Asian,"49,549","50,720","54,808","59,185","64,112","69,343","74,916","81,099","87,802","95,217","103,180","109,553","110,096"
...NHPI,"14,720","14,983","15,720","16,513","17,406","18,283","19,203","20,175","21,070","22,153","23,374","24,467","24,587"
..Two or More Races,"68,500","71,107","80,434","90,151","100,347","111,203","121,926","133,714","146,735","160,892","175,930","188,770","189,267"
FEMALE,"16,996,778","17,050,415","17,294,223","17,498,462","17,709,509","17,871,415","17,996,230","18,097,471","18,214,926","18,396,972","18,583,075","18,736,126","18,780,485"
.One Race,"16,604,491","16,651,996","16,873,714","17,055,640","17,242,629","17,380,211","17,480,867","17,557,832","17,648,727","17,800,824","17,955,735","18,082,572","18,124,149"
..White,"13,144,783","13,167,947","13,294,835","13,390,179","13,491,161","13,551,252","13,574,225","13,575,675","13,591,293","13,655,961","13,721,425","13,778,335","13,803,745"
..Black,"1,213,692","1,214,967","1,222,632","1,228,493","1,234,406","1,237,953","1,238,109","1,238,284","1,237,912","1,242,779","1,251,574","1,259,856","1,261,813"
..AIAN,"198,537","200,447","207,167","214,118","222,950","231,982","241,665","251,892","263,119","276,601","292,792","304,986","306,044"
..Asian,"1,978,817","1,999,292","2,077,482","2,148,900","2,217,642","2,280,548","2,346,288","2,409,485","2,471,846","2,538,622","2,600,820","2,648,222","2,660,979"
..NHPI,"68,662","69,343","71,598","73,950","76,470","78,476","80,580","82,496","84,557","86,861","89,124","91,173","91,568"
.Two or More Races,"392,287","398,419","420,509","442,822","466,880","491,204","515,363","539,639","566,199","596,148","627,340","653,554","656,336"
.NOT HISPANIC,"11,645,255","11,655,545","11,731,293","11,769,032","11,811,217","11,814,781","11,792,895","11,759,882","11,740,994","11,760,765","11,782,268","11,802,535","11,811,202"
..One Race,"11,323,913","11,330,470","11,393,247","11,418,119","11,446,392","11,436,619","11,401,465","11,355,667","11,323,192","11,326,892","11,332,218","11,338,999","11,345,386"
...White,"8,123,446","8,110,522","8,096,218","8,053,386","8,017,237","7,952,192","7,862,453","7,765,694","7,684,550","7,630,674","7,581,918","7,546,255","7,538,876"
...Black,"1,126,447","1,126,422","1,128,489","1,128,783","1,128,682","1,126,402","1,120,681","1,114,926","1,108,184","1,105,716","1,105,707","1,106,399","1,107,426"
...AIAN,"92,957","92,718","91,994","90,994","90,178","89,132","87,899","86,496","85,242","84,339","83,519","82,967","83,166"
...Asian,"1,926,810","1,946,123","2,020,237","2,087,125","2,150,894","2,208,367","2,268,786","2,325,820","2,381,530","2,441,263","2,495,341","2,536,484","2,548,739"
...NHPI,"54,253","54,685","56,309","57,831","59,401","60,526","61,646","62,731","63,686","64,900","65,733","66,894","67,179"
..Two or More Races,"321,342","325,075","338,046","350,913","364,825","378,162","391,430","404,215","417,802","433,873","450,050","463,536","465,816"
.HISPANIC,"5,351,523","5,394,870","5,562,930","5,729,430","5,898,292","6,056,634","6,203,335","6,337,589","6,473,932","6,636,207","6,800,807","6,933,591","6,969,283"
..One Race,"5,280,578","5,321,526","5,480,467","5,637,521","5,796,237","5,943,592","6,079,402","6,202,165","6,325,535","6,473,932","6,623,517","6,743,573","6,778,763"
...White,"5,021,337","5,057,425","5,198,617","5,336,793","5,473,924","5,599,060","5,711,772","5,809,981","5,906,743","6,025,287","6,139,507","6,232,080","6,264,869"
...Black,"87,245","88,545","94,143","99,710","105,724","111,551","117,428","123,358","129,728","137,063","145,867","153,457","154,387"
...AIAN,"105,580","107,729","115,173","123,124","132,772","142,850","153,766","165,396","177,877","192,262","209,273","222,019","222,878"
...Asian,"52,007","53,169","57,245","61,775","66,748","72,181","77,502","83,665","90,316","97,359","105,479","111,738","112,240"
...NHPI,"14,409","14,658","15,289","16,119","17,069","17,950","18,934","19,765","20,871","21,961","23,391","24,279","24,389"
..Two or More Races,"70,945","73,344","82,463","91,909","102,055","113,042","123,933","135,424","148,397","162,275","177,290","190,018","190,520"
"1 The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program, legal boundary updates, and other geographic program revisions.  The original race data from 
Census 2000 are modified to reclassify the Some Other Race category.  For more information see http://www.census.gov/popest/research/modified.html.",,,,,,,,,,,,,
"2 The data source for April 1, 2010 is the 2010 Census count.  The original race data from the 2010 Census are modified to reclassify the Some Other Race category.  For more information see 
http://www.census.gov/popest/methodology/2000-2010_Intercensal_Estimates_Methodology.pdf.",,,,,,,,,,,,,
"3 The values for July 1, 2010 were produced by applying estimates of change in the population between April 1 and July 1 of 2010 to the 2010 Census counts.  Further details on this methodology are available
 at http://www.census.gov/popest/methodology/2000-2010_Intercensal_Estimates_Methodology.pdf.",,,,,,,,,,,,,
"Note: Hispanic origin is considered an ethnicity, not a race.  Hispanics may be of any race.  Abbreviations: Black = Black or African American; AIAN = American Indian and Alaska Native; 
NHPI = Native Hawaiian and Other Pacific Islander.",,,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,,
"Table 3. Intercensal Estimates of the Resident Population by Sex, Race, and Hispanic Origin for California: April 1, 2000 to July 1, 2010 (ST-EST2010-03-06)",,,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,,
Release Date: October 2012,,,,,,,,,,,,,
