table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 3. Intercensal Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Colorado: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
"Sex, Race, and Hispanic Origin","April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,
BOTH SEXES,"4,302,086","4,326,921","4,425,687","4,490,406","4,528,732","4,575,013","4,631,888","4,720,423","4,803,868","4,889,730","4,972,195","5,029,196","5,049,071"
.One Race,"4,231,254","4,254,752","4,348,117","4,407,714","4,441,280","4,482,484","4,533,705","4,616,055","4,692,473","4,771,231","4,846,253","4,896,925","4,915,793"
..White,"3,903,965","3,924,356","4,003,807","4,052,788","4,080,217","4,110,950","4,153,715","4,222,448","4,287,008","4,351,612","4,411,960","4,450,623","4,466,745"
..Black,"173,426","174,461","179,725","183,260","183,960","187,991","189,701","195,570","199,716","205,038","210,643","214,919","215,975"
..AIAN,"49,581","50,135","52,691","54,869","56,427","58,794","61,304","63,957","66,936","70,894","74,542","78,144","78,649"
..Asian,"98,764","100,211","105,901","110,453","114,155","117,966","122,152","126,943","131,336","135,832","140,845","144,819","145,930"
..NHPI,"5,518","5,589","5,993","6,344","6,521","6,783","6,833","7,137","7,477","7,855","8,263","8,420","8,494"
.Two or More Races,"70,832","72,169","77,570","82,692","87,452","92,529","98,183","104,368","111,395","118,499","125,942","132,271","133,278"
.NOT HISPANIC,"3,566,358","3,581,629","3,642,418","3,673,383","3,686,392","3,710,269","3,739,469","3,797,117","3,849,687","3,904,831","3,956,704","3,990,509","4,001,370"
..One Race,"3,507,430","3,521,814","3,579,128","3,606,995","3,617,286","3,638,179","3,664,040","3,717,900","3,766,096","3,816,709","3,864,033","3,893,889","3,903,914"
...White,"3,217,927","3,230,049","3,277,055","3,297,880","3,304,843","3,319,067","3,340,395","3,384,525","3,425,285","3,467,679","3,506,018","3,529,377","3,537,316"
...Black,"160,715","161,497","165,681","168,181","168,150","171,253","172,006","176,682","179,624","183,379","187,380","190,272","191,096"
...AIAN,"29,610","29,661","30,295","30,420","30,304","30,391","30,483","30,830","31,125","31,327","31,573","31,604","31,763"
...Asian,"95,214","96,588","101,819","106,029","109,438","112,760","116,416","120,882","124,887","128,901","133,431","136,887","137,948"
...NHPI,"3,964","4,019","4,278","4,485","4,551","4,708","4,740","4,981","5,175","5,423","5,631","5,749","5,791"
..Two or More Races,"58,928","59,815","63,290","66,388","69,106","72,090","75,429","79,217","83,591","88,122","92,671","96,620","97,456"
.HISPANIC,"735,728","745,292","783,269","817,023","842,340","864,744","892,419","923,306","954,181","984,899","1,015,491","1,038,687","1,047,701"
..One Race,"723,824","732,938","768,989","800,719","823,994","844,305","869,665","898,155","926,377","954,522","982,220","1,003,036","1,011,879"
...White,"686,038","694,307","726,752","754,908","775,374","791,883","813,320","837,923","861,723","883,933","905,942","921,246","929,429"
...Black,"12,711","12,964","14,044","15,079","15,810","16,738","17,695","18,888","20,092","21,659","23,263","24,647","24,879"
...AIAN,"19,971","20,474","22,396","24,449","26,123","28,403","30,821","33,127","35,811","39,567","42,969","46,540","46,886"
...Asian,"3,550","3,623","4,082","4,424","4,717","5,206","5,736","6,061","6,449","6,931","7,414","7,932","7,982"
...NHPI,"1,554","1,570","1,715","1,859","1,970","2,075","2,093","2,156","2,302","2,432","2,632","2,671","2,703"
..Two or More Races,"11,904","12,354","14,280","16,304","18,346","20,439","22,754","25,151","27,804","30,377","33,271","35,651","35,822"
MALE,"2,166,390","2,179,179","2,229,982","2,261,741","2,275,518","2,300,502","2,323,650","2,367,463","2,407,435","2,450,670","2,491,485","2,520,662","2,531,054"
.One Race,"2,131,441","2,143,549","2,191,610","2,220,847","2,232,358","2,254,677","2,275,111","2,315,929","2,352,427","2,392,068","2,429,288","2,455,303","2,465,172"
..White,"1,966,108","1,976,639","2,017,872","2,042,022","2,051,177","2,067,787","2,084,883","2,119,104","2,150,114","2,182,508","2,212,079","2,232,054","2,240,509"
..Black,"90,543","91,133","93,884","95,665","95,731","98,447","98,957","102,050","104,246","107,371","110,500","113,001","113,581"
..AIAN,"25,419","25,704","27,059","28,096","28,906","30,035","31,303","32,634","34,074","36,146","38,096","39,898","40,175"
..Asian,"46,427","47,089","49,609","51,660","53,074","54,855","56,432","58,455","60,156","62,061","64,338","66,087","66,603"
..NHPI,"2,944","2,984","3,186","3,404","3,470","3,553","3,536","3,686","3,837","3,982","4,275","4,263","4,304"
.Two or More Races,"34,949","35,630","38,372","40,894","43,160","45,825","48,539","51,534","55,008","58,602","62,197","65,359","65,882"
.NOT HISPANIC,"1,781,523","1,789,455","1,820,856","1,835,707","1,838,076","1,852,623","1,863,276","1,892,313","1,917,742","1,946,217","1,972,498","1,990,863","1,996,540"
