table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 3. Intercensal Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Connecticut: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
"Sex, Race, and Hispanic Origin","April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,
BOTH SEXES,"3,405,650","3,411,777","3,432,835","3,458,749","3,484,336","3,496,094","3,506,956","3,517,460","3,527,270","3,545,579","3,561,807","3,574,097","3,577,073"
.One Race,"3,366,329","3,371,983","3,390,298","3,413,392","3,435,892","3,444,741","3,452,603","3,459,939","3,466,539","3,481,304","3,494,009","3,503,692","3,506,246"
..White,"2,933,101","2,936,355","2,943,314","2,952,581","2,961,169","2,959,756","2,956,769","2,952,473","2,947,983","2,950,893","2,950,870","2,950,820","2,951,850"
..Black,"334,383","335,609","341,092","347,685","354,078","358,496","363,122","368,609","373,995","379,795","386,843","392,131","392,959"
..AIAN,"10,760","10,891","11,430","11,937","12,626","13,084","13,567","14,156","14,768","15,388","16,090","16,734","16,794"
..Asian,"85,877","86,901","92,089","98,670","105,350","110,601","116,343","121,672","126,625","131,936","136,812","140,516","141,132"
..NHPI,"2,208","2,227","2,373","2,519","2,669","2,804","2,802","3,029","3,168","3,292","3,394","3,491","3,511"
.Two or More Races,"39,321","39,794","42,537","45,357","48,444","51,353","54,353","57,521","60,731","64,275","67,798","70,405","70,827"
.NOT HISPANIC,"3,085,308","3,087,925","3,094,716","3,105,032","3,115,034","3,113,182","3,110,633","3,104,593","3,097,942","3,098,803","3,096,321","3,095,010","3,095,170"
..One Race,"3,051,971","3,054,242","3,059,227","3,067,628","3,075,618","3,071,869","3,067,479","3,059,480","3,050,888","3,049,488","3,044,771","3,041,780","3,041,585"
...White,"2,655,623","2,656,149","2,652,081","2,649,183","2,646,218","2,634,725","2,621,545","2,605,095","2,588,641","2,578,450","2,565,668","2,556,993","2,555,658"
...Black,"303,532","304,268","308,219","313,096","317,527","320,245","323,461","326,710","329,860","333,692","337,206","339,654","340,153"
...AIAN,"7,454","7,462","7,486","7,498","7,580","7,503","7,443","7,469","7,441","7,358","7,264","7,114","7,133"
...Asian,"84,298","85,298","90,360","96,724","103,160","108,241","113,866","119,013","123,732","128,789","133,404","136,829","137,437"
...NHPI,"1,064","1,065","1,081","1,127","1,133","1,155","1,164","1,193","1,214","1,199","1,229","1,190","1,204"
..Two or More Races,"33,337","33,683","35,489","37,404","39,416","41,313","43,154","45,113","47,054","49,315","51,550","53,230","53,585"
.HISPANIC,"320,342","323,852","338,119","353,717","369,302","382,912","396,323","412,867","429,328","446,776","465,486","479,087","481,903"
..One Race,"314,358","317,741","331,071","345,764","360,274","372,872","385,124","400,459","415,651","431,816","449,238","461,912","464,661"
...White,"277,478","280,206","291,233","303,398","314,951","325,031","335,224","347,378","359,342","372,443","385,202","393,827","396,192"
...Black,"30,851","31,341","32,873","34,589","36,551","38,251","39,661","41,899","44,135","46,103","49,637","52,477","52,806"
...AIAN,"3,306","3,429","3,944","4,439","5,046","5,581","6,124","6,687","7,327","8,030","8,826","9,620","9,661"
...Asian,"1,579","1,603","1,729","1,946","2,190","2,360","2,477","2,659","2,893","3,147","3,408","3,687","3,695"
...NHPI,"1,144","1,162","1,292","1,392","1,536","1,649","1,638","1,836","1,954","2,093","2,165","2,301","2,307"
..Two or More Races,"5,984","6,111","7,048","7,953","9,028","10,040","11,199","12,408","13,677","14,960","16,248","17,175","17,242"
MALE,"1,649,359","1,652,459","1,663,876","1,678,249","1,690,868","1,698,016","1,704,888","1,709,785","1,715,653","1,724,830","1,733,028","1,739,614","1,741,464"
.One Race,"1,630,137","1,633,023","1,643,127","1,656,113","1,667,253","1,673,009","1,678,359","1,681,660","1,686,029","1,693,454","1,699,945","1,705,233","1,706,841"
..White,"1,422,213","1,423,969","1,428,444","1,434,638","1,439,173","1,439,884","1,440,112","1,437,862","1,436,690","1,438,635","1,439,337","1,439,961","1,440,742"
..Black,"158,947","159,512","162,333","165,458","168,457","170,709","173,023","175,450","178,270","181,018","184,250","186,774","187,231"
..AIAN,"5,584","5,655","5,912","6,200","6,478","6,750","6,884","7,222","7,467","7,749","8,184","8,484","8,526"
..Asian,"42,284","42,765","45,208","48,507","51,745","54,181","56,855","59,505","61,900","64,293","66,363","68,115","68,431"
..NHPI,"1,109","1,122","1,230","1,310","1,400","1,485","1,485","1,621","1,702","1,759","1,811","1,899","1,911"
.Two or More Races,"19,222","19,436","20,749","22,136","23,615","25,007","26,529","28,125","29,624","31,376","33,083","34,381","34,623"
.NOT HISPANIC,"1,489,331","1,490,719","1,494,776","1,501,061","1,505,888","1,505,958","1,506,201","1,502,822","1,500,551","1,501,364","1,500,229","1,500,218","1,500,584"
..One Race,"1,473,056","1,474,293","1,477,518","1,482,889","1,486,784","1,485,970","1,485,286","1,480,901","1,477,763","1,477,481","1,475,282","1,474,437","1,474,597"
...White,"1,283,403","1,283,822","1,282,543","1,282,363","1,281,063","1,276,512","1,271,490","1,263,019","1,256,007","1,251,535","1,245,826","1,242,288","1,241,838"
...Black,"143,812","144,152","146,247","148,567","150,687","152,057","153,871","155,388","157,037","158,986","160,638","161,820","162,101"
...AIAN,"3,773","3,780","3,776","3,801","3,811","3,786","3,722","3,709","3,673","3,638","3,591","3,525","3,537"
...Asian,"41,524","41,994","44,394","47,577","50,647","53,019","55,629","58,178","60,445","62,742","64,652","66,232","66,542"
...NHPI,544,545,558,581,576,596,574,607,601,580,575,572,579
..Two or More Races,"16,275","16,426","17,258","18,172","19,104","19,988","20,915","21,921","22,788","23,883","24,947","25,781","25,987"
.HISPANIC,"160,028","161,740","169,100","177,188","184,980","192,058","198,687","206,963","215,102","223,466","232,799","239,396","240,880"
..One Race,"157,081","158,730","165,609","173,224","180,469","187,039","193,073","200,759","208,266","215,973","224,663","230,796","232,244"
...White,"138,810","140,147","145,901","152,275","158,110","163,372","168,622","174,843","180,683","187,100","193,511","197,673","198,904"
...Black,"15,135","15,360","16,086","16,891","17,770","18,652","19,152","20,062","21,233","22,032","23,612","24,954","25,130"
...AIAN,"1,811","1,875","2,136","2,399","2,667","2,964","3,162","3,513","3,794","4,111","4,593","4,959","4,989"
...Asian,760,771,814,930,"1,098","1,162","1,226","1,327","1,455","1,551","1,711","1,883","1,889"
...NHPI,565,577,672,729,824,889,911,"1,014","1,101","1,179","1,236","1,327","1,332"
..Two or More Races,"2,947","3,010","3,491","3,964","4,511","5,019","5,614","6,204","6,836","7,493","8,136","8,600","8,636"
FEMALE,"1,756,291","1,759,318","1,768,959","1,780,500","1,793,468","1,798,078","1,802,068","1,807,675","1,811,617","1,820,749","1,828,779","1,834,483","1,835,609"
.One Race,"1,736,192","1,738,960","1,747,171","1,757,279","1,768,639","1,771,732","1,774,244","1,778,279","1,780,510","1,787,850","1,794,064","1,798,459","1,799,405"
..White,"1,510,888","1,512,386","1,514,870","1,517,943","1,521,996","1,519,872","1,516,657","1,514,611","1,511,293","1,512,258","1,511,533","1,510,859","1,511,108"
..Black,"175,436","176,097","178,759","182,227","185,621","187,787","190,099","193,159","195,725","198,777","202,593","205,357","205,728"
..AIAN,"5,176","5,236","5,518","5,737","6,148","6,334","6,683","6,934","7,301","7,639","7,906","8,250","8,268"
..Asian,"43,593","44,136","46,881","50,163","53,605","56,420","59,488","62,167","64,725","67,643","70,449","72,401","72,701"
..NHPI,"1,099","1,105","1,143","1,209","1,269","1,319","1,317","1,408","1,466","1,533","1,583","1,592","1,600"
.Two or More Races,"20,099","20,358","21,788","23,221","24,829","26,346","27,824","29,396","31,107","32,899","34,715","36,024","36,204"
.NOT HISPANIC,"1,595,977","1,597,206","1,599,940","1,603,971","1,609,146","1,607,224","1,604,432","1,601,771","1,597,391","1,597,439","1,596,092","1,594,792","1,594,586"
..One Race,"1,578,915","1,579,949","1,581,709","1,584,739","1,588,834","1,585,899","1,582,193","1,578,579","1,573,125","1,572,007","1,569,489","1,567,343","1,566,988"
...White,"1,372,220","1,372,327","1,369,538","1,366,820","1,365,155","1,358,213","1,350,055","1,342,076","1,332,634","1,326,915","1,319,842","1,314,705","1,313,820"
...Black,"159,720","160,116","161,972","164,529","166,840","168,188","169,590","171,322","172,823","174,706","176,568","177,834","178,052"
...AIAN,"3,681","3,682","3,710","3,697","3,769","3,717","3,721","3,760","3,768","3,720","3,673","3,589","3,596"
...Asian,"42,774","43,304","45,966","49,147","52,513","55,222","58,237","60,835","63,287","66,047","68,752","70,597","70,895"
...NHPI,520,520,523,546,557,559,590,586,613,619,654,618,625
..Two or More Races,"17,062","17,257","18,231","19,232","20,312","21,325","22,239","23,192","24,266","25,432","26,603","27,449","27,598"
.HISPANIC,"160,314","162,112","169,019","176,529","184,322","190,854","197,636","205,904","214,226","223,310","232,687","239,691","241,023"
..One Race,"157,277","159,011","165,462","172,540","179,805","185,833","192,051","199,700","207,385","215,843","224,575","231,116","232,417"
...White,"138,668","140,059","145,332","151,123","156,841","161,659","166,602","172,535","178,659","185,343","191,691","196,154","197,288"
...Black,"15,716","15,981","16,787","17,698","18,781","19,599","20,509","21,837","22,902","24,071","26,025","27,523","27,676"
...AIAN,"1,495","1,554","1,808","2,040","2,379","2,617","2,962","3,174","3,533","3,919","4,233","4,661","4,672"
...Asian,819,832,915,"1,016","1,092","1,198","1,251","1,332","1,438","1,596","1,697","1,804","1,806"
...NHPI,579,585,620,663,712,760,727,822,853,914,929,974,975
