table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 3. Intercensal Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Delaware: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
"Sex, Race, and Hispanic Origin","April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,
BOTH SEXES,"783,559","786,373","795,699","806,169","818,003","830,803","845,150","859,268","871,749","883,874","891,730","897,934","899,769"
.One Race,"774,601","777,278","785,697","795,250","806,116","817,811","830,968","843,872","855,278","866,084","872,563","878,012","879,483"
..White,"601,024","602,544","605,604","609,830","614,839","620,674","626,708","632,832","637,429","642,053","643,755","645,770","646,613"
..Black,"153,584","154,406","158,232","162,182","166,220","170,300","175,719","180,827","185,786","190,393","193,700","196,281","196,778"
..AIAN,"2,989","3,071","3,409","3,600","3,953","4,167","4,457","4,763","5,003","5,313","5,653","5,929","5,934"
..Asian,"16,645","16,896","18,013","19,180","20,607","22,150","23,561","24,875","26,455","27,701","28,783","29,342","29,468"
..NHPI,359,361,439,458,497,520,523,575,605,624,672,690,690
.Two or More Races,"8,958","9,095","10,002","10,919","11,887","12,992","14,182","15,396","16,471","17,790","19,167","19,922","20,286"
.NOT HISPANIC,"746,278","748,539","754,791","761,982","770,404","779,529","789,775","799,790","808,600","817,149","820,915","824,713","825,927"
..One Race,"738,072","740,199","745,698","752,126","759,731","767,922","777,205","786,237","794,145","801,607","804,149","807,364","808,427"
...White,"569,491","570,632","571,435","573,133","575,506","578,497","581,414","584,449","586,356","588,414","587,417","587,923","588,407"
...Black,"149,524","150,246","153,734","157,332","161,073","164,746","169,705","174,330","178,760","182,914","185,440","187,491","187,952"
...AIAN,"2,375","2,386","2,504","2,485","2,604","2,603","2,670","2,734","2,744","2,797","2,801","2,863","2,852"
...Asian,"16,430","16,681","17,744","18,893","20,269","21,794","23,159","24,460","26,006","27,225","28,241","28,827","28,958"
...NHPI,252,254,281,283,279,282,257,264,279,257,250,260,258
..Two or More Races,"8,206","8,340","9,093","9,856","10,673","11,607","12,570","13,553","14,455","15,542","16,766","17,349","17,500"
.HISPANIC,"37,281","37,834","40,908","44,187","47,599","51,274","55,375","59,478","63,149","66,725","70,815","73,221","73,842"
