table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 3. Intercensal Estimates of the Resident Population by Sex, Race, and Hispanic Origin for District of Columbia: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
"Sex, Race, and Hispanic Origin","April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,
BOTH SEXES,"572,086","572,046","574,504","573,158","568,502","567,754","567,136","570,681","574,404","580,236","592,228","601,723","604,453"
.One Race,"564,719","564,646","566,406","564,510","559,259","557,894","556,640","559,412","562,502","567,494","578,568","587,383","589,799"
..White,"197,177","197,141","202,592","204,051","203,997","207,551","212,613","218,088","225,204","231,736","243,218","251,265","252,131"
..Black,"349,409","349,214","344,975","341,307","335,743","329,989","323,785","319,150","315,368","311,838","310,960","310,379","311,823"
..AIAN,"1,961","1,974","2,079","2,209","2,269","2,450","2,539","2,732","2,890","3,019","3,334","3,264","3,271"
..Asian,"15,760","15,903","16,272","16,435","16,694","17,337","17,116","18,790","18,378","20,196","20,281","21,705","21,788"
..NHPI,412,414,488,508,556,567,587,652,662,705,775,770,786
.Two or More Races,"7,367","7,400","8,098","8,648","9,243","9,860","10,496","11,269","11,902","12,742","13,660","14,340","14,654"
.NOT HISPANIC,"527,132","526,780","527,687","526,104","520,922","519,511","518,552","522,159","525,422","529,790","538,607","546,974","549,196"
..One Race,"520,757","520,374","520,709","518,677","513,015","511,178","509,844","512,878","515,676","519,373","527,430","535,153","537,221"
...White,"161,269","160,987","165,183","166,730","166,690","170,521","175,873","182,018","188,913","194,433","203,261","210,389","210,962"
...Black,"342,482","342,238","338,012","334,276","328,449","322,140","315,732","310,933","307,194","303,625","302,619","302,051","303,459"
...AIAN,"1,317","1,317","1,325","1,336","1,306","1,351","1,353","1,399","1,471","1,436","1,646","1,342","1,331"
...Asian,"15,400","15,543","15,889","16,042","16,269","16,878","16,620","18,263","17,842","19,626","19,659","21,151","21,235"
...NHPI,289,289,300,293,301,288,266,265,256,253,245,220,234
..Two or More Races,"6,375","6,406","6,978","7,427","7,907","8,333","8,708","9,281","9,746","10,417","11,177","11,821","11,975"
.HISPANIC,"44,954","45,266","46,817","47,054","47,580","48,243","48,584","48,522","48,982","50,446","53,621","54,749","55,257"
..One Race,"43,962","44,272","45,697","45,833","46,244","46,716","46,796","46,534","46,826","48,121","51,138","52,230","52,578"
...White,"35,908","36,154","37,409","37,321","37,307","37,030","36,740","36,070","36,291","37,303","39,957","40,876","41,169"
...Black,"6,927","6,976","6,963","7,031","7,294","7,849","8,053","8,217","8,174","8,213","8,341","8,328","8,364"
...AIAN,644,657,754,873,963,"1,099","1,186","1,333","1,419","1,583","1,688","1,922","1,940"
...Asian,360,360,383,393,425,459,496,527,536,570,622,554,553
...NHPI,123,125,188,215,255,279,321,387,406,452,530,550,552
..Two or More Races,992,994,"1,120","1,221","1,336","1,527","1,788","1,988","2,156","2,325","2,483","2,519","2,679"
MALE,"269,382","269,403","270,764","270,012","267,895","267,470","267,523","269,359","271,455","273,971","280,400","284,222","285,626"
.One Race,"266,026","266,045","267,053","266,046","263,707","262,995","262,697","264,237","266,015","268,147","274,130","277,786","279,007"
..White,"99,250","99,241","102,110","102,600","102,590","104,354","107,004","109,636","113,016","116,020","121,495","125,404","125,858"
..Black,"158,632","158,598","156,460","154,923","152,426","149,612","146,735","144,754","143,170","141,695","141,546","141,181","141,881"
..AIAN,949,959,"1,003","1,079","1,130","1,200","1,247","1,390","1,458","1,509","1,661","1,668","1,684"
..Asian,"6,996","7,046","7,230","7,189","7,279","7,528","7,404","8,114","8,028","8,552","9,047","9,124","9,163"
..NHPI,199,201,250,255,282,301,307,343,343,371,381,409,421
.Two or More Races,"3,356","3,358","3,711","3,966","4,188","4,475","4,826","5,122","5,440","5,824","6,270","6,436","6,619"
.NOT HISPANIC,"245,714","245,572","246,179","245,412","243,087","242,283","242,276","244,223","246,178","247,806","252,774","255,964","257,071"
..One Race,"242,859","242,716","243,017","242,051","239,559","238,558","238,343","240,081","241,815","243,152","247,739","250,757","251,773"
...White,"80,140","80,005","82,234","82,904","82,932","84,776","87,665","90,748","94,116","96,459","100,751","104,155","104,451"
...Black,"155,179","155,120","152,992","151,404","148,802","145,737","142,775","140,689","139,107","137,653","137,397","137,017","137,690"
...AIAN,614,615,618,635,625,625,627,674,714,658,765,634,633
...Asian,"6,795","6,845","7,030","6,975","7,059","7,282","7,145","7,845","7,758","8,259","8,722","8,846","8,886"
...NHPI,131,131,143,133,141,138,131,125,120,123,104,105,113
..Two or More Races,"2,855","2,856","3,162","3,361","3,528","3,725","3,933","4,142","4,363","4,654","5,035","5,207","5,298"
.HISPANIC,"23,668","23,831","24,585","24,600","24,808","25,187","25,247","25,136","25,277","26,165","27,626","28,258","28,555"
..One Race,"23,167","23,329","24,036","23,995","24,148","24,437","24,354","24,156","24,200","24,995","26,391","27,029","27,234"
...White,"19,110","19,236","19,876","19,696","19,658","19,578","19,339","18,888","18,900","19,561","20,744","21,249","21,407"
...Black,"3,453","3,478","3,468","3,519","3,624","3,875","3,960","4,065","4,063","4,042","4,149","4,164","4,191"
...AIAN,335,344,385,444,505,575,620,716,744,851,896,"1,034","1,051"
...Asian,201,201,200,214,220,246,259,269,270,293,325,278,277
...NHPI,68,70,107,122,141,163,176,218,223,248,277,304,308
..Two or More Races,501,502,549,605,660,750,893,980,"1,077","1,170","1,235","1,229","1,321"
FEMALE,"302,704","302,643","303,740","303,146","300,607","300,284","299,613","301,322","302,949","306,265","311,828","317,501","318,827"
.One Race,"298,693","298,601","299,353","298,464","295,552","294,899","293,943","295,175","296,487","299,347","304,438","309,597","310,792"
..White,"97,927","97,900","100,482","101,451","101,407","103,197","105,609","108,452","112,188","115,716","121,723","125,861","126,273"
..Black,"190,777","190,616","188,515","186,384","183,317","180,377","177,050","174,396","172,198","170,143","169,414","169,198","169,942"
..AIAN,"1,012","1,015","1,076","1,130","1,139","1,250","1,292","1,342","1,432","1,510","1,673","1,596","1,587"
..Asian,"8,764","8,857","9,042","9,246","9,415","9,809","9,712","10,676","10,350","11,644","11,234","12,581","12,625"
..NHPI,213,213,238,253,274,266,280,309,319,334,394,361,365
.Two or More Races,"4,011","4,042","4,387","4,682","5,055","5,385","5,670","6,147","6,462","6,918","7,390","7,904","8,035"
.NOT HISPANIC,"281,418","281,208","281,508","280,692","277,835","277,228","276,276","277,936","279,244","281,984","285,833","291,010","292,125"
..One Race,"277,898","277,658","277,692","276,626","273,456","272,620","271,501","272,797","273,861","276,221","279,691","284,396","285,448"
...White,"81,129","80,982","82,949","83,826","83,758","85,745","88,208","91,270","94,797","97,974","102,510","106,234","106,511"
...Black,"187,303","187,118","185,020","182,872","179,647","176,403","172,957","170,244","168,087","165,972","165,222","165,034","165,769"
...AIAN,703,702,707,701,681,726,726,725,757,778,881,708,698
...Asian,"8,605","8,698","8,859","9,067","9,210","9,596","9,475","10,418","10,084","11,367","10,937","12,305","12,349"
...NHPI,158,158,157,160,160,150,135,140,136,130,141,115,121
..Two or More Races,"3,520","3,550","3,816","4,066","4,379","4,608","4,775","5,139","5,383","5,763","6,142","6,614","6,677"
.HISPANIC,"21,286","21,435","22,232","22,454","22,772","23,056","23,337","23,386","23,705","24,281","25,995","26,491","26,702"
..One Race,"20,795","20,943","21,661","21,838","22,096","22,279","22,442","22,378","22,626","23,126","24,747","25,201","25,344"
...White,"16,798","16,918","17,533","17,625","17,649","17,452","17,401","17,182","17,391","17,742","19,213","19,627","19,762"
...Black,"3,474","3,498","3,495","3,512","3,670","3,974","4,093","4,152","4,111","4,171","4,192","4,164","4,173"
...AIAN,309,313,369,429,458,524,566,617,675,732,792,888,889
...Asian,159,159,183,179,205,213,237,258,266,277,297,276,276
...NHPI,55,55,81,93,114,116,145,169,183,204,253,246,244
..Two or More Races,491,492,571,616,676,777,895,"1,008","1,079","1,155","1,248","1,290","1,358"
"1 The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program, legal boundary updates, and other geographic program revisions.  The original race data from 
Census 2000 are modified to reclassify the Some Other Race category.  For more information see http://www.census.gov/popest/research/modified.html.",,,,,,,,,,,,,
"2 The data source for April 1, 2010 is the 2010 Census count.  The original race data from the 2010 Census are modified to reclassify the Some Other Race category.  For more information see 
http://www.census.gov/popest/methodology/2000-2010_Intercensal_Estimates_Methodology.pdf.",,,,,,,,,,,,,
"3 The values for July 1, 2010 were produced by applying estimates of change in the population between April 1 and July 1 of 2010 to the 2010 Census counts.  Further details on this methodology are available
 at http://www.census.gov/popest/methodology/2000-2010_Intercensal_Estimates_Methodology.pdf.",,,,,,,,,,,,,
"Note: Hispanic origin is considered an ethnicity, not a race.  Hispanics may be of any race.  Abbreviations: Black = Black or African American; AIAN = American Indian and Alaska Native; 
NHPI = Native Hawaiian and Other Pacific Islander.",,,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,,
"Table 3. Intercensal Estimates of the Resident Population by Sex, Race, and Hispanic Origin for District of Columbia: April 1, 2000 to July 1, 2010 (ST-EST2010-03-11)",,,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,,
Release Date: October 2012,,,,,,,,,,,,,
