table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 3. Intercensal Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Florida: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
"Sex, Race, and Hispanic Origin","April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,
BOTH SEXES,"15,982,571","16,047,515","16,356,966","16,689,370","17,004,085","17,415,318","17,842,038","18,166,990","18,367,842","18,527,305","18,652,644","18,801,310","18,843,326"
.One Race,"15,815,118","15,877,173","16,172,387","16,489,763","16,788,954","17,182,600","17,591,406","17,897,442","18,081,752","18,224,621","18,333,664","18,469,042","18,509,430"
..White,"13,036,815","13,084,373","13,288,274","13,511,056","13,718,024","14,002,125","14,289,528","14,485,480","14,593,854","14,667,399","14,720,593","14,808,867","14,839,169"
..Black,"2,429,060","2,439,447","2,508,333","2,577,932","2,645,514","2,726,256","2,815,695","2,896,799","2,950,879","3,002,382","3,043,554","3,078,067","3,084,936"
..AIAN,"59,401","59,690","63,742","67,518","70,896","74,102","77,463","81,218","84,024","86,052","87,562","89,119","89,551"
..Asian,"278,901","282,536","300,256","320,759","341,284","365,752","393,025","417,297","435,503","450,732","463,383","474,199","476,846"
..NHPI,"10,941","11,127","11,782","12,498","13,236","14,365","15,695","16,648","17,492","18,056","18,572","18,790","18,928"
.Two or More Races,"167,453","170,342","184,579","199,607","215,131","232,718","250,632","269,548","286,090","302,684","318,980","332,268","333,896"
.NOT HISPANIC,"13,299,699","13,330,434","13,495,307","13,675,840","13,843,763","14,084,049","14,317,971","14,453,010","14,495,706","14,518,143","14,528,337","14,577,504","14,590,123"
..One Race,"13,156,446","13,185,044","13,338,710","13,507,502","13,663,409","13,890,450","14,111,177","14,232,761","14,264,273","14,275,529","14,274,745","14,314,735","14,325,804"
...White,"10,510,229","10,526,083","10,600,052","10,685,703","10,761,008","10,893,061","11,014,262","11,046,317","11,017,541","10,972,476","10,925,505","10,925,528","10,928,474"
...Black,"2,324,667","2,333,824","2,395,074","2,456,955","2,516,457","2,586,416","2,658,862","2,724,733","2,767,644","2,809,655","2,844,226","2,873,547","2,878,861"
...AIAN,"43,381","43,397","44,441","45,498","46,394","47,502","48,377","48,760","48,740","48,578","47,933","47,991","48,190"
...Asian,"270,714","274,201","291,194","310,984","330,761","354,119","379,797","402,688","419,809","434,104","446,089","456,558","459,089"
...NHPI,"7,455","7,539","7,949","8,362","8,789","9,352","9,879","10,263","10,539","10,716","10,992","11,111","11,190"
..Two or More Races,"143,253","145,390","156,597","168,338","180,354","193,599","206,794","220,249","231,433","242,614","253,592","262,769","264,319"
.HISPANIC,"2,682,872","2,717,081","2,861,659","3,013,530","3,160,322","3,331,269","3,524,067","3,713,980","3,872,136","4,009,162","4,124,307","4,223,806","4,253,203"
..One Race,"2,658,672","2,692,129","2,833,677","2,982,261","3,125,545","3,292,150","3,480,229","3,664,681","3,817,479","3,949,092","4,058,919","4,154,307","4,183,626"
...White,"2,526,586","2,558,290","2,688,222","2,825,353","2,957,016","3,109,064","3,275,266","3,439,163","3,576,313","3,694,923","3,795,088","3,883,339","3,910,695"
...Black,"104,393","105,623","113,259","120,977","129,057","139,840","156,833","172,066","183,235","192,727","199,328","204,520","206,075"
...AIAN,"16,020","16,293","19,301","22,020","24,502","26,600","29,086","32,458","35,284","37,474","39,629","41,128","41,361"
...Asian,"8,187","8,335","9,062","9,775","10,523","11,633","13,228","14,609","15,694","16,628","17,294","17,641","17,757"
...NHPI,"3,486","3,588","3,833","4,136","4,447","5,013","5,816","6,385","6,953","7,340","7,580","7,679","7,738"
..Two or More Races,"24,200","24,952","27,982","31,269","34,777","39,119","43,838","49,299","54,657","60,070","65,388","69,499","69,577"
MALE,"7,797,834","7,830,201","7,984,190","8,147,636","8,306,512","8,512,871","8,724,088","8,886,910","8,989,255","9,062,026","9,118,355","9,189,355","9,212,000"
.One Race,"7,715,222","7,746,164","7,893,238","8,049,419","8,200,752","8,398,533","8,601,248","8,754,833","8,849,302","8,914,202","8,962,717","9,027,371","9,049,187"
..White,"6,380,289","6,404,365","6,507,852","6,619,485","6,725,944","6,871,653","7,016,753","7,117,285","7,174,242","7,206,449","7,228,631","7,270,935","7,287,425"
..Black,"1,167,799","1,172,776","1,206,015","1,238,851","1,272,071","1,310,498","1,353,304","1,392,783","1,419,893","1,444,565","1,464,188","1,480,596","1,484,368"
..AIAN,"31,062","31,206","33,176","35,186","36,981","38,680","40,521","42,392","43,880","44,902","45,771","46,735","46,975"
..Asian,"130,369","132,020","140,061","149,394","158,934","170,255","182,615","193,885","202,305","209,144","214,618","219,481","220,730"
..NHPI,"5,703","5,797","6,134","6,503","6,822","7,447","8,055","8,488","8,982","9,142","9,509","9,624","9,689"
.Two or More Races,"82,612","84,037","90,952","98,217","105,760","114,338","122,840","132,077","139,953","147,824","155,638","161,984","162,813"
.NOT HISPANIC,"6,457,632","6,473,707","6,556,984","6,646,430","6,733,589","6,855,939","6,971,370","7,041,084","7,066,347","7,074,859","7,078,236","7,102,497","7,110,018"
..One Race,"6,387,173","6,402,180","6,480,007","6,563,758","6,645,058","6,760,965","6,870,168","6,933,381","6,953,328","6,956,549","6,954,698","6,974,604","6,981,352"
...White,"5,119,815","5,128,829","5,168,782","5,213,700","5,255,866","5,327,016","5,389,709","5,410,022","5,400,221","5,377,253","5,353,903","5,355,191","5,357,651"
...Black,"1,115,066","1,119,436","1,149,043","1,178,231","1,207,496","1,240,646","1,274,936","1,306,941","1,328,648","1,348,681","1,365,177","1,379,037","1,381,991"
...AIAN,"22,160","22,156","22,595","23,050","23,541","24,060","24,459","24,587","24,600","24,380","24,025","24,049","24,156"
...Asian,"126,333","127,919","135,573","144,552","153,727","164,526","176,127","186,700","194,564","200,910","206,095","210,772","211,964"
