table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 3. Intercensal Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Georgia: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
"Sex, Race, and Hispanic Origin","April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,
BOTH SEXES,"8,186,653","8,227,303","8,377,038","8,508,256","8,622,793","8,769,252","8,925,922","9,155,813","9,349,988","9,504,843","9,620,846","9,687,653","9,712,587"
.One Race,"8,113,769","8,152,970","8,294,514","8,417,770","8,524,695","8,662,101","8,810,078","9,029,306","9,212,336","9,356,196","9,461,630","9,521,370","9,545,168"
..White,"5,535,237","5,556,989","5,626,978","5,682,323","5,728,088","5,788,756","5,854,820","5,953,097","6,035,687","6,094,787","6,128,558","6,144,931","6,156,314"
..Black,"2,370,827","2,384,774","2,439,572","2,490,704","2,536,506","2,596,632","2,660,022","2,759,169","2,840,424","2,906,606","2,962,318","2,993,927","3,003,873"
..AIAN,"24,013","24,509","26,742","29,021","31,034","33,319","35,478","38,307","40,788","43,712","46,412","48,599","48,880"
..Asian,"178,391","181,306","195,366","209,316","222,292","236,110","252,126","270,446","286,636","301,790","314,377","323,459","325,573"
..NHPI,"5,301","5,392","5,856","6,406","6,775","7,284","7,632","8,287","8,801","9,301","9,965","10,454","10,528"
.Two or More Races,"72,884","74,333","82,524","90,486","98,098","107,151","115,844","126,507","137,652","148,647","159,216","166,283","167,419"
.NOT HISPANIC,"7,751,426","7,785,727","7,892,910","7,984,971","8,062,660","8,166,678","8,278,963","8,456,150","8,598,820","8,709,842","8,790,441","8,833,964","8,852,692"
..One Race,"7,683,939","7,717,091","7,817,659","7,903,371","7,975,085","8,071,762","8,177,153","8,345,586","8,479,241","8,581,498","8,653,994","8,692,107","8,709,806"
...White,"5,144,857","5,161,651","5,195,757","5,219,133","5,234,969","5,261,067","5,291,045","5,346,493","5,388,079","5,415,515","5,425,952","5,427,133","5,433,271"
...Black,"2,341,977","2,355,363","2,407,426","2,455,646","2,498,460","2,554,810","2,614,226","2,708,272","2,784,152","2,843,924","2,893,337","2,921,236","2,930,586"
...AIAN,"18,095","18,158","18,675","19,030","19,274","19,707","19,987","20,652","21,005","21,247","21,526","21,603","21,712"
...Asian,"175,561","178,427","192,108","205,684","218,378","231,893","247,512","265,386","281,081","295,660","307,768","316,685","318,750"
...NHPI,"3,449","3,492","3,693","3,878","4,004","4,285","4,383","4,783","4,924","5,152","5,411","5,450","5,487"
..Two or More Races,"67,487","68,636","75,251","81,600","87,575","94,916","101,810","110,564","119,579","128,344","136,447","141,857","142,886"
.HISPANIC,"435,227","441,576","484,128","523,285","560,133","602,574","646,959","699,663","751,168","795,001","830,405","853,689","859,895"
..One Race,"429,830","435,879","476,855","514,399","549,610","590,339","632,925","683,720","733,095","774,698","807,636","829,263","835,362"
...White,"390,380","395,338","431,221","463,190","493,119","527,689","563,775","606,604","647,608","679,272","702,606","717,798","723,043"
...Black,"28,850","29,411","32,146","35,058","38,046","41,822","45,796","50,897","56,272","62,682","68,981","72,691","73,287"
...AIAN,"5,918","6,351","8,067","9,991","11,760","13,612","15,491","17,655","19,783","22,465","24,886","26,996","27,168"
...Asian,"2,830","2,879","3,258","3,632","3,914","4,217","4,614","5,060","5,555","6,130","6,609","6,774","6,823"
...NHPI,"1,852","1,900","2,163","2,528","2,771","2,999","3,249","3,504","3,877","4,149","4,554","5,004","5,041"
..Two or More Races,"5,397","5,697","7,273","8,886","10,523","12,235","14,034","15,943","18,073","20,303","22,769","24,426","24,533"
MALE,"4,027,209","4,047,070","4,120,876","4,180,322","4,227,841","4,305,728","4,370,659","4,485,207","4,572,416","4,647,859","4,703,090","4,729,171","4,742,276"
.One Race,"3,991,394","4,010,564","4,080,321","4,136,022","4,179,995","4,253,517","4,314,450","4,423,837","4,505,895","4,575,961","4,626,093","4,648,878","4,661,390"
..White,"2,768,972","2,779,996","2,815,708","2,840,895","2,858,546","2,893,510","2,919,368","2,971,121","3,008,208","3,037,468","3,053,842","3,057,622","3,063,856"
..Black,"1,118,722","1,125,200","1,151,178","1,173,615","1,192,682","1,223,138","1,249,289","1,296,392","1,331,949","1,363,719","1,389,719","1,402,983","1,408,012"
..AIAN,"13,061","13,306","14,356","15,515","16,466","17,701","18,726","20,104","21,617","23,179","24,651","25,938","26,101"
