table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 3. Intercensal Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Hawaii: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
"Sex, Race, and Hispanic Origin","April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,
BOTH SEXES,"1,211,497","1,213,519","1,225,948","1,239,613","1,251,154","1,273,569","1,292,729","1,309,731","1,315,675","1,332,213","1,346,717","1,360,301","1,363,621"
.One Race,"967,645","967,693","977,160","986,693","992,631","1,006,388","1,018,893","1,028,810","1,026,969","1,035,132","1,040,649","1,046,409","1,049,402"
..White,"313,670","311,643","317,697","323,116","325,671","331,483","338,640","344,813","341,883","345,948","347,116","349,051","348,713"
..Black,"23,334","22,938","24,966","26,235","25,480","24,511","25,064","24,767","23,364","23,180","22,995","22,473","22,654"
..AIAN,"3,835","3,684","4,129","4,403","4,579","4,692","4,844","5,043","4,957","5,025","5,138","4,960","5,144"
..Asian,"510,840","512,959","512,276","512,808","514,417","520,052","522,108","523,840","524,348","526,334","528,867","531,633","534,212"
..NHPI,"115,966","116,469","118,092","120,131","122,484","125,650","128,237","130,347","132,417","134,645","136,533","138,292","138,679"
.Two or More Races,"243,852","245,826","248,788","252,920","258,523","267,181","273,836","280,921","288,706","297,081","306,068","313,892","314,219"
.NOT HISPANIC,"1,123,794","1,125,530","1,134,502","1,144,570","1,153,482","1,172,183","1,188,072","1,201,408","1,204,528","1,216,882","1,227,612","1,239,459","1,242,620"
..One Race,"914,131","914,276","920,985","928,002","932,593","944,752","955,549","963,851","961,671","968,233","972,590","978,853","981,347"
...White,"282,401","280,521","284,829","288,799","290,704","295,876","302,106","307,414","304,847","308,150","308,699","310,756","310,188"
...Black,"21,132","20,778","22,761","23,951","23,217","22,226","22,623","22,332","20,960","20,723","20,470","20,075","20,175"
...AIAN,"2,609","2,471","2,767","2,894","2,981","3,033","3,118","3,184","3,061","3,034","2,990","2,854","2,965"
...Asian,"498,254","500,296","499,243","499,386","500,688","505,819","507,674","509,062","509,326","510,902","513,164","515,935","518,433"
...NHPI,"109,735","110,210","111,385","112,972","115,003","117,798","120,028","121,859","123,477","125,424","127,267","129,233","129,586"
..Two or More Races,"209,663","211,254","213,517","216,568","220,889","227,431","232,523","237,557","242,857","248,649","255,022","260,606","261,273"
.HISPANIC,"87,703","87,989","91,446","95,043","97,672","101,386","104,657","108,323","111,147","115,331","119,105","120,842","121,001"
..One Race,"53,514","53,417","56,175","58,691","60,038","61,636","63,344","64,959","65,298","66,899","68,059","67,556","68,055"
...White,"31,269","31,122","32,868","34,317","34,967","35,607","36,534","37,399","37,036","37,798","38,417","38,295","38,525"
...Black,"2,202","2,160","2,205","2,284","2,263","2,285","2,441","2,435","2,404","2,457","2,525","2,398","2,479"
...AIAN,"1,226","1,213","1,362","1,509","1,598","1,659","1,726","1,859","1,896","1,991","2,148","2,106","2,179"
...Asian,"12,586","12,663","13,033","13,422","13,729","14,233","14,434","14,778","15,022","15,432","15,703","15,698","15,779"
...NHPI,"6,231","6,259","6,707","7,159","7,481","7,852","8,209","8,488","8,940","9,221","9,266","9,059","9,093"
..Two or More Races,"34,189","34,572","35,271","36,352","37,634","39,750","41,313","43,364","45,849","48,432","51,046","53,286","52,946"
MALE,"608,651","610,025","616,759","623,421","627,401","636,705","647,916","657,380","658,490","666,900","673,642","681,243","682,892"
.One Race,"486,073","486,351","491,563","496,349","497,554","502,558","510,461","516,099","513,367","517,610","519,703","523,260","524,728"
..White,"168,661","167,880","171,843","175,150","175,448","177,536","182,531","186,385","183,740","186,265","186,342","187,888","187,749"
..Black,"14,236","14,078","15,186","15,762","15,117","14,320","14,911","14,882","14,030","14,021","14,000","13,785","13,873"
..AIAN,"2,027","1,956","2,162","2,312","2,365","2,436","2,558","2,681","2,588","2,648","2,698","2,649","2,745"
..Asian,"242,751","243,769","242,803","242,490","242,783","244,843","245,547","245,991","245,825","246,352","247,283","248,581","249,801"
..NHPI,"58,398","58,668","59,569","60,635","61,841","63,423","64,914","66,160","67,184","68,324","69,380","70,357","70,560"
.Two or More Races,"122,578","123,674","125,196","127,072","129,847","134,147","137,455","141,281","145,123","149,290","153,939","157,983","158,164"
.NOT HISPANIC,"564,351","565,537","570,259","574,888","577,747","585,254","594,824","602,198","602,253","608,558","613,603","620,159","621,702"
..One Race,"458,346","458,624","462,216","465,521","466,232","470,542","477,511","482,191","479,578","483,087","484,764","488,483","489,689"
...White,"151,900","151,146","154,032","156,418","156,547","158,394","162,809","166,205","164,046","166,205","166,196","167,804","167,538"
...Black,"13,077","12,937","14,031","14,573","13,919","13,135","13,671","13,603","12,749","12,732","12,633","12,514","12,571"
...AIAN,"1,363","1,295","1,437","1,477","1,527","1,554","1,632","1,686","1,602","1,590","1,572","1,505","1,558"
...Asian,"236,692","237,672","236,478","235,984","236,114","237,917","238,558","238,831","238,518","238,889","239,664","240,903","242,084"
...NHPI,"55,314","55,574","56,238","57,069","58,125","59,542","60,841","61,866","62,663","63,671","64,699","65,757","65,938"
..Two or More Races,"106,005","106,913","108,043","109,367","111,515","114,712","117,313","120,007","122,675","125,471","128,839","131,676","132,013"
.HISPANIC,"44,300","44,488","46,500","48,533","49,654","51,451","53,092","55,182","56,237","58,342","60,039","61,084","61,190"
..One Race,"27,727","27,727","29,347","30,828","31,322","32,016","32,950","33,908","33,789","34,523","34,939","34,777","35,039"
...White,"16,761","16,734","17,811","18,732","18,901","19,142","19,722","20,180","19,694","20,060","20,146","20,084","20,211"
...Black,"1,159","1,141","1,155","1,189","1,198","1,185","1,240","1,279","1,281","1,289","1,367","1,271","1,302"
...AIAN,664,661,725,835,838,882,926,995,986,"1,058","1,126","1,144","1,187"
...Asian,"6,059","6,097","6,325","6,506","6,669","6,926","6,989","7,160","7,307","7,463","7,619","7,678","7,717"
...NHPI,"3,084","3,094","3,331","3,566","3,716","3,881","4,073","4,294","4,521","4,653","4,681","4,600","4,622"
..Two or More Races,"16,573","16,761","17,153","17,705","18,332","19,435","20,142","21,274","22,448","23,819","25,100","26,307","26,151"
FEMALE,"602,846","603,494","609,189","616,192","623,753","636,864","644,813","652,351","657,185","665,313","673,075","679,058","680,729"
.One Race,"481,572","481,342","485,597","490,344","495,077","503,830","508,432","512,711","513,602","517,522","520,946","523,149","524,674"
..White,"145,009","143,763","145,854","147,966","150,223","153,947","156,109","158,428","158,143","159,683","160,774","161,163","160,964"
..Black,"9,098","8,860","9,780","10,473","10,363","10,191","10,153","9,885","9,334","9,159","8,995","8,688","8,781"
..AIAN,"1,808","1,728","1,967","2,091","2,214","2,256","2,286","2,362","2,369","2,377","2,440","2,311","2,399"
..Asian,"268,089","269,190","269,473","270,318","271,634","275,209","276,561","277,849","278,523","279,982","281,584","283,052","284,411"
..NHPI,"57,568","57,801","58,523","59,496","60,643","62,227","63,323","64,187","65,233","66,321","67,153","67,935","68,119"
.Two or More Races,"121,274","122,152","123,592","125,848","128,676","133,034","136,381","139,640","143,583","147,791","152,129","155,909","156,055"
.NOT HISPANIC,"559,443","559,993","564,243","569,682","575,735","586,929","593,248","599,210","602,275","608,324","614,009","619,300","620,918"
..One Race,"455,785","455,652","458,769","462,481","466,361","474,210","478,038","481,660","482,093","485,146","487,826","490,370","491,658"
...White,"130,501","129,375","130,797","132,381","134,157","137,482","139,297","141,209","140,801","141,945","142,503","142,952","142,650"
...Black,"8,055","7,841","8,730","9,378","9,298","9,091","8,952","8,729","8,211","7,991","7,837","7,561","7,604"
