table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 3. Intercensal Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Idaho: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
"Sex, Race, and Hispanic Origin","April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,
BOTH SEXES,"1,293,957","1,299,430","1,319,962","1,340,372","1,363,380","1,391,802","1,428,241","1,468,669","1,505,105","1,534,320","1,554,439","1,567,582","1,571,450"
.One Race,"1,277,376","1,282,587","1,301,838","1,321,028","1,342,686","1,369,744","1,404,441","1,443,069","1,477,715","1,505,271","1,523,776","1,535,649","1,539,110"
..White,"1,239,176","1,244,029","1,261,313","1,278,798","1,298,524","1,323,502","1,355,373","1,391,427","1,423,152","1,448,715","1,465,210","1,476,097","1,479,357"
..Black,"5,925","5,929","6,582","7,098","7,577","8,173","8,832","9,506","10,175","10,570","11,104","10,950","10,988"
..AIAN,"18,440","18,599","19,163","19,730","20,275","20,862","21,810","22,590","23,482","24,388","25,096","25,782","25,854"
..Asian,"12,368","12,551","13,124","13,634","14,456","15,255","16,326","17,313","18,439","19,037","19,666","20,034","20,134"
..NHPI,"1,467","1,479","1,656","1,768","1,854","1,952","2,100","2,233","2,467","2,561","2,700","2,786","2,777"
.Two or More Races,"16,581","16,843","18,124","19,344","20,694","22,058","23,800","25,600","27,390","29,049","30,663","31,933","32,340"
.NOT HISPANIC,"1,192,267","1,196,392","1,210,895","1,225,534","1,242,686","1,264,494","1,292,896","1,323,174","1,349,883","1,370,464","1,383,621","1,391,681","1,394,127"
..One Race,"1,177,424","1,181,361","1,194,938","1,208,715","1,224,836","1,245,726","1,272,861","1,301,886","1,327,212","1,346,622","1,358,558","1,365,753","1,367,945"
...White,"1,143,388","1,147,078","1,159,297","1,172,004","1,186,779","1,206,173","1,231,398","1,258,723","1,282,193","1,300,432","1,311,213","1,318,281","1,320,319"
...Black,"4,994","4,992","5,543","5,976","6,414","6,918","7,438","7,965","8,450","8,794","9,190","8,960","8,974"
...AIAN,"15,933","15,995","16,153","16,281","16,357","16,524","16,845","17,026","17,226","17,446","17,566","17,615","17,654"
...Asian,"11,874","12,051","12,564","12,998","13,768","14,516","15,471","16,394","17,363","17,897","18,408","18,703","18,806"
...NHPI,"1,235","1,245","1,381","1,456","1,518","1,595","1,709","1,778","1,980","2,053","2,181","2,194","2,192"
..Two or More Races,"14,843","15,031","15,957","16,819","17,850","18,768","20,035","21,288","22,671","23,842","25,063","25,928","26,182"
.HISPANIC,"101,690","103,038","109,067","114,838","120,694","127,308","135,345","145,495","155,222","163,856","170,818","175,901","177,323"
..One Race,"99,952","101,226","106,900","112,313","117,850","124,018","131,580","141,183","150,503","158,649","165,218","169,896","171,165"
...White,"95,788","96,951","102,016","106,794","111,745","117,329","123,975","132,704","140,959","148,283","153,997","157,816","159,038"
...Black,931,937,"1,039","1,122","1,163","1,255","1,394","1,541","1,725","1,776","1,914","1,990","2,014"
...AIAN,"2,507","2,604","3,010","3,449","3,918","4,338","4,965","5,564","6,256","6,942","7,530","8,167","8,200"
...Asian,494,500,560,636,688,739,855,919,"1,076","1,140","1,258","1,331","1,328"
...NHPI,232,234,275,312,336,357,391,455,487,508,519,592,585
..Two or More Races,"1,738","1,812","2,167","2,525","2,844","3,290","3,765","4,312","4,719","5,207","5,600","6,005","6,158"
MALE,"648,661","651,446","661,919","671,686","683,503","698,616","716,258","736,565","754,978","769,528","779,041","785,324","787,407"
.One Race,"640,442","643,091","652,891","662,087","673,216","687,680","704,443","723,918","741,379","755,090","763,858","769,465","771,350"
..White,"621,286","623,756","632,592","641,017","651,162","664,568","679,896","697,936","714,043","726,836","734,448","739,628","741,403"
..Black,"3,538","3,544","3,866","4,093","4,355","4,704","5,035","5,511","5,882","6,098","6,418","6,352","6,375"
..AIAN,"9,195","9,280","9,568","9,859","10,146","10,431","10,948","11,405","11,841","12,257","12,737","13,024","13,070"
..Asian,"5,625","5,704","5,988","6,177","6,567","6,926","7,438","7,874","8,296","8,568","8,824","8,974","9,020"
..NHPI,798,807,877,941,986,"1,051","1,126","1,192","1,317","1,331","1,431","1,487","1,482"
.Two or More Races,"8,219","8,355","9,028","9,599","10,287","10,936","11,815","12,647","13,599","14,438","15,183","15,859","16,057"
.NOT HISPANIC,"594,099","596,170","603,624","610,388","619,228","630,932","644,557","659,799","673,426","683,769","689,918","693,717","695,034"
..One Race,"586,721","588,700","595,669","602,030","610,355","621,616","634,620","649,300","662,163","671,946","677,492","680,834","682,028"
...White,"569,757","571,618","577,916","583,818","591,461","601,980","614,017","627,766","639,775","649,061","653,968","657,322","658,433"
...Black,"3,028","3,030","3,298","3,499","3,731","4,018","4,309","4,700","4,974","5,164","5,420","5,292","5,305"
...AIAN,"7,899","7,930","8,027","8,085","8,138","8,205","8,381","8,485","8,604","8,680","8,766","8,757","8,780"
...Asian,"5,367","5,443","5,691","5,846","6,201","6,554","6,995","7,390","7,753","7,977","8,181","8,291","8,340"
...NHPI,670,679,737,782,824,859,918,959,"1,057","1,064","1,157","1,172","1,170"
