table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 3. Intercensal Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Illinois: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
"Sex, Race, and Hispanic Origin","April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,
BOTH SEXES,"12,419,927","12,434,161","12,488,445","12,525,556","12,556,006","12,589,773","12,609,903","12,643,955","12,695,866","12,747,038","12,796,778","12,830,632","12,843,166"
.One Race,"12,303,288","12,315,784","12,361,824","12,390,939","12,412,948","12,437,812","12,449,156","12,473,687","12,515,184","12,555,426","12,594,296","12,619,726","12,631,316"
..White,"9,922,146","9,926,774","9,950,330","9,959,242","9,964,017","9,970,145","9,964,479","9,967,930","9,986,807","10,005,771","10,021,665","10,030,587","10,035,802"
..Black,"1,901,825","1,904,071","1,905,312","1,904,805","1,902,184","1,901,496","1,898,861","1,898,778","1,898,664","1,899,301","1,901,265","1,903,458","1,906,506"
..AIAN,"36,554","37,313","40,510","43,515","46,808","50,305","53,745","57,498","61,312","65,428","70,322","73,846","74,173"
..Asian,"435,447","440,259","458,224","475,938","492,522","508,408","524,593","542,040","560,914","577,412","593,539","604,399","607,348"
..NHPI,"7,316","7,367","7,448","7,439","7,417","7,458","7,478","7,441","7,487","7,514","7,505","7,436","7,487"
.Two or More Races,"116,639","118,377","126,621","134,617","143,058","151,961","160,747","170,268","180,682","191,612","202,482","210,906","211,850"
.NOT HISPANIC,"10,889,607","10,889,996","10,886,912","10,872,256","10,854,083","10,842,501","10,817,754","10,803,728","10,806,239","10,805,690","10,806,223","10,803,054","10,804,111"
..One Race,"10,786,097","10,785,219","10,776,112","10,755,783","10,731,596","10,713,648","10,682,831","10,662,240","10,657,260","10,649,009","10,641,943","10,632,979","10,633,048"
...White,"8,471,169","8,463,959","8,437,752","8,402,531","8,366,970","8,336,546","8,295,679","8,261,379","8,241,479","8,220,384","8,199,983","8,181,822","8,176,300"
...Black,"1,864,781","1,866,478","1,865,851","1,863,590","1,859,004","1,856,036","1,850,776","1,847,829","1,844,713","1,841,980","1,840,178","1,839,360","1,841,965"
...AIAN,"18,716","18,665","18,810","18,789","18,758","18,980","19,009","19,037","19,102","19,111","19,146","19,120","19,204"
...Asian,"428,158","432,829","450,338","467,515","483,553","498,762","514,077","530,708","548,686","564,266","579,422","589,514","592,382"
...NHPI,"3,273","3,288","3,361","3,358","3,311","3,324","3,290","3,287","3,280","3,268","3,214","3,163","3,197"
..Two or More Races,"103,510","104,777","110,800","116,473","122,487","128,853","134,923","141,488","148,979","156,681","164,280","170,075","171,063"
.HISPANIC,"1,530,320","1,544,165","1,601,533","1,653,300","1,701,923","1,747,272","1,792,149","1,840,227","1,889,627","1,941,348","1,990,555","2,027,578","2,039,055"
..One Race,"1,517,191","1,530,565","1,585,712","1,635,156","1,681,352","1,724,164","1,766,325","1,811,447","1,857,924","1,906,417","1,952,353","1,986,747","1,998,268"
...White,"1,450,977","1,462,815","1,512,578","1,556,711","1,597,047","1,633,599","1,668,800","1,706,551","1,745,328","1,785,387","1,821,682","1,848,765","1,859,502"
...Black,"37,044","37,593","39,461","41,215","43,180","45,460","48,085","50,949","53,951","57,321","61,087","64,098","64,541"
...AIAN,"17,838","18,648","21,700","24,726","28,050","31,325","34,736","38,461","42,210","46,317","51,176","54,726","54,969"
...Asian,"7,289","7,430","7,886","8,423","8,969","9,646","10,516","11,332","12,228","13,146","14,117","14,885","14,966"
...NHPI,"4,043","4,079","4,087","4,081","4,106","4,134","4,188","4,154","4,207","4,246","4,291","4,273","4,290"
..Two or More Races,"13,129","13,600","15,821","18,144","20,571","23,108","25,824","28,780","31,703","34,931","38,202","40,831","40,787"
