table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 3. Intercensal Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Indiana: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
"Sex, Race, and Hispanic Origin","April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,
BOTH SEXES,"6,080,827","6,091,866","6,127,760","6,155,967","6,196,638","6,233,007","6,278,616","6,332,669","6,379,599","6,424,806","6,459,325","6,483,802","6,490,621"
.One Race,"6,024,901","6,035,055","6,066,602","6,090,248","6,126,269","6,157,767","6,198,219","6,246,614","6,287,761","6,327,361","6,355,994","6,376,184","6,382,200"
..White,"5,428,653","5,435,770","5,454,064","5,465,558","5,487,993","5,505,822","5,531,635","5,562,992","5,589,313","5,614,404","5,628,844","5,638,833","5,642,662"
..Black,"516,391","518,311","526,774","533,829","542,149","550,372","559,224","570,182","579,608","589,021","597,417","603,797","605,342"
..AIAN,"16,658","16,850","17,539","18,296","18,888","19,626","20,303","21,214","21,955","22,838","23,720","24,487","24,575"
..Asian,"60,819","61,734","65,646","69,911","74,562","79,148","84,088","89,095","93,671","97,734","102,450","105,535","106,075"
..NHPI,"2,380","2,390","2,579","2,654","2,677","2,799","2,969","3,131","3,214","3,364","3,563","3,532","3,546"
.Two or More Races,"55,926","56,811","61,158","65,719","70,369","75,240","80,397","86,055","91,838","97,445","103,331","107,618","108,421"
.NOT HISPANIC,"5,866,242","5,874,540","5,893,291","5,906,558","5,930,402","5,949,791","5,975,259","6,008,312","6,035,946","6,063,091","6,081,468","6,094,095","6,098,250"
..One Race,"5,813,471","5,820,995","5,836,146","5,845,644","5,865,674","5,880,978","5,902,235","5,930,546","5,953,295","5,975,782","5,989,331","5,998,324","6,001,833"
...White,"5,229,922","5,234,732","5,238,356","5,237,203","5,245,261","5,248,633","5,257,145","5,270,708","5,280,772","5,291,029","5,293,126","5,294,209","5,295,744"
...Black,"508,404","510,177","517,776","524,204","531,592","538,913","546,808","556,549","564,672","572,904","579,705","584,979","586,388"
...AIAN,"13,857","13,892","13,984","14,074","14,027","14,101","14,153","14,297","14,365","14,423","14,400","14,274","14,308"
