table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 3. Intercensal Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Iowa: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
"Sex, Race, and Hispanic Origin","April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,
BOTH SEXES,"2,926,538","2,929,067","2,931,997","2,934,234","2,941,999","2,953,635","2,964,454","2,982,644","2,999,212","3,016,734","3,032,870","3,046,355","3,049,883"
.One Race,"2,903,444","2,905,694","2,906,751","2,907,188","2,912,966","2,922,481","2,931,270","2,947,006","2,961,163","2,976,100","2,989,886","3,001,524","3,004,543"
..White,"2,791,860","2,793,299","2,790,973","2,787,830","2,789,316","2,794,216","2,798,240","2,808,422","2,816,456","2,825,541","2,832,951","2,839,615","2,842,185"
..Black,"63,367","63,677","65,541","67,360","69,438","71,875","74,702","78,082","81,911","85,797","89,275","91,695","91,905"
..AIAN,"9,506","9,540","9,973","10,366","10,717","11,140","11,421","11,817","12,376","12,758","13,286","13,563","13,583"
..Asian,"37,565","38,026","38,976","40,292","41,940","43,641","45,177","46,856","48,407","50,002","52,165","54,232","54,467"
..NHPI,"1,146","1,152","1,288","1,340","1,555","1,609","1,730","1,829","2,013","2,002","2,209","2,419","2,403"
.Two or More Races,"23,094","23,373","25,246","27,046","29,033","31,154","33,184","35,638","38,049","40,634","42,984","44,831","45,340"
.NOT HISPANIC,"2,844,058","2,845,653","2,841,527","2,837,448","2,838,968","2,843,863","2,848,038","2,858,930","2,868,170","2,878,915","2,886,829","2,894,811","2,897,187"
..One Race,"2,822,401","2,823,750","2,818,067","2,812,483","2,812,330","2,815,435","2,817,934","2,826,755","2,833,943","2,842,433","2,848,380","2,854,787","2,856,876"
...White,"2,714,813","2,715,406","2,706,934","2,698,273","2,694,369","2,693,383","2,691,670","2,695,523","2,697,483","2,700,698","2,701,206","2,703,407","2,705,090"
...Black,"61,535","61,831","63,498","65,199","67,079","69,343","71,957","75,183","78,722","82,389","85,543","87,707","87,886"
...AIAN,"8,057","8,050","8,200","8,284","8,365","8,507","8,523","8,594","8,651","8,692","8,809","8,641","8,642"
...Asian,"37,077","37,538","38,420","39,689","41,311","42,954","44,458","46,043","47,537","49,118","51,150","53,193","53,427"
...NHPI,919,925,"1,015","1,038","1,206","1,248","1,326","1,412","1,550","1,536","1,672","1,839","1,831"
..Two or More Races,"21,657","21,903","23,460","24,965","26,638","28,428","30,104","32,175","34,227","36,482","38,449","40,024","40,311"
.HISPANIC,"82,480","83,414","90,470","96,786","103,031","109,772","116,416","123,714","131,042","137,819","146,041","151,544","152,696"
..One Race,"81,043","81,944","88,684","94,705","100,636","107,046","113,336","120,251","127,220","133,667","141,506","146,737","147,667"
...White,"77,047","77,893","84,039","89,557","94,947","100,833","106,570","112,899","118,973","124,843","131,745","136,208","137,095"
...Black,"1,832","1,846","2,043","2,161","2,359","2,532","2,745","2,899","3,189","3,408","3,732","3,988","4,019"
...AIAN,"1,449","1,490","1,773","2,082","2,352","2,633","2,898","3,223","3,725","4,066","4,477","4,922","4,941"
...Asian,488,488,556,603,629,687,719,813,870,884,"1,015","1,039","1,040"
...NHPI,227,227,273,302,349,361,404,417,463,466,537,580,572
..Two or More Races,"1,437","1,470","1,786","2,081","2,395","2,726","3,080","3,463","3,822","4,152","4,535","4,807","5,029"
MALE,"1,435,621","1,437,292","1,439,710","1,442,784","1,448,092","1,454,747","1,461,435","1,471,520","1,481,189","1,491,195","1,500,131","1,508,319","1,510,348"
.One Race,"1,424,116","1,425,636","1,427,112","1,429,286","1,433,630","1,439,225","1,444,854","1,453,719","1,462,183","1,470,884","1,478,628","1,485,850","1,487,619"
..White,"1,367,182","1,368,221","1,368,042","1,368,218","1,370,242","1,373,371","1,376,713","1,382,687","1,387,833","1,393,396","1,397,981","1,402,342","1,403,865"
..Black,"32,997","33,207","34,162","35,347","36,424","37,784","39,247","41,022","43,110","45,252","47,054","48,460","48,585"
..AIAN,"4,713","4,733","4,945","5,158","5,375","5,576","5,661","5,905","6,231","6,470","6,720","6,864","6,875"
..Asian,"18,634","18,880","19,289","19,889","20,775","21,643","22,332","23,150","23,956","24,740","25,754","26,928","27,044"
..NHPI,590,595,674,674,814,851,901,955,"1,053","1,026","1,119","1,256","1,250"
.Two or More Races,"11,505","11,656","12,598","13,498","14,462","15,522","16,581","17,801","19,006","20,311","21,503","22,469","22,729"
.NOT HISPANIC,"1,390,678","1,391,839","1,390,632","1,390,411","1,392,639","1,395,963","1,399,204","1,405,535","1,411,387","1,418,129","1,422,975","1,428,328","1,429,733"
..One Race,"1,379,896","1,380,930","1,378,935","1,377,966","1,379,384","1,381,821","1,384,205","1,389,488","1,394,321","1,399,936","1,403,764","1,408,301","1,409,557"
...White,"1,325,044","1,325,623","1,322,310","1,319,637","1,319,046","1,319,267","1,319,674","1,322,349","1,324,398","1,327,202","1,328,258","1,330,345","1,331,384"
...Black,"32,042","32,245","33,099","34,190","35,166","36,448","37,775","39,489","41,407","43,434","45,103","46,365","46,472"
...AIAN,"3,955","3,956","4,007","4,045","4,104","4,179","4,142","4,222","4,247","4,270","4,350","4,248","4,247"
...Asian,"18,392","18,638","19,006","19,589","20,448","21,287","21,945","22,718","23,485","24,267","25,232","26,401","26,515"
...NHPI,463,468,513,505,620,640,669,710,784,763,821,942,939
..Two or More Races,"10,782","10,909","11,697","12,445","13,255","14,142","14,999","16,047","17,066","18,193","19,211","20,027","20,176"
.HISPANIC,"44,943","45,453","49,078","52,373","55,453","58,784","62,231","65,985","69,802","73,066","77,156","79,991","80,615"
..One Race,"44,220","44,706","48,177","51,320","54,246","57,404","60,649","64,231","67,862","70,948","74,864","77,549","78,062"
...White,"42,138","42,598","45,732","48,581","51,196","54,104","57,039","60,338","63,435","66,194","69,723","71,997","72,481"
...Black,955,962,"1,063","1,157","1,258","1,336","1,472","1,533","1,703","1,818","1,951","2,095","2,113"
...AIAN,758,777,938,"1,113","1,271","1,397","1,519","1,683","1,984","2,200","2,370","2,616","2,628"
...Asian,242,242,283,300,327,356,387,432,471,473,522,527,529
...NHPI,127,127,161,169,194,211,232,245,269,263,298,314,311
..Two or More Races,723,747,901,"1,053","1,207","1,380","1,582","1,754","1,940","2,118","2,292","2,442","2,553"
FEMALE,"1,490,917","1,491,775","1,492,287","1,491,450","1,493,907","1,498,888","1,503,019","1,511,124","1,518,023","1,525,539","1,532,739","1,538,036","1,539,535"
.One Race,"1,479,328","1,480,058","1,479,639","1,477,902","1,479,336","1,483,256","1,486,416","1,493,287","1,498,980","1,505,216","1,511,258","1,515,674","1,516,924"
..White,"1,424,678","1,425,078","1,422,931","1,419,612","1,419,074","1,420,845","1,421,527","1,425,735","1,428,623","1,432,145","1,434,970","1,437,273","1,438,320"
..Black,"30,370","30,470","31,379","32,013","33,014","34,091","35,455","37,060","38,801","40,545","42,221","43,235","43,320"
