table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 3. Intercensal Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Kansas: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
"Sex, Race, and Hispanic Origin","April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,
BOTH SEXES,"2,688,925","2,693,681","2,702,162","2,713,535","2,723,004","2,734,373","2,745,299","2,762,931","2,783,785","2,808,076","2,832,704","2,853,118","2,859,169"
.One Race,"2,648,169","2,652,241","2,658,243","2,666,753","2,673,332","2,681,860","2,689,887","2,704,520","2,721,899","2,742,201","2,762,764","2,779,891","2,785,312"
..White,"2,414,864","2,417,833","2,420,268","2,424,306","2,427,496","2,432,319","2,437,298","2,447,092","2,459,729","2,473,656","2,488,611","2,501,057","2,505,412"
..Black,"157,441","157,776","158,492","159,551","159,824","161,027","161,304","163,948","165,946","169,253","171,248","173,298","173,868"
..AIAN,"25,995","26,173","26,726","27,399","27,966","28,560","29,275","29,893","30,432","31,093","32,315","33,044","33,151"
..Asian,"48,246","48,833","50,950","53,604","56,035","57,880","59,777","61,299","63,428","65,629","67,924","69,628","70,020"
..NHPI,"1,623","1,626","1,807","1,893","2,011","2,074","2,233","2,288","2,364","2,570","2,666","2,864","2,861"
.Two or More Races,"40,756","41,440","43,919","46,782","49,672","52,513","55,412","58,411","61,886","65,875","69,940","73,227","73,857"
.NOT HISPANIC,"2,500,627","2,503,048","2,501,442","2,503,035","2,502,650","2,504,249","2,504,648","2,511,304","2,520,130","2,531,332","2,543,151","2,553,076","2,556,860"
..One Race,"2,462,920","2,464,773","2,461,269","2,460,623","2,457,998","2,457,372","2,455,602","2,460,031","2,466,066","2,474,195","2,482,694","2,489,987","2,493,333"
...White,"2,239,310","2,240,250","2,234,088","2,229,920","2,224,747","2,221,270","2,217,682","2,218,707","2,221,452","2,224,794","2,229,389","2,233,536","2,235,927"
...Black,"152,610","152,869","153,226","153,960","154,009","154,811","154,617","156,714","157,996","160,649","162,018","163,542","164,044"
...AIAN,"22,515","22,586","22,693","22,825","22,931","23,080","23,172","23,106","23,077","23,027","23,282","23,157","23,224"
...Asian,"47,287","47,869","49,932","52,545","54,857","56,708","58,487","59,880","61,862","63,926","66,152","67,726","68,113"
...NHPI,"1,198","1,199","1,330","1,373","1,454","1,503","1,644","1,624","1,679","1,799","1,853","2,026","2,025"
..Two or More Races,"37,707","38,275","40,173","42,412","44,652","46,877","49,046","51,273","54,064","57,137","60,457","63,089","63,527"
.HISPANIC,"188,298","190,633","200,720","210,500","220,354","230,124","240,651","251,627","263,655","276,744","289,553","300,042","302,309"
..One Race,"185,249","187,468","196,974","206,130","215,334","224,488","234,285","244,489","255,833","268,006","280,070","289,904","291,979"
...White,"175,554","177,583","186,180","194,386","202,749","211,049","219,616","228,385","238,277","248,862","259,222","267,521","269,485"
...Black,"4,831","4,907","5,266","5,591","5,815","6,216","6,687","7,234","7,950","8,604","9,230","9,756","9,824"
...AIAN,"3,480","3,587","4,033","4,574","5,035","5,480","6,103","6,787","7,355","8,066","9,033","9,887","9,927"
...Asian,959,964,"1,018","1,059","1,178","1,172","1,290","1,419","1,566","1,703","1,772","1,902","1,907"
...NHPI,425,427,477,520,557,571,589,664,685,771,813,838,836
..Two or More Races,"3,049","3,165","3,746","4,370","5,020","5,636","6,366","7,138","7,822","8,738","9,483","10,138","10,330"
MALE,"1,328,727","1,331,181","1,336,196","1,341,637","1,345,589","1,351,977","1,357,341","1,368,839","1,378,080","1,392,513","1,404,565","1,415,408","1,418,722"
.One Race,"1,308,646","1,310,773","1,314,549","1,318,612","1,321,146","1,326,036","1,329,987","1,340,021","1,347,664","1,360,082","1,370,235","1,379,372","1,382,346"
..White,"1,191,630","1,193,196","1,195,417","1,197,431","1,198,183","1,201,172","1,203,618","1,210,798","1,216,302","1,225,052","1,232,351","1,239,213","1,241,622"
..Black,"79,319","79,516","79,796","80,249","80,468","81,244","81,479","83,270","84,153","86,329","87,334","88,504","88,815"
..AIAN,"13,180","13,266","13,524","13,819","14,114","14,358","14,705","15,109","15,362","15,659","16,357","16,675","16,735"
..Asian,"23,681","23,954","24,848","26,107","27,330","28,156","28,991","29,636","30,615","31,646","32,747","33,441","33,635"
..NHPI,836,841,964,"1,006","1,051","1,106","1,194","1,208","1,232","1,396","1,446","1,539","1,539"
.Two or More Races,"20,081","20,408","21,647","23,025","24,443","25,941","27,354","28,818","30,416","32,431","34,330","36,036","36,376"
.NOT HISPANIC,"1,227,882","1,229,111","1,228,842","1,229,479","1,228,653","1,230,488","1,230,510","1,236,262","1,239,851","1,247,650","1,253,468","1,258,923","1,261,018"
..One Race,"1,209,353","1,210,305","1,209,074","1,208,641","1,206,694","1,207,333","1,206,297","1,211,000","1,213,290","1,219,559","1,223,818","1,227,934","1,229,782"
