table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 3. Intercensal Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Kentucky: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
"Sex, Race, and Hispanic Origin","April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,
BOTH SEXES,"4,042,193","4,049,021","4,068,132","4,089,875","4,117,170","4,146,101","4,182,742","4,219,239","4,256,672","4,289,878","4,317,074","4,339,367","4,346,266"
.One Race,"4,007,844","4,014,184","4,030,579","4,049,643","4,074,072","4,099,878","4,133,263","4,166,412","4,200,056","4,229,494","4,252,904","4,272,478","4,278,714"
..White,"3,667,953","3,672,766","3,682,706","3,696,053","3,715,675","3,733,491","3,759,457","3,786,270","3,811,498","3,835,099","3,850,283","3,864,193","3,868,991"
..Black,"298,866","299,914","304,025","307,401","309,918","315,144","319,733","323,722","329,622","333,202","338,934","342,804","343,925"
..AIAN,"8,942","9,008","9,388","9,605","9,736","10,198","10,463","10,682","11,088","11,352","11,686","12,105","12,138"
..Asian,"30,462","30,869","32,648","34,687","36,694","38,821","41,194","43,127","45,015","46,989","48,788","50,177","50,460"
..NHPI,"1,621","1,627","1,812","1,897","2,049","2,224","2,416","2,611","2,833","2,852","3,213","3,199","3,200"
.Two or More Races,"34,349","34,837","37,553","40,232","43,098","46,223","49,479","52,827","56,616","60,384","64,170","66,889","67,552"
.NOT HISPANIC,"3,982,257","3,988,291","4,000,972","4,016,678","4,037,154","4,058,894","4,087,504","4,117,059","4,145,753","4,171,516","4,190,350","4,206,531","4,212,347"
..One Race,"3,949,300","3,954,876","3,965,162","3,978,458","3,996,479","4,015,369","4,041,165","4,067,725","4,092,992","4,115,393","4,130,842","4,144,636","4,150,010"
...White,"3,614,737","3,618,849","3,623,440","3,631,655","3,645,541","3,657,154","3,676,498","3,697,583","3,715,505","3,732,834","3,741,103","3,750,091","3,754,102"
...Black,"295,295","296,320","300,034","303,114","305,301","310,101","314,119","317,559","322,868","326,135","331,167","334,712","335,784"
...AIAN,"8,044","8,074","8,257","8,247","8,240","8,480","8,536","8,515","8,607","8,652","8,734","8,710","8,725"
...Asian,"29,919","30,325","32,029","34,006","35,923","37,997","40,288","42,183","43,976","45,805","47,627","49,004","49,277"
...NHPI,"1,305","1,308","1,402","1,436","1,474","1,637","1,724","1,885","2,036","1,967","2,211","2,119","2,122"
..Two or More Races,"32,957","33,415","35,810","38,220","40,675","43,525","46,339","49,334","52,761","56,123","59,508","61,895","62,337"
.HISPANIC,"59,936","60,730","67,160","73,197","80,016","87,207","95,238","102,180","110,919","118,362","126,724","132,836","133,919"
..One Race,"58,544","59,308","65,417","71,185","77,593","84,509","92,098","98,687","107,064","114,101","122,062","127,842","128,704"
...White,"53,216","53,917","59,266","64,398","70,134","76,337","82,959","88,687","95,993","102,265","109,180","114,102","114,889"
...Black,"3,571","3,594","3,991","4,287","4,617","5,043","5,614","6,163","6,754","7,067","7,767","8,092","8,141"
...AIAN,898,934,"1,131","1,358","1,496","1,718","1,927","2,167","2,481","2,700","2,952","3,395","3,413"
...Asian,543,544,619,681,771,824,906,944,"1,039","1,184","1,161","1,173","1,183"
...NHPI,316,319,410,461,575,587,692,726,797,885,"1,002","1,080","1,078"
..Two or More Races,"1,392","1,422","1,743","2,012","2,423","2,698","3,140","3,493","3,855","4,261","4,662","4,994","5,215"
MALE,"1,975,529","1,979,305","1,991,261","2,002,652","2,014,862","2,034,050","2,053,084","2,070,143","2,092,462","2,106,346","2,123,938","2,134,952","2,138,655"
.One Race,"1,958,609","1,962,145","1,972,734","1,982,838","1,993,640","2,011,246","2,028,598","2,043,994","2,064,363","2,076,616","2,092,190","2,101,985","2,105,344"
..White,"1,792,986","1,795,733","1,802,600","1,809,982","1,818,720","1,831,206","1,844,958","1,857,554","1,872,998","1,883,018","1,893,557","1,900,523","1,903,143"
..Black,"145,511","146,085","148,607","150,287","151,251","154,874","157,198","159,062","162,716","164,057","167,797","169,772","170,355"
