table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 3. Intercensal Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Louisiana: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
"Sex, Race, and Hispanic Origin","April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,
BOTH SEXES,"4,469,035","4,471,885","4,477,875","4,497,267","4,521,042","4,552,238","4,576,628","4,302,665","4,375,581","4,435,586","4,491,648","4,533,372","4,544,228"
.One Race,"4,435,851","4,438,338","4,441,768","4,458,496","4,479,502","4,507,826","4,529,204","4,255,967","4,325,371","4,381,497","4,433,961","4,473,298","4,483,641"
..White,"2,894,426","2,894,096","2,891,300","2,896,613","2,904,896","2,917,956","2,926,779","2,810,184","2,835,720","2,856,584","2,881,936","2,902,875","2,907,540"
..Black,"1,457,931","1,459,999","1,464,218","1,472,718","1,482,589","1,494,615","1,504,504","1,353,087","1,393,397","1,424,816","1,447,708","1,462,969","1,468,065"
..AIAN,"26,086","26,224","26,975","27,734","28,376","29,185","29,915","29,135","30,119","31,231","32,161","33,037","33,160"
..Asian,"55,973","56,580","57,651","59,720","61,826","64,107","65,947","61,522","63,899","66,552","69,695","71,829","72,277"
..NHPI,"1,435","1,439","1,624","1,711","1,815","1,963","2,059","2,039","2,236","2,314","2,461","2,588","2,599"
.Two or More Races,"33,184","33,547","36,107","38,771","41,540","44,412","47,424","46,698","50,210","54,089","57,687","60,074","60,587"
.NOT HISPANIC,"4,361,296","4,362,888","4,361,665","4,373,212","4,389,774","4,412,500","4,427,827","4,157,225","4,216,730","4,264,720","4,308,192","4,340,812","4,350,063"
..One Race,"4,330,509","4,331,791","4,328,399","4,337,718","4,351,962","4,372,206","4,385,068","4,115,549","4,172,049","4,216,725","4,257,124","4,287,716","4,296,646"
...White,"2,803,027","2,801,616","2,793,000","2,791,749","2,793,947","2,799,804","2,801,152","2,687,730","2,701,997","2,712,973","2,727,718","2,740,980","2,744,393"
...Black,"1,446,738","1,448,727","1,452,442","1,460,509","1,470,009","1,481,621","1,490,931","1,340,260","1,379,458","1,409,869","1,431,901","1,446,739","1,451,721"
...AIAN,"24,438","24,542","24,988","25,488","25,909","26,497","26,911","25,947","26,672","27,322","27,888","28,352","28,444"
...Asian,"55,200","55,803","56,771","58,736","60,808","62,925","64,657","60,280","62,453","65,051","68,044","70,056","70,487"
...NHPI,"1,106","1,103","1,198","1,236","1,289","1,359","1,417","1,332","1,469","1,510","1,573","1,589","1,601"
..Two or More Races,"30,787","31,097","33,266","35,494","37,812","40,294","42,759","41,676","44,681","47,995","51,068","53,096","53,417"
.HISPANIC,"107,739","108,997","116,210","124,055","131,268","139,738","148,801","145,440","158,851","170,866","183,456","192,560","194,165"
..One Race,"105,342","106,547","113,369","120,778","127,540","135,620","144,136","140,418","153,322","164,772","176,837","185,582","186,995"
...White,"91,399","92,480","98,300","104,864","110,949","118,152","125,627","122,454","133,723","143,611","154,218","161,895","163,147"
...Black,"11,193","11,272","11,776","12,209","12,580","12,994","13,573","12,827","13,939","14,947","15,807","16,230","16,344"
...AIAN,"1,648","1,682","1,987","2,246","2,467","2,688","3,004","3,188","3,447","3,909","4,273","4,685","4,716"
...Asian,773,777,880,984,"1,018","1,182","1,290","1,242","1,446","1,501","1,651","1,773","1,790"
...NHPI,329,336,426,475,526,604,642,707,767,804,888,999,998
..Two or More Races,"2,397","2,450","2,841","3,277","3,728","4,118","4,665","5,022","5,529","6,094","6,619","6,978","7,170"
MALE,"2,162,942","2,164,907","2,169,812","2,181,743","2,193,889","2,213,485","2,227,187","2,098,593","2,136,456","2,165,956","2,196,449","2,219,292","2,225,055"
.One Race,"2,146,822","2,148,606","2,152,159","2,162,751","2,173,547","2,191,692","2,203,883","2,075,699","2,111,753","2,139,438","2,168,140","2,189,813","2,195,302"
..White,"1,418,365","1,418,539","1,418,540","1,422,716","1,426,943","1,436,877","1,442,501","1,385,860","1,400,965","1,412,308","1,427,393","1,439,817","1,442,419"
..Black,"686,366","687,591","690,174","695,158","700,374","706,928","712,276","643,529","662,687","677,240","688,559","696,213","698,801"
..AIAN,"13,180","13,252","13,663","14,037","14,385","14,755","15,140","14,728","15,247","15,766","16,268","16,723","16,788"
..Asian,"28,136","28,445","28,911","29,916","30,896","32,066","32,862","30,508","31,633","32,896","34,630","35,645","35,870"
..NHPI,775,779,871,924,949,"1,066","1,104","1,074","1,221","1,228","1,290","1,415","1,424"
.Two or More Races,"16,120","16,301","17,653","18,992","20,342","21,793","23,304","22,894","24,703","26,518","28,309","29,479","29,753"
.NOT HISPANIC,"2,108,090","2,109,332","2,109,902","2,117,415","2,125,420","2,139,677","2,147,967","2,020,465","2,050,374","2,073,082","2,095,753","2,112,898","2,117,749"
..One Race,"2,093,120","2,094,204","2,093,637","2,100,054","2,106,951","2,119,969","2,127,016","2,000,125","2,028,512","2,049,677","2,070,822","2,086,992","2,091,669"
...White,"1,371,561","1,371,111","1,367,618","1,368,069","1,368,838","1,374,137","1,375,283","1,319,725","1,328,141","1,333,808","1,342,246","1,349,846","1,351,733"
...Black,"680,939","682,118","684,380","689,150","694,122","700,423","705,420","636,981","655,477","669,475","680,247","687,627","690,152"
...AIAN,"12,302","12,352","12,552","12,792","12,978","13,260","13,427","12,915","13,259","13,521","13,785","14,007","14,053"
...Asian,"27,738","28,046","28,472","29,405","30,372","31,441","32,166","29,846","30,877","32,120","33,764","34,697","34,909"
...NHPI,580,577,615,638,641,708,720,658,758,753,780,815,822
..Two or More Races,"14,970","15,128","16,265","17,361","18,469","19,708","20,951","20,340","21,862","23,405","24,931","25,906","26,080"
.HISPANIC,"54,852","55,575","59,910","64,328","68,469","73,808","79,220","78,128","86,082","92,874","100,696","106,394","107,306"
..One Race,"53,702","54,402","58,522","62,697","66,596","71,723","76,867","75,574","83,241","89,761","97,318","102,821","103,633"
...White,"46,804","47,428","50,922","54,647","58,105","62,740","67,218","66,135","72,824","78,500","85,147","89,971","90,686"
...Black,"5,427","5,473","5,794","6,008","6,252","6,505","6,856","6,548","7,210","7,765","8,312","8,586","8,649"
...AIAN,878,900,"1,111","1,245","1,407","1,495","1,713","1,813","1,988","2,245","2,483","2,716","2,735"
...Asian,398,399,439,511,524,625,696,662,756,776,866,948,961
...NHPI,195,202,256,286,308,358,384,416,463,475,510,600,602
..Two or More Races,"1,150","1,173","1,388","1,631","1,873","2,085","2,353","2,554","2,841","3,113","3,378","3,573","3,673"
FEMALE,"2,306,093","2,306,978","2,308,063","2,315,524","2,327,153","2,338,753","2,349,441","2,204,072","2,239,125","2,269,630","2,295,199","2,314,080","2,319,173"
.One Race,"2,289,029","2,289,732","2,289,609","2,295,745","2,305,955","2,316,134","2,325,321","2,180,268","2,213,618","2,242,059","2,265,821","2,283,485","2,288,339"
..White,"1,476,061","1,475,557","1,472,760","1,473,897","1,477,953","1,481,079","1,484,278","1,424,324","1,434,755","1,444,276","1,454,543","1,463,058","1,465,121"
