table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 3. Intercensal Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Maine: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
"Sex, Race, and Hispanic Origin","April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,
BOTH SEXES,"1,274,779","1,277,072","1,285,692","1,295,960","1,306,513","1,313,688","1,318,787","1,323,619","1,327,040","1,330,509","1,329,590","1,328,361","1,327,567"
.One Race,"1,264,196","1,266,368","1,274,238","1,283,590","1,293,200","1,299,523","1,303,718","1,307,659","1,310,174","1,312,650","1,310,807","1,308,964","1,307,856"
..White,"1,240,091","1,242,070","1,248,311","1,255,910","1,263,512","1,268,201","1,270,616","1,273,045","1,274,201","1,275,053","1,272,014","1,269,764","1,268,725"
..Black,"7,208","7,231","8,189","9,168","10,453","11,451","12,557","13,541","14,465","15,407","16,150","16,269","16,239"
..AIAN,"7,173","7,226","7,437","7,611","7,801","7,878","8,065","8,213","8,371","8,585","8,766","8,771","8,736"
..Asian,"9,325","9,442","9,904","10,484","11,021","11,594","12,091","12,455","12,739","13,221","13,492","13,783","13,785"
..NHPI,399,399,397,417,413,399,389,405,398,384,385,377,371
.Two or More Races,"10,583","10,704","11,454","12,370","13,313","14,165","15,069","15,960","16,866","17,859","18,783","19,397","19,711"
.NOT HISPANIC,"1,265,423","1,267,651","1,275,202","1,284,495","1,293,993","1,300,224","1,304,480","1,308,534","1,311,246","1,314,010","1,312,473","1,311,426","1,310,384"
..One Race,"1,255,209","1,257,313","1,264,178","1,272,648","1,281,269","1,286,697","1,290,155","1,293,412","1,295,299","1,297,174","1,294,776","1,293,145","1,292,009"
...White,"1,232,039","1,233,954","1,239,330","1,246,130","1,252,772","1,256,609","1,258,397","1,260,194","1,260,774","1,261,077","1,257,700","1,255,527","1,254,457"
...Black,"6,692","6,712","7,602","8,548","9,842","10,817","11,844","12,812","13,709","14,631","15,259","15,453","15,427"
...AIAN,"6,954","7,006","7,154","7,286","7,451","7,511","7,666","7,780","7,920","8,113","8,206","8,266","8,233"
...Asian,"9,187","9,304","9,757","10,327","10,859","11,428","11,909","12,276","12,552","13,031","13,290","13,583","13,592"
...NHPI,337,337,335,357,345,332,339,350,344,322,321,316,300
..Two or More Races,"10,214","10,338","11,024","11,847","12,724","13,527","14,325","15,122","15,947","16,836","17,697","18,281","18,375"
.HISPANIC,"9,356","9,421","10,490","11,465","12,520","13,464","14,307","15,085","15,794","16,499","17,117","16,935","17,183"
..One Race,"8,987","9,055","10,060","10,942","11,931","12,826","13,563","14,247","14,875","15,476","16,031","15,819","15,847"
...White,"8,052","8,116","8,981","9,780","10,740","11,592","12,219","12,851","13,427","13,976","14,314","14,237","14,268"
...Black,516,519,587,620,611,634,713,729,756,776,891,816,812
...AIAN,219,220,283,325,350,367,399,433,451,472,560,505,503
...Asian,138,138,147,157,162,166,182,179,187,190,202,200,193
...NHPI,62,62,62,60,68,67,50,55,54,62,64,61,71
..Two or More Races,369,366,430,523,589,638,744,838,919,"1,023","1,086","1,116","1,336"
MALE,"620,239","621,527","626,035","631,734","637,833","641,826","644,683","647,462","649,243","651,096","650,896","650,056","649,787"
.One Race,"615,081","616,310","620,446","625,656","631,290","634,886","637,285","639,633","640,982","642,303","641,628","640,456","640,026"
..White,"603,035","604,168","607,512","611,801","616,357","619,188","620,654","622,289","622,930","623,464","622,100","620,796","620,398"
..Black,"4,225","4,238","4,747","5,291","6,039","6,536","7,132","7,672","8,131","8,607","9,076","9,105","9,088"
..AIAN,"3,492","3,526","3,629","3,734","3,838","3,881","3,967","4,031","4,131","4,262","4,346","4,348","4,338"
..Asian,"4,138","4,187","4,374","4,635","4,858","5,091","5,325","5,443","5,579","5,766","5,889","6,000","5,996"
..NHPI,191,191,184,195,198,190,207,198,211,204,217,207,206
.Two or More Races,"5,158","5,217","5,589","6,078","6,543","6,940","7,398","7,829","8,261","8,793","9,268","9,600","9,761"
.NOT HISPANIC,"615,520","616,779","620,732","625,928","631,509","635,050","637,552","639,898","641,281","642,822","642,263","641,537","641,135"
..One Race,"610,553","611,751","615,370","620,128","625,271","628,441","630,527","632,491","633,483","634,534","633,546","632,502","632,055"
...White,"598,995","600,098","603,003","606,883","610,987","613,416","614,608","615,906","616,229","616,503","614,964","613,712","613,294"
...Black,"3,938","3,951","4,414","4,949","5,686","6,176","6,730","7,246","7,703","8,181","8,575","8,641","8,630"
...AIAN,"3,392","3,425","3,500","3,573","3,658","3,684","3,763","3,811","3,886","4,007","4,037","4,075","4,062"
...Asian,"4,066","4,115","4,298","4,557","4,778","5,011","5,245","5,361","5,484","5,677","5,794","5,905","5,907"
...NHPI,162,162,155,166,162,154,181,167,181,166,176,169,162
..Two or More Races,"4,967","5,028","5,362","5,800","6,238","6,609","7,025","7,407","7,798","8,288","8,717","9,035","9,080"
.HISPANIC,"4,719","4,748","5,303","5,806","6,324","6,776","7,131","7,564","7,962","8,274","8,633","8,519","8,652"
..One Race,"4,528","4,559","5,076","5,528","6,019","6,445","6,758","7,142","7,499","7,769","8,082","7,954","7,971"
...White,"4,040","4,070","4,509","4,918","5,370","5,772","6,046","6,383","6,701","6,961","7,136","7,084","7,104"
...Black,287,287,333,342,353,360,402,426,428,426,501,464,458
...AIAN,100,101,129,161,180,197,204,220,245,255,309,273,276
...Asian,72,72,76,78,80,80,80,82,95,89,95,95,89
...NHPI,29,29,29,29,36,36,26,31,30,38,41,38,44
..Two or More Races,191,189,227,278,305,331,373,422,463,505,551,565,681
FEMALE,"654,540","655,545","659,657","664,226","668,680","671,862","674,104","676,157","677,797","679,413","678,694","678,305","677,780"
.One Race,"649,115","650,058","653,792","657,934","661,910","664,637","666,433","668,026","669,192","670,347","669,179","668,508","667,830"
..White,"637,056","637,902","640,799","644,109","647,155","649,013","649,962","650,756","651,271","651,589","649,914","648,968","648,327"
..Black,"2,983","2,993","3,442","3,877","4,414","4,915","5,425","5,869","6,334","6,800","7,074","7,164","7,151"
..AIAN,"3,681","3,700","3,808","3,877","3,963","3,997","4,098","4,182","4,240","4,323","4,420","4,423","4,398"
..Asian,"5,187","5,255","5,530","5,849","6,163","6,503","6,766","7,012","7,160","7,455","7,603","7,783","7,789"
..NHPI,208,208,213,222,215,209,182,207,187,180,168,170,165
.Two or More Races,"5,425","5,487","5,865","6,292","6,770","7,225","7,671","8,131","8,605","9,066","9,515","9,797","9,950"
.NOT HISPANIC,"649,903","650,872","654,470","658,567","662,484","665,174","666,928","668,636","669,965","671,188","670,210","669,889","669,249"
..One Race,"644,656","645,562","648,808","652,520","655,998","658,256","659,628","660,921","661,816","662,640","661,230","660,643","659,954"
...White,"633,044","633,856","636,327","639,247","641,785","643,193","643,789","644,288","644,545","644,574","642,736","641,815","641,163"
...Black,"2,754","2,761","3,188","3,599","4,156","4,641","5,114","5,566","6,006","6,450","6,684","6,812","6,797"
...AIAN,"3,562","3,581","3,654","3,713","3,793","3,827","3,903","3,969","4,034","4,106","4,169","4,191","4,171"
...Asian,"5,121","5,189","5,459","5,770","6,081","6,417","6,664","6,915","7,068","7,354","7,496","7,678","7,685"
...NHPI,175,175,180,191,183,178,158,183,163,156,145,147,138
..Two or More Races,"5,247","5,310","5,662","6,047","6,486","6,918","7,300","7,715","8,149","8,548","8,980","9,246","9,295"
.HISPANIC,"4,637","4,673","5,187","5,659","6,196","6,688","7,176","7,521","7,832","8,225","8,484","8,416","8,531"
..One Race,"4,459","4,496","4,984","5,414","5,912","6,381","6,805","7,105","7,376","7,707","7,949","7,865","7,876"
...White,"4,012","4,046","4,472","4,862","5,370","5,820","6,173","6,468","6,726","7,015","7,178","7,153","7,164"
...Black,229,232,254,278,258,274,311,303,328,350,390,352,354
...AIAN,119,119,154,164,170,170,195,213,206,217,251,232,227
...Asian,66,66,71,79,82,86,102,97,92,101,107,105,104
...NHPI,33,33,33,31,32,31,24,24,24,24,23,23,27
..Two or More Races,178,177,203,245,284,307,371,416,456,518,535,551,655
"1 The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program, legal boundary updates, and other geographic program revisions.  The original race data from 
Census 2000 are modified to reclassify the Some Other Race category.  For more information see http://www.census.gov/popest/research/modified.html.",,,,,,,,,,,,,
"2 The data source for April 1, 2010 is the 2010 Census count.  The original race data from the 2010 Census are modified to reclassify the Some Other Race category.  For more information see 
http://www.census.gov/popest/methodology/2000-2010_Intercensal_Estimates_Methodology.pdf.",,,,,,,,,,,,,
"3 The values for July 1, 2010 were produced by applying estimates of change in the population between April 1 and July 1 of 2010 to the 2010 Census counts.  Further details on this methodology are available
 at http://www.census.gov/popest/methodology/2000-2010_Intercensal_Estimates_Methodology.pdf.",,,,,,,,,,,,,
"Note: Hispanic origin is considered an ethnicity, not a race.  Hispanics may be of any race.  Abbreviations: Black = Black or African American; AIAN = American Indian and Alaska Native; 
NHPI = Native Hawaiian and Other Pacific Islander.",,,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,,
"Table 3. Intercensal Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Maine: April 1, 2000 to July 1, 2010 (ST-EST2010-03-23)",,,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,,
Release Date: October 2012,,,,,,,,,,,,,
