table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 3. Intercensal Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Maryland: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
"Sex, Race, and Hispanic Origin","April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,
BOTH SEXES,"5,296,647","5,311,034","5,374,691","5,440,389","5,496,269","5,546,935","5,592,379","5,627,367","5,653,408","5,684,965","5,730,388","5,773,552","5,785,982"
.One Race,"5,228,791","5,241,895","5,299,362","5,358,865","5,408,180","5,452,249","5,490,601","5,518,519","5,537,417","5,561,296","5,598,937","5,635,823","5,647,331"
..White,"3,493,653","3,498,455","3,514,540","3,531,821","3,541,596","3,545,041","3,544,058","3,537,775","3,528,708","3,526,113","3,531,017","3,541,379","3,545,775"
..Black,"1,499,612","1,504,746","1,533,621","1,562,646","1,589,203","1,616,804","1,642,835","1,664,866","1,680,981","1,695,633","1,715,421","1,731,513","1,736,441"
..AIAN,"16,784","17,161","18,483","19,876","21,133","22,440","23,859","25,245","26,674","28,008","29,771","30,885","31,029"
..Asian,"215,981","218,734","229,645","241,241","252,692","264,171","275,676","286,138","296,298","306,446","317,545","326,655","328,671"
..NHPI,"2,761","2,799","3,073","3,281","3,556","3,793","4,173","4,495","4,756","5,096","5,183","5,391","5,415"
.Two or More Races,"67,856","69,139","75,329","81,524","88,089","94,686","101,778","108,848","115,991","123,669","131,451","137,729","138,651"
.NOT HISPANIC,"5,068,739","5,079,879","5,123,340","5,166,504","5,198,704","5,224,040","5,241,630","5,247,905","5,247,222","5,254,590","5,277,604","5,302,920","5,312,133"
..One Race,"5,006,230","5,016,281","5,054,671","5,092,848","5,119,794","5,139,873","5,151,929","5,152,664","5,146,462","5,147,732","5,164,514","5,184,849","5,193,294"
...White,"3,300,723","3,303,171","3,303,591","3,303,164","3,294,980","3,279,756","3,258,379","3,231,348","3,202,869","3,181,666","3,168,869","3,166,050","3,167,885"
...Black,"1,475,909","1,480,732","1,507,924","1,535,080","1,558,941","1,583,006","1,605,220","1,622,912","1,635,494","1,647,958","1,666,418","1,680,839","1,685,375"
...AIAN,"13,670","13,720","13,771","13,867","13,863","13,887","13,991","14,026","14,050","14,001","14,150","14,055","14,118"
...Asian,"213,900","216,619","227,252","238,537","249,706","260,851","271,907","281,870","291,535","301,466","312,464","321,324","323,314"
...NHPI,"2,028","2,039","2,133","2,200","2,304","2,373","2,432","2,508","2,514","2,641","2,613","2,581","2,602"
