table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 3. Intercensal Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Massachusetts: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
"Sex, Race, and Hispanic Origin","April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,
BOTH SEXES,"6,349,364","6,361,104","6,397,634","6,417,206","6,422,565","6,412,281","6,403,290","6,410,084","6,431,559","6,468,967","6,517,613","6,547,629","6,557,254"
.One Race,"6,279,217","6,289,986","6,321,526","6,336,442","6,337,167","6,322,281","6,308,480","6,309,882","6,325,654","6,356,858","6,399,235","6,424,890","6,433,695"
..White,"5,604,673","5,610,140","5,613,591","5,604,564","5,584,298","5,551,053","5,518,356","5,499,169","5,494,246","5,501,017","5,517,152","5,524,937","5,530,026"
..Black,"406,247","408,355","419,956","430,504","439,837","446,863","454,754","464,016","473,702","484,952","496,558","504,365","506,065"
..AIAN,"17,516","17,822","19,044","20,160","21,316","22,456","23,611","24,786","25,979","27,338","28,821","29,944","30,072"
..Asian,"246,113","248,964","264,029","276,302","286,684","296,732","306,445","316,580","326,166","337,842","350,852","359,673","361,542"
..NHPI,"4,668","4,705","4,906","4,912","5,032","5,177","5,314","5,331","5,561","5,709","5,852","5,971","5,990"
.Two or More Races,"70,147","71,118","76,108","80,764","85,398","90,000","94,810","100,202","105,905","112,109","118,378","122,739","123,559"
.NOT HISPANIC,"5,920,623","5,927,493","5,942,473","5,943,391","5,931,658","5,905,992","5,881,303","5,869,140","5,870,510","5,884,219","5,908,202","5,919,975","5,925,374"
..One Race,"5,862,124","5,868,227","5,879,451","5,876,891","5,861,781","5,832,778","5,804,651","5,788,580","5,785,807","5,795,069","5,814,475","5,822,978","5,827,707"
...White,"5,257,581","5,259,484","5,247,793","5,225,534","5,193,605","5,150,234","5,106,950","5,074,376","5,055,221","5,045,167","5,043,222","5,037,303","5,039,103"
...Black,"346,751","348,115","356,184","363,839","370,418","375,104","380,834","387,558","394,610","402,632","411,330","417,202","418,221"
...AIAN,"12,093","12,107","12,140","12,099","12,058","11,996","11,870","11,834","11,740","11,731","11,715","11,706","11,752"
...Asian,"243,468","246,279","261,021","273,118","283,334","293,124","302,591","312,401","321,778","333,072","345,716","354,287","356,132"
...NHPI,"2,231","2,242","2,313","2,301","2,366","2,320","2,406","2,411","2,458","2,467","2,492","2,480","2,499"
..Two or More Races,"58,499","59,266","63,022","66,500","69,877","73,214","76,652","80,560","84,703","89,150","93,727","96,997","97,667"
.HISPANIC,"428,741","433,611","455,161","473,815","490,907","506,289","521,987","540,944","561,049","584,748","609,411","627,654","631,880"
..One Race,"417,093","421,759","442,075","459,551","475,386","489,503","503,829","521,302","539,847","561,789","584,760","601,912","605,988"
...White,"347,092","350,656","365,798","379,030","390,693","400,819","411,406","424,793","439,025","455,850","473,930","487,634","490,923"
...Black,"59,496","60,240","63,772","66,665","69,419","71,759","73,920","76,458","79,092","82,320","85,228","87,163","87,844"
...AIAN,"5,423","5,715","6,904","8,061","9,258","10,460","11,741","12,952","14,239","15,607","17,106","18,238","18,320"
...Asian,"2,645","2,685","3,008","3,184","3,350","3,608","3,854","4,179","4,388","4,770","5,136","5,386","5,410"
...NHPI,"2,437","2,463","2,593","2,611","2,666","2,857","2,908","2,920","3,103","3,242","3,360","3,491","3,491"
..Two or More Races,"11,648","11,852","13,086","14,264","15,521","16,786","18,158","19,642","21,202","22,959","24,651","25,742","25,892"
MALE,"3,058,957","3,064,859","3,085,067","3,097,770","3,101,748","3,097,647","3,094,280","3,098,899","3,109,906","3,128,237","3,151,754","3,166,628","3,171,892"
.One Race,"3,025,096","3,030,520","3,048,317","3,058,708","3,060,435","3,054,070","3,048,557","3,050,481","3,058,760","3,074,321","3,094,818","3,107,637","3,112,465"
..White,"2,697,559","2,700,461","2,704,778","2,703,596","2,695,473","2,680,581","2,666,120","2,658,728","2,657,463","2,661,589","2,670,244","2,674,823","2,677,746"
..Black,"195,586","196,539","201,875","207,209","211,765","215,125","219,053","223,416","228,093","233,513","238,885","242,497","243,394"
..AIAN,"8,771","8,930","9,550","10,139","10,732","11,297","11,902","12,496","13,170","13,911","14,613","15,228","15,294"
..Asian,"120,890","122,284","129,708","135,311","139,969","144,505","148,843","153,225","157,300","162,467","168,195","172,163","173,092"
..NHPI,"2,290","2,306","2,406","2,453","2,496","2,562","2,639","2,616","2,734","2,841","2,881","2,926","2,939"
.Two or More Races,"33,861","34,339","36,750","39,062","41,313","43,577","45,723","48,418","51,146","53,916","56,936","58,991","59,427"
.NOT HISPANIC,"2,847,249","2,850,867","2,860,497","2,863,946","2,859,330","2,847,900","2,836,890","2,832,434","2,833,716","2,840,420","2,852,082","2,858,533","2,861,625"
..One Race,"2,819,111","2,822,351","2,830,150","2,831,879","2,825,607","2,812,498","2,799,967","2,793,526","2,792,860","2,797,537","2,807,010","2,811,861","2,814,602"
...White,"2,525,436","2,526,672","2,523,464","2,515,666","2,501,519","2,481,652","2,461,952","2,448,065","2,439,944","2,435,831","2,435,645","2,433,861","2,435,105"
...Black,"166,882","167,494","171,178","175,165","178,457","180,881","183,830","187,121","190,614","194,447","198,526","201,325","201,879"
...AIAN,"6,024","6,037","6,050","6,065","6,040","5,990","5,939","5,931","5,899","5,898","5,883","5,892","5,914"
...Asian,"119,647","121,022","128,305","133,832","138,412","142,824","147,048","151,230","155,202","160,174","165,760","169,603","170,515"
...NHPI,"1,122","1,126","1,153","1,151","1,179","1,151","1,198","1,179","1,201","1,187","1,196","1,180","1,189"
..Two or More Races,"28,138","28,516","30,347","32,067","33,723","35,402","36,923","38,908","40,856","42,883","45,072","46,672","47,023"
.HISPANIC,"211,708","213,992","224,570","233,824","242,418","249,747","257,390","266,465","276,190","287,817","299,672","308,095","310,267"
..One Race,"205,985","208,169","218,167","226,829","234,828","241,572","248,590","256,955","265,900","276,784","287,808","295,776","297,863"
...White,"172,123","173,789","181,314","187,930","193,954","198,929","204,168","210,663","217,519","225,758","234,599","240,962","242,641"
...Black,"28,704","29,045","30,697","32,044","33,308","34,244","35,223","36,295","37,479","39,066","40,359","41,172","41,515"
...AIAN,"2,747","2,893","3,500","4,074","4,692","5,307","5,963","6,565","7,271","8,013","8,730","9,336","9,380"
...Asian,"1,243","1,262","1,403","1,479","1,557","1,681","1,795","1,995","2,098","2,293","2,435","2,560","2,577"
...NHPI,"1,168","1,180","1,253","1,302","1,317","1,411","1,441","1,437","1,533","1,654","1,685","1,746","1,750"
..Two or More Races,"5,723","5,823","6,403","6,995","7,590","8,175","8,800","9,510","10,290","11,033","11,864","12,319","12,404"
FEMALE,"3,290,407","3,296,245","3,312,567","3,319,436","3,320,817","3,314,634","3,309,010","3,311,185","3,321,653","3,340,730","3,365,859","3,381,001","3,385,362"
.One Race,"3,254,121","3,259,466","3,273,209","3,277,734","3,276,732","3,268,211","3,259,923","3,259,401","3,266,894","3,282,537","3,304,417","3,317,253","3,321,230"
..White,"2,907,114","2,909,679","2,908,813","2,900,968","2,888,825","2,870,472","2,852,236","2,840,441","2,836,783","2,839,428","2,846,908","2,850,114","2,852,280"
..Black,"210,661","211,816","218,081","223,295","228,072","231,738","235,701","240,600","245,609","251,439","257,673","261,868","262,671"
..AIAN,"8,745","8,892","9,494","10,021","10,584","11,159","11,709","12,290","12,809","13,427","14,208","14,716","14,778"
..Asian,"125,223","126,680","134,321","140,991","146,715","152,227","157,602","163,355","168,866","175,375","182,657","187,510","188,450"
..NHPI,"2,378","2,399","2,500","2,459","2,536","2,615","2,675","2,715","2,827","2,868","2,971","3,045","3,051"
.Two or More Races,"36,286","36,779","39,358","41,702","44,085","46,423","49,087","51,784","54,759","58,193","61,442","63,748","64,132"
.NOT HISPANIC,"3,073,374","3,076,626","3,081,976","3,079,445","3,072,328","3,058,092","3,044,413","3,036,706","3,036,794","3,043,799","3,056,120","3,061,442","3,063,749"
..One Race,"3,043,013","3,045,876","3,049,301","3,045,012","3,036,174","3,020,280","3,004,684","2,995,054","2,992,947","2,997,532","3,007,465","3,011,117","3,013,105"
...White,"2,732,145","2,732,812","2,724,329","2,709,868","2,692,086","2,668,582","2,644,998","2,626,311","2,615,277","2,609,336","2,607,577","2,603,442","2,603,998"
...Black,"179,869","180,621","185,006","188,674","191,961","194,223","197,004","200,437","203,996","208,185","212,804","215,877","216,342"
...AIAN,"6,069","6,070","6,090","6,034","6,018","6,006","5,931","5,903","5,841","5,833","5,832","5,814","5,838"
...Asian,"123,821","125,257","132,716","139,286","144,922","150,300","155,543","161,171","166,576","172,898","179,956","184,684","185,617"
...NHPI,"1,109","1,116","1,160","1,150","1,187","1,169","1,208","1,232","1,257","1,280","1,296","1,300","1,310"
..Two or More Races,"30,361","30,750","32,675","34,433","36,154","37,812","39,729","41,652","43,847","46,267","48,655","50,325","50,644"
.HISPANIC,"217,033","219,619","230,591","239,991","248,489","256,542","264,597","274,479","284,859","296,931","309,739","319,559","321,613"
..One Race,"211,108","213,590","223,908","232,722","240,558","247,931","255,239","264,347","273,947","285,005","296,952","306,136","308,125"
...White,"174,969","176,867","184,484","191,100","196,739","201,890","207,238","214,130","221,506","230,092","239,331","246,672","248,282"
...Black,"30,792","31,195","33,075","34,621","36,111","37,515","38,697","40,163","41,613","43,254","44,869","45,991","46,329"
...AIAN,"2,676","2,822","3,404","3,987","4,566","5,153","5,778","6,387","6,968","7,594","8,376","8,902","8,940"
...Asian,"1,402","1,423","1,605","1,705","1,793","1,927","2,059","2,184","2,290","2,477","2,701","2,826","2,833"
...NHPI,"1,269","1,283","1,340","1,309","1,349","1,446","1,467","1,483","1,570","1,588","1,675","1,745","1,741"
..Two or More Races,"5,925","6,029","6,683","7,269","7,931","8,611","9,358","10,132","10,912","11,926","12,787","13,423","13,488"
"1 The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program, legal boundary updates, and other geographic program revisions.  The original race data from 
Census 2000 are modified to reclassify the Some Other Race category.  For more information see http://www.census.gov/popest/research/modified.html.",,,,,,,,,,,,,
"2 The data source for April 1, 2010 is the 2010 Census count.  The original race data from the 2010 Census are modified to reclassify the Some Other Race category.  For more information see 
http://www.census.gov/popest/methodology/2000-2010_Intercensal_Estimates_Methodology.pdf.",,,,,,,,,,,,,
"3 The values for July 1, 2010 were produced by applying estimates of change in the population between April 1 and July 1 of 2010 to the 2010 Census counts.  Further details on this methodology are available
 at http://www.census.gov/popest/methodology/2000-2010_Intercensal_Estimates_Methodology.pdf.",,,,,,,,,,,,,
"Note: Hispanic origin is considered an ethnicity, not a race.  Hispanics may be of any race.  Abbreviations: Black = Black or African American; AIAN = American Indian and Alaska Native; 
NHPI = Native Hawaiian and Other Pacific Islander.",,,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,,
"Table 3. Intercensal Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Massachusetts: April 1, 2000 to July 1, 2010 (ST-EST2010-03-25)",,,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,,
Release Date: October 2012,,,,,,,,,,,,,
