table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 3. Intercensal Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Michigan: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
"Sex, Race, and Hispanic Origin","April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,
BOTH SEXES,"9,938,823","9,952,450","9,991,120","10,015,710","10,041,152","10,055,315","10,051,137","10,036,081","10,001,284","9,946,889","9,901,591","9,883,640","9,877,574"
.One Race,"9,808,524","9,820,217","9,851,976","9,869,448","9,887,704","9,894,659","9,883,285","9,860,925","9,819,160","9,757,861","9,704,979","9,680,464","9,673,656"
..White,"8,137,924","8,143,698","8,158,479","8,162,776","8,167,476","8,164,812","8,147,170","8,120,608","8,079,951","8,025,124","7,976,600","7,949,497","7,940,400"
..Black,"1,426,328","1,429,866","1,436,646","1,439,399","1,442,059","1,443,419","1,441,842","1,439,518","1,434,092","1,424,533","1,416,742","1,416,067","1,417,247"
..AIAN,"60,255","60,595","61,157","61,986","62,692","63,406","64,111","64,939","65,488","66,007","67,044","68,396","68,523"
..Asian,"180,910","182,935","192,444","201,968","212,096","219,583","226,726","232,374","236,100","238,669","241,042","243,062","244,017"
..NHPI,"3,107","3,123","3,250","3,319","3,381","3,439","3,436","3,486","3,529","3,528","3,551","3,442","3,469"
.Two or More Races,"130,299","132,233","139,144","146,262","153,448","160,656","167,852","175,156","182,124","189,028","196,612","203,176","203,918"
.NOT HISPANIC,"9,614,913","9,625,400","9,647,503","9,658,574","9,671,575","9,674,165","9,658,452","9,632,423","9,588,891","9,525,963","9,472,168","9,447,282","9,439,023"
..One Race,"9,492,682","9,501,433","9,517,758","9,522,795","9,529,756","9,526,202","9,504,601","9,472,591","9,423,358","9,354,899","9,294,990","9,264,582","9,255,601"
...White,"7,849,004","7,852,231","7,853,460","7,847,234","7,842,358","7,830,924","7,804,601","7,770,312","7,723,960","7,663,723","7,610,596","7,579,545","7,568,520"
...Black,"1,408,524","1,411,801","1,417,451","1,419,151","1,420,900","1,421,343","1,418,998","1,415,804","1,409,450","1,398,856","1,389,844","1,388,149","1,389,162"
...AIAN,"53,981","54,194","54,249","54,443","54,681","54,814","54,884","54,899","54,799","54,633","54,557","54,904","54,981"
...Asian,"178,946","180,970","190,295","199,634","209,494","216,785","223,807","229,239","232,816","235,366","237,670","239,724","240,658"
...NHPI,"2,227","2,237","2,303","2,333","2,323","2,336","2,311","2,337","2,333","2,321","2,323","2,260","2,280"
..Two or More Races,"122,231","123,967","129,745","135,779","141,819","147,963","153,851","159,832","165,533","171,064","177,178","182,700","183,422"
.HISPANIC,"323,910","327,050","343,617","357,136","369,577","381,150","392,685","403,658","412,393","420,926","429,423","436,358","438,551"
..One Race,"315,842","318,784","334,218","346,653","357,948","368,457","378,684","388,334","395,802","402,962","409,989","415,882","418,055"
...White,"288,920","291,467","305,019","315,542","325,118","333,888","342,569","350,296","355,991","361,401","366,004","369,952","371,880"
...Black,"17,804","18,065","19,195","20,248","21,159","22,076","22,844","23,714","24,642","25,677","26,898","27,918","28,085"
...AIAN,"6,274","6,401","6,908","7,543","8,011","8,592","9,227","10,040","10,689","11,374","12,487","13,492","13,542"
...Asian,"1,964","1,965","2,149","2,334","2,602","2,798","2,919","3,135","3,284","3,303","3,372","3,338","3,359"
...NHPI,880,886,947,986,"1,058","1,103","1,125","1,149","1,196","1,207","1,228","1,182","1,189"
..Two or More Races,"8,068","8,266","9,399","10,483","11,629","12,693","14,001","15,324","16,591","17,964","19,434","20,476","20,496"
MALE,"4,873,285","4,880,268","4,901,831","4,915,539","4,930,631","4,937,386","4,936,817","4,929,460","4,910,249","4,880,990","4,857,253","4,848,114","4,845,963"
.One Race,"4,809,369","4,815,400","4,833,582","4,843,812","4,855,459","4,858,807","4,854,694","4,843,806","4,821,208","4,788,673","4,761,323","4,748,979","4,746,434"
..White,"4,011,968","4,015,060","4,024,753","4,028,323","4,032,729","4,031,959","4,024,261","4,011,391","3,989,932","3,960,817","3,936,132","3,922,649","3,918,815"
..Black,"675,436","677,224","680,881","682,513","684,280","684,651","684,494","683,699","681,083","676,485","672,755","672,687","673,421"
..AIAN,"30,151","30,322","30,531","30,927","31,368","31,684","32,022","32,513","32,740","33,109","33,545","34,229","34,299"
..Asian,"90,208","91,178","95,749","100,337","105,351","108,734","112,172","114,454","115,657","116,498","117,103","117,687","118,162"
..NHPI,"1,606","1,616","1,668","1,712","1,731","1,779","1,745","1,749","1,796","1,764","1,788","1,727","1,737"
.Two or More Races,"63,916","64,868","68,249","71,727","75,172","78,579","82,123","85,654","89,041","92,317","95,930","99,135","99,529"
.NOT HISPANIC,"4,702,713","4,708,127","4,721,583","4,728,754","4,737,777","4,739,153","4,733,252","4,721,090","4,698,325","4,665,488","4,638,441","4,626,201","4,622,860"
..One Race,"4,642,762","4,647,323","4,657,946","4,662,132","4,668,272","4,666,740","4,657,950","4,642,913","4,617,374","4,581,914","4,551,951","4,537,028","4,533,302"
