table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 3. Intercensal Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Minnesota: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
"Sex, Race, and Hispanic Origin","April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,
BOTH SEXES,"4,919,631","4,933,692","4,982,796","5,018,935","5,053,572","5,087,713","5,119,598","5,163,555","5,207,203","5,247,018","5,281,203","5,303,925","5,310,584"
.One Race,"4,858,378","4,871,357","4,916,345","4,948,301","4,978,668","5,008,240","5,035,355","5,074,087","5,112,052","5,145,852","5,174,166","5,192,485","5,198,367"
..White,"4,474,566","4,484,113","4,509,697","4,523,713","4,536,583","4,547,732","4,556,199","4,573,137","4,589,755","4,604,227","4,616,560","4,623,461","4,627,324"
..Black,"179,938","181,181","192,058","201,763","211,770","222,195","232,332","244,813","256,837","267,143","275,631","280,949","281,651"
..AIAN,"56,086","56,350","57,339","58,304","59,270","60,355","61,741","63,037","64,451","65,919","66,335","67,325","67,509"
..Asian,"145,551","147,466","154,904","162,072","168,583","175,414","182,424","190,292","198,113","205,594","212,611","217,792","218,914"
..NHPI,"2,237","2,247","2,347","2,449","2,462","2,544","2,659","2,808","2,896","2,969","3,029","2,958","2,969"
.Two or More Races,"61,253","62,335","66,451","70,634","74,904","79,473","84,243","89,468","95,151","101,166","107,037","111,440","112,217"
.NOT HISPANIC,"4,776,237","4,788,391","4,824,746","4,849,956","4,873,853","4,897,419","4,918,136","4,950,631","4,983,642","5,012,989","5,038,309","5,053,667","5,058,576"
..One Race,"4,719,023","4,730,208","4,763,076","4,784,695","4,804,973","4,824,636","4,841,501","4,869,713","4,898,038","4,922,431","4,942,863","4,954,473","4,958,816"
...White,"4,345,535","4,353,427","4,367,992","4,372,702","4,376,557","4,379,761","4,380,719","4,389,370","4,398,298","4,404,774","4,409,616","4,410,722","4,413,178"
...Black,"175,030","176,223","186,701","196,165","205,839","215,459","224,384","235,886","247,253","257,365","265,891","271,017","271,645"
...AIAN,"52,351","52,531","52,954","53,269","53,610","53,869","54,057","54,377","54,761","55,198","55,345","55,611","55,745"
...Asian,"144,326","146,237","153,590","160,668","167,083","173,637","180,398","188,124","195,700","203,070","209,933","215,137","216,248"
...NHPI,"1,781","1,790","1,839","1,891","1,884","1,910","1,943","1,956","2,026","2,024","2,078","1,986","2,000"
..Two or More Races,"57,214","58,183","61,670","65,261","68,880","72,783","76,635","80,918","85,604","90,558","95,446","99,194","99,760"
.HISPANIC,"143,394","145,301","158,050","168,979","179,719","190,294","201,462","212,924","223,561","234,029","242,894","250,258","252,008"
..One Race,"139,355","141,149","153,269","163,606","173,695","183,604","193,854","204,374","214,014","223,421","231,303","238,012","239,551"
...White,"129,031","130,686","141,705","151,011","160,026","167,971","175,480","183,767","191,457","199,453","206,944","212,739","214,146"
...Black,"4,908","4,958","5,357","5,598","5,931","6,736","7,948","8,927","9,584","9,778","9,740","9,932","10,006"
...AIAN,"3,735","3,819","4,385","5,035","5,660","6,486","7,684","8,660","9,690","10,721","10,990","11,714","11,764"
...Asian,"1,225","1,229","1,314","1,404","1,500","1,777","2,026","2,168","2,413","2,524","2,678","2,655","2,666"
...NHPI,456,457,508,558,578,634,716,852,870,945,951,972,969
..Two or More Races,"4,039","4,152","4,781","5,373","6,024","6,690","7,608","8,550","9,547","10,608","11,591","12,246","12,457"
MALE,"2,435,712","2,443,070","2,468,647","2,487,730","2,506,573","2,523,676","2,540,052","2,562,604","2,584,652","2,604,346","2,621,245","2,632,132","2,635,949"
.One Race,"2,405,539","2,412,374","2,435,911","2,452,954","2,469,707","2,484,550","2,498,576","2,518,471","2,537,729","2,554,481","2,568,529","2,577,238","2,580,650"
..White,"2,211,762","2,216,908","2,230,591","2,238,739","2,246,765","2,252,741","2,257,745","2,266,782","2,275,576","2,283,207","2,289,693","2,293,088","2,295,445"
..Black,"93,108","93,730","99,370","104,201","109,365","114,454","119,488","125,683","131,655","136,400","140,578","143,097","143,503"
..AIAN,"27,957","28,102","28,679","29,237","29,738","30,313","30,961","31,668","32,359","33,180","33,336","33,758","33,848"
..Asian,"71,429","72,344","75,949","79,408","82,472","85,667","88,971","92,866","96,639","100,173","103,373","105,792","106,343"
..NHPI,"1,283","1,290","1,322","1,369","1,367","1,375","1,411","1,472","1,500","1,521","1,549","1,503","1,511"
.Two or More Races,"30,173","30,696","32,736","34,776","36,866","39,126","41,476","44,133","46,923","49,865","52,716","54,894","55,299"
.NOT HISPANIC,"2,357,782","2,364,098","2,382,999","2,396,437","2,409,814","2,421,405","2,432,064","2,448,745","2,465,650","2,480,220","2,492,863","2,500,262","2,503,131"
..One Race,"2,329,627","2,335,478","2,352,654","2,364,351","2,375,961","2,385,633","2,394,459","2,408,989","2,423,602","2,435,758","2,446,062","2,451,599","2,454,164"
...White,"2,141,310","2,145,554","2,153,482","2,156,835","2,160,249","2,162,131","2,163,399","2,168,323","2,173,409","2,177,185","2,180,117","2,180,697","2,182,280"
...Black,"90,525","91,119","96,562","101,267","106,249","110,921","115,279","120,968","126,619","131,296","135,506","137,974","138,343"
...AIAN,"25,992","26,085","26,321","26,523","26,716","26,808","26,837","26,926","27,127","27,401","27,410","27,526","27,588"
...Asian,"70,796","71,710","75,256","78,682","81,714","84,747","87,917","91,748","95,399","98,858","102,003","104,414","104,957"
...NHPI,"1,004","1,010","1,033","1,044","1,033","1,026","1,027","1,024","1,048","1,018","1,026",988,996
..Two or More Races,"28,155","28,620","30,345","32,086","33,853","35,772","37,605","39,756","42,048","44,462","46,801","48,663","48,967"
.HISPANIC,"77,930","78,972","85,648","91,293","96,759","102,271","107,988","113,859","119,002","124,126","128,382","131,870","132,818"
..One Race,"75,912","76,896","83,257","88,603","93,746","98,917","104,117","109,482","114,127","118,723","122,467","125,639","126,486"
...White,"70,452","71,354","77,109","81,904","86,516","90,610","94,346","98,459","102,167","106,022","109,576","112,391","113,165"
...Black,"2,583","2,611","2,808","2,934","3,116","3,533","4,209","4,715","5,036","5,104","5,072","5,123","5,160"
...AIAN,"1,965","2,017","2,358","2,714","3,022","3,505","4,124","4,742","5,232","5,779","5,926","6,232","6,260"
...Asian,633,634,693,726,758,920,"1,054","1,118","1,240","1,315","1,370","1,378","1,386"
