table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 3. Intercensal Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Mississippi: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
"Sex, Race, and Hispanic Origin","April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,
BOTH SEXES,"2,844,754","2,848,353","2,852,994","2,858,681","2,868,312","2,889,010","2,905,943","2,904,978","2,928,350","2,947,806","2,958,774","2,967,297","2,970,036"
.One Race,"2,828,927","2,832,419","2,835,663","2,839,977","2,848,263","2,867,470","2,882,891","2,880,759","2,902,515","2,920,390","2,930,032","2,937,506","2,939,909"
..White,"1,761,581","1,762,713","1,762,488","1,763,314","1,766,235","1,775,608","1,782,506","1,770,305","1,779,214","1,785,548","1,788,908","1,789,391","1,789,518"
..Black,"1,035,639","1,037,743","1,040,145","1,042,311","1,046,235","1,054,419","1,061,415","1,070,798","1,082,126","1,092,190","1,097,005","1,103,101","1,105,267"
..AIAN,"11,906","11,964","12,457","12,935","13,497","14,080","14,509","15,013","15,424","15,949","16,367","16,837","16,845"
..Asian,"19,045","19,240","19,712","20,443","21,240","22,205","23,242","23,300","24,322","25,196","26,063","26,477","26,578"
..NHPI,756,759,861,974,"1,056","1,158","1,219","1,343","1,429","1,507","1,689","1,700","1,701"
.Two or More Races,"15,827","15,934","17,331","18,704","20,049","21,540","23,052","24,219","25,835","27,416","28,742","29,791","30,127"
.NOT HISPANIC,"2,805,185","2,808,321","2,808,826","2,810,757","2,816,495","2,833,276","2,845,360","2,840,544","2,858,284","2,872,833","2,879,079","2,885,816","2,887,995"
..One Race,"2,790,299","2,793,331","2,792,675","2,793,390","2,798,017","2,813,458","2,824,320","2,818,586","2,834,908","2,848,103","2,853,236","2,859,082","2,861,094"
...White,"1,730,326","1,731,074","1,727,474","1,725,133","1,724,787","1,730,880","1,733,699","1,718,495","1,722,779","1,724,876","1,724,534","1,723,885","1,723,666"
...Black,"1,029,396","1,031,447","1,033,669","1,035,676","1,039,502","1,047,449","1,054,252","1,063,421","1,074,250","1,084,128","1,088,567","1,094,537","1,096,661"
...AIAN,"11,324","11,359","11,608","11,905","12,281","12,656","12,877","13,101","13,315","13,637","13,755","13,907","13,906"
...Asian,"18,666","18,861","19,288","19,990","20,719","21,699","22,696","22,725","23,715","24,555","25,402","25,786","25,892"
...NHPI,587,590,636,686,728,774,796,844,849,907,978,967,969
..Two or More Races,"14,886","14,990","16,151","17,367","18,478","19,818","21,040","21,958","23,376","24,730","25,843","26,734","26,901"
.HISPANIC,"39,569","40,032","44,168","47,924","51,817","55,734","60,583","64,434","70,066","74,973","79,695","81,481","82,041"
..One Race,"38,628","39,088","42,988","46,587","50,246","54,012","58,571","62,173","67,607","72,287","76,796","78,424","78,815"
...White,"31,255","31,639","35,014","38,181","41,448","44,728","48,807","51,810","56,435","60,672","64,374","65,506","65,852"
...Black,"6,243","6,296","6,476","6,635","6,733","6,970","7,163","7,377","7,876","8,062","8,438","8,564","8,606"
...AIAN,582,605,849,"1,030","1,216","1,424","1,632","1,912","2,109","2,312","2,612","2,930","2,939"
...Asian,379,379,424,453,521,506,546,575,607,641,661,691,686
...NHPI,169,169,225,288,328,384,423,499,580,600,711,733,732
..Two or More Races,941,944,"1,180","1,337","1,571","1,722","2,012","2,261","2,459","2,686","2,899","3,057","3,226"
MALE,"1,373,601","1,375,800","1,379,508","1,383,269","1,388,701","1,398,895","1,407,981","1,408,665","1,421,279","1,430,851","1,436,774","1,441,240","1,442,847"
.One Race,"1,365,969","1,368,107","1,371,077","1,374,210","1,378,935","1,388,362","1,396,721","1,396,827","1,408,566","1,417,357","1,422,652","1,426,660","1,428,108"
..White,"865,472","866,278","866,954","868,254","870,122","874,799","878,804","873,838","878,812","882,552","884,632","884,939","885,154"
..Black,"485,280","486,476","488,195","489,338","491,508","495,451","498,953","503,703","509,655","513,971","516,536","519,748","520,932"
