table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 3. Intercensal Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Missouri: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
"Sex, Race, and Hispanic Origin","April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,
BOTH SEXES,"5,596,564","5,607,285","5,641,142","5,674,825","5,709,403","5,747,741","5,790,300","5,842,704","5,887,612","5,923,916","5,961,088","5,988,927","5,996,231"
.One Race,"5,531,628","5,541,424","5,571,253","5,600,832","5,631,363","5,665,392","5,703,003","5,750,469","5,790,078","5,821,316","5,852,710","5,876,571","5,883,091"
..White,"4,804,663","4,811,076","4,829,908","4,848,677","4,868,796","4,891,042","4,917,028","4,951,012","4,980,125","5,001,808","5,023,152","5,038,407","5,042,425"
..Black,"634,758","637,132","643,919","650,232","656,313","663,205","669,907","678,128","684,018","689,311","695,364","700,178","702,033"
..AIAN,"25,797","25,897","26,402","26,783","27,219","27,818","28,216","28,695","29,155","29,675","30,081","30,595","30,689"
..Asian,"63,048","63,910","67,331","71,028","74,689","78,638","82,736","87,067","90,822","94,108","97,477","100,213","100,746"
..NHPI,"3,362","3,409","3,693","4,112","4,346","4,689","5,116","5,567","5,958","6,414","6,636","7,178","7,198"
.Two or More Races,"64,936","65,861","69,889","73,993","78,040","82,349","87,297","92,235","97,534","102,600","108,378","112,356","113,140"
.NOT HISPANIC,"5,477,944","5,487,426","5,512,298","5,536,997","5,562,542","5,591,693","5,624,330","5,665,619","5,700,097","5,726,899","5,755,168","5,776,457","5,782,176"
..One Race,"5,415,999","5,424,635","5,446,008","5,467,185","5,489,231","5,514,679","5,543,079","5,580,210","5,610,092","5,632,546","5,655,881","5,673,725","5,678,887"
...White,"4,697,852","4,703,213","4,714,499","4,725,733","4,738,332","4,753,240","4,771,226","4,796,261","4,816,690","4,830,903","4,845,448","4,855,967","4,858,735"
...Black,"629,377","631,691","638,071","643,938","649,575","655,827","661,926","669,468","674,820","679,571","684,991","689,391","691,169"
...AIAN,"23,566","23,623","23,819","23,924","24,033","24,225","24,160","24,197","24,349","24,286","24,229","24,179","24,252"
...Asian,"62,195","63,057","66,383","70,020","73,584","77,393","81,445","85,594","89,243","92,456","95,744","98,340","98,867"
...NHPI,"3,009","3,051","3,236","3,570","3,707","3,994","4,322","4,690","4,990","5,330","5,469","5,848","5,864"
..Two or More Races,"61,945","62,791","66,290","69,812","73,311","77,014","81,251","85,409","90,005","94,353","99,287","102,732","103,289"
.HISPANIC,"118,620","119,859","128,844","137,828","146,861","156,048","165,970","177,085","187,515","197,017","205,920","212,470","214,055"
..One Race,"115,629","116,789","125,245","133,647","142,132","150,713","159,924","170,259","179,986","188,770","196,829","202,846","204,204"
...White,"106,811","107,863","115,409","122,944","130,464","137,802","145,802","154,751","163,435","170,905","177,704","182,440","183,690"
...Black,"5,381","5,441","5,848","6,294","6,738","7,378","7,981","8,660","9,198","9,740","10,373","10,787","10,864"
...AIAN,"2,231","2,274","2,583","2,859","3,186","3,593","4,056","4,498","4,806","5,389","5,852","6,416","6,437"
...Asian,853,853,948,"1,008","1,105","1,245","1,291","1,473","1,579","1,652","1,733","1,873","1,879"
...NHPI,353,358,457,542,639,695,794,877,968,"1,084","1,167","1,330","1,334"
..Two or More Races,"2,991","3,070","3,599","4,181","4,729","5,335","6,046","6,826","7,529","8,247","9,091","9,624","9,851"
MALE,"2,721,601","2,727,498","2,745,666","2,764,349","2,782,847","2,805,056","2,827,430","2,855,141","2,880,119","2,899,079","2,919,067","2,933,477","2,937,497"
.One Race,"2,689,829","2,695,282","2,711,422","2,728,018","2,744,438","2,764,539","2,784,393","2,809,655","2,831,949","2,848,390","2,865,519","2,878,048","2,881,679"
..White,"2,347,030","2,350,677","2,361,327","2,372,324","2,383,545","2,397,678","2,411,884","2,430,481","2,447,026","2,458,888","2,470,782","2,479,144","2,481,505"
..Black,"297,692","299,013","302,537","305,978","309,205","312,733","316,190","320,506","323,971","326,690","330,039","332,521","333,475"
..AIAN,"13,117","13,158","13,387","13,600","13,757","14,152","14,279","14,572","14,852","15,071","15,344","15,545","15,595"
..Asian,"30,276","30,694","32,290","34,037","35,699","37,608","39,444","41,294","43,058","44,510","45,958","47,239","47,492"
..NHPI,"1,714","1,740","1,881","2,079","2,232","2,368","2,596","2,802","3,042","3,231","3,396","3,599","3,612"
.Two or More Races,"31,772","32,216","34,244","36,331","38,409","40,517","43,037","45,486","48,170","50,689","53,548","55,429","55,818"
.NOT HISPANIC,"2,659,065","2,664,324","2,677,920","2,692,058","2,706,028","2,723,408","2,740,734","2,762,725","2,782,172","2,796,193","2,811,563","2,822,737","2,825,911"
..One Race,"2,628,753","2,633,603","2,645,458","2,657,788","2,669,978","2,685,549","2,700,722","2,720,638","2,737,789","2,749,723","2,762,624","2,772,187","2,775,076"
...White,"2,290,346","2,293,447","2,300,259","2,307,453","2,314,912","2,325,236","2,335,265","2,349,244","2,361,264","2,369,242","2,377,731","2,383,730","2,385,408"
...Black,"295,038","296,325","299,653","302,877","305,873","309,082","312,255","316,277","319,438","321,877","324,836","327,163","328,079"
