table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 3. Intercensal Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Montana: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
"Sex, Race, and Hispanic Origin","April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,
BOTH SEXES,"902,200","903,773","906,961","911,667","919,630","930,009","940,102","952,692","964,706","976,415","983,982","989,415","990,898"
.One Race,"888,731","890,155","892,498","896,457","903,543","913,121","922,196","933,761","944,683","955,362","961,807","966,352","967,523"
..White,"824,269","825,459","826,639","829,714","835,759","844,155","852,189","862,738","872,545","882,291","887,526","891,529","892,610"
..Black,"2,813","2,797","3,154","3,372","3,619","3,863","3,899","4,107","4,192","4,282","4,354","4,215","4,205"
..AIAN,"56,355","56,528","57,048","57,582","58,241","58,900","59,782","60,364","61,181","61,852","62,711","63,495","63,604"
..Asian,"4,806","4,883","5,119","5,225","5,339","5,561","5,685","5,857","6,034","6,205","6,429","6,379","6,383"
..NHPI,488,488,538,564,585,642,641,695,731,732,787,734,721
.Two or More Races,"13,469","13,618","14,463","15,210","16,087","16,888","17,906","18,931","20,023","21,053","22,175","23,063","23,375"
.NOT HISPANIC,"884,116","885,582","887,415","891,045","897,816","907,243","915,949","927,391","938,266","949,042","955,772","960,850","961,975"
..One Race,"871,526","872,842","873,967","876,939","882,967","891,669","899,541","910,136","920,066","929,998","935,766","939,978","941,003"
...White,"809,352","810,449","810,569","812,869","818,118","825,741","832,862","842,635","851,673","860,799","865,617","869,419","870,371"
...Black,"2,575","2,559","2,871","3,047","3,251","3,476","3,482","3,674","3,740","3,824","3,883","3,779","3,754"
...AIAN,"54,526","54,691","55,114","55,489","55,929","56,517","57,149","57,565","58,176","58,738","59,359","59,974","60,088"
...Asian,"4,637","4,707","4,930","5,028","5,154","5,366","5,496","5,665","5,848","6,019","6,234","6,189","6,190"
...NHPI,436,436,483,506,515,569,552,597,629,618,673,617,600
..Two or More Races,"12,590","12,740","13,448","14,106","14,849","15,574","16,408","17,255","18,200","19,044","20,006","20,872","20,972"
.HISPANIC,"18,084","18,191","19,546","20,622","21,814","22,766","24,153","25,301","26,440","27,373","28,210","28,565","28,923"
..One Race,"17,205","17,313","18,531","19,518","20,576","21,452","22,655","23,625","24,617","25,364","26,041","26,374","26,520"
...White,"14,917","15,010","16,070","16,845","17,641","18,414","19,327","20,103","20,872","21,492","21,909","22,110","22,239"
...Black,238,238,283,325,368,387,417,433,452,458,471,436,451
...AIAN,"1,829","1,837","1,934","2,093","2,312","2,383","2,633","2,799","3,005","3,114","3,352","3,521","3,516"
...Asian,169,176,189,197,185,195,189,192,186,186,195,190,193
...NHPI,52,52,55,58,70,73,89,98,102,114,114,117,121
..Two or More Races,879,878,"1,015","1,104","1,238","1,314","1,498","1,676","1,823","2,009","2,169","2,191","2,403"
MALE,"449,477","450,348","452,278","454,955","459,514","465,009","470,322","477,351","483,767","489,938","493,860","496,667","497,502"
