table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 3. Intercensal Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Nebraska: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
"Sex, Race, and Hispanic Origin","April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,
BOTH SEXES,"1,711,230","1,713,820","1,719,836","1,728,292","1,738,643","1,749,370","1,761,497","1,772,693","1,783,440","1,796,378","1,812,683","1,826,341","1,830,429"
.One Race,"1,694,781","1,697,147","1,701,793","1,708,970","1,717,889","1,727,066","1,737,714","1,747,202","1,756,241","1,767,424","1,781,764","1,794,036","1,797,649"
..White,"1,585,587","1,587,253","1,588,686","1,592,778","1,598,208","1,604,000","1,611,295","1,616,934","1,622,610","1,629,008","1,639,946","1,649,264","1,652,413"
..Black,"70,045","70,299","71,746","72,870","74,415","75,843","77,334","79,189","80,643","82,903","84,684","85,971","86,242"
..AIAN,"15,628","15,767","16,485","17,053","17,723","18,474","19,280","20,319","21,165","22,480","22,862","23,418","23,451"
..Asian,"22,528","22,816","23,748","25,028","26,259","27,369","28,294","29,115","30,100","31,152","32,247","33,322","33,486"
..NHPI,993,"1,012","1,128","1,241","1,284","1,380","1,511","1,645","1,723","1,881","2,025","2,061","2,057"
.Two or More Races,"16,449","16,673","18,043","19,322","20,754","22,304","23,783","25,491","27,199","28,954","30,919","32,305","32,780"
.NOT HISPANIC,"1,616,811","1,618,315","1,616,621","1,617,298","1,620,263","1,624,703","1,630,030","1,634,212","1,638,363","1,643,675","1,651,812","1,658,936","1,661,674"
..One Race,"1,601,730","1,603,057","1,600,285","1,600,007","1,601,894","1,605,102","1,609,349","1,612,211","1,615,074","1,619,059","1,625,611","1,631,688","1,634,163"
...White,"1,497,082","1,497,833","1,492,809","1,490,150","1,489,375","1,489,908","1,492,076","1,492,467","1,492,993","1,493,934","1,497,706","1,501,707","1,503,769"
...Black,"68,316","68,563","69,749","70,727","72,119","73,421","74,571","76,057","77,386","79,248","80,831","81,924","82,160"
...AIAN,"13,564","13,592","13,763","13,897","13,973","14,223","14,283","14,482","14,641","14,760","14,816","14,856","14,866"
...Asian,"22,083","22,370","23,235","24,457","25,634","26,725","27,533","28,276","29,119","30,114","31,189","32,208","32,373"
...NHPI,685,699,729,776,793,825,886,929,935,"1,003","1,069",993,995
..Two or More Races,"15,081","15,258","16,336","17,291","18,369","19,601","20,681","22,001","23,289","24,616","26,201","27,248","27,511"
.HISPANIC,"94,419","95,505","103,215","110,994","118,380","124,667","131,467","138,481","145,077","152,703","160,871","167,405","168,755"
..One Race,"93,051","94,090","101,508","108,963","115,995","121,964","128,365","134,991","141,167","148,365","156,153","162,348","163,486"
...White,"88,505","89,420","95,877","102,628","108,833","114,092","119,219","124,467","129,617","135,074","142,240","147,557","148,644"
...Black,"1,729","1,736","1,997","2,143","2,296","2,422","2,763","3,132","3,257","3,655","3,853","4,047","4,082"
...AIAN,"2,064","2,175","2,722","3,156","3,750","4,251","4,997","5,837","6,524","7,720","8,046","8,562","8,585"
