table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 3. Intercensal Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Nevada: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
"Sex, Race, and Hispanic Origin","April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,
BOTH SEXES,"1,998,250","2,018,741","2,098,399","2,173,791","2,248,850","2,346,222","2,432,143","2,522,658","2,601,072","2,653,630","2,684,665","2,700,551","2,704,642"
.One Race,"1,953,695","1,973,140","2,048,175","2,119,040","2,189,283","2,281,082","2,361,141","2,445,702","2,517,943","2,565,050","2,591,132","2,603,468","2,607,212"
..White,"1,682,522","1,697,938","1,751,909","1,801,308","1,850,553","1,915,799","1,968,095","2,022,570","2,067,437","2,092,646","2,104,015","2,106,494","2,108,641"
..Black,"140,125","141,698","150,616","159,264","167,550","178,908","190,486","203,042","213,754","222,366","228,060","231,224","231,613"
..AIAN,"28,281","28,597","30,026","31,282","32,660","34,325","35,926","37,794","39,855","41,322","42,338","42,965","43,095"
..Asian,"93,601","95,554","105,307","115,869","126,276","138,751","152,235","166,609","180,039","190,639","197,944","203,478","204,483"
..NHPI,"9,166","9,353","10,317","11,317","12,244","13,299","14,399","15,687","16,858","18,077","18,775","19,307","19,380"
.Two or More Races,"44,555","45,601","50,224","54,751","59,567","65,140","71,002","76,956","83,129","88,580","93,533","97,083","97,430"
.NOT HISPANIC,"1,604,284","1,618,481","1,665,003","1,708,410","1,753,471","1,814,559","1,861,616","1,909,229","1,947,682","1,971,751","1,981,298","1,984,050","1,984,576"
..One Race,"1,565,341","1,578,723","1,621,967","1,662,166","1,703,854","1,760,851","1,803,734","1,847,135","1,881,271","1,901,589","1,907,809","1,908,269","1,908,334"
...White,"1,312,191","1,322,038","1,347,170","1,368,956","1,392,882","1,426,947","1,445,995","1,463,654","1,474,947","1,477,687","1,472,828","1,466,653","1,465,408"
...Black,"133,006","134,409","142,142","149,559","156,625","166,475","176,394","187,171","196,127","202,972","207,455","209,494","209,729"
...AIAN,"21,658","21,807","22,273","22,534","22,748","23,174","23,559","23,919","24,340","24,390","24,096","23,699","23,757"
...Asian,"90,536","92,361","101,532","111,458","121,282","133,070","145,805","159,352","171,982","181,736","188,169","192,781","193,740"
...NHPI,"7,950","8,108","8,850","9,659","10,317","11,185","11,981","13,039","13,875","14,804","15,261","15,642","15,700"
..Two or More Races,"38,943","39,758","43,036","46,244","49,617","53,708","57,882","62,094","66,411","70,162","73,489","75,781","76,242"
.HISPANIC,"393,966","400,260","433,396","465,381","495,379","531,663","570,527","613,429","653,390","681,879","703,367","716,501","720,066"
..One Race,"388,354","394,417","426,208","456,874","485,429","520,231","557,407","598,567","636,672","663,461","683,323","695,199","698,878"
...White,"370,331","375,900","404,739","432,352","457,671","488,852","522,100","558,916","592,490","614,959","631,187","639,841","643,233"
...Black,"7,119","7,289","8,474","9,705","10,925","12,433","14,092","15,871","17,627","19,394","20,605","21,730","21,884"
...AIAN,"6,623","6,790","7,753","8,748","9,912","11,151","12,367","13,875","15,515","16,932","18,242","19,266","19,338"
