table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 3. Intercensal Estimates of the Resident Population by Sex, Race, and Hispanic Origin for New Hampshire: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
"Sex, Race, and Hispanic Origin","April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,
BOTH SEXES,"1,235,807","1,239,882","1,255,517","1,269,089","1,279,840","1,290,121","1,298,492","1,308,389","1,312,540","1,315,906","1,316,102","1,316,470","1,316,759"
.One Race,"1,225,701","1,229,653","1,244,423","1,257,037","1,266,965","1,276,426","1,283,933","1,292,808","1,296,154","1,298,526","1,297,918","1,297,681","1,297,636"
..White,"1,195,977","1,199,618","1,211,196","1,221,276","1,228,935","1,236,305","1,241,585","1,248,429","1,250,276","1,250,859","1,249,055","1,248,321","1,248,246"
..Black,"9,948","9,980","11,031","11,784","12,493","13,224","13,888","14,737","15,121","15,739","16,108","16,365","16,351"
..AIAN,"3,072","3,088","3,221","3,279","3,377","3,400","3,443","3,551","3,582","3,675","3,619","3,530","3,491"
..Asian,"16,297","16,560","18,509","20,209","21,664","23,004","24,510","25,579","26,672","27,743","28,568","28,933","29,024"
..NHPI,407,407,466,489,496,493,507,512,503,510,568,532,524
.Two or More Races,"10,106","10,229","11,094","12,052","12,875","13,695","14,559","15,581","16,386","17,380","18,184","18,789","19,123"
.NOT HISPANIC,"1,215,321","1,219,185","1,232,468","1,243,801","1,252,815","1,261,341","1,268,063","1,276,051","1,278,798","1,280,704","1,279,772","1,279,766","1,279,679"
..One Race,"1,205,768","1,209,510","1,222,053","1,232,562","1,240,852","1,248,636","1,254,702","1,261,829","1,263,893","1,264,927","1,263,304","1,262,737","1,262,524"
...White,"1,177,925","1,181,370","1,191,067","1,199,197","1,205,374","1,211,311","1,215,265","1,220,685","1,221,316","1,220,898","1,218,157","1,217,211","1,216,976"
...Black,"8,633","8,653","9,513","10,136","10,798","11,303","11,908","12,583","12,977","13,380","13,682","13,870","13,849"
...AIAN,"2,751","2,765","2,814","2,839","2,864","2,897","2,906","2,895","2,877","2,901","2,841","2,728","2,694"
...Asian,"16,127","16,390","18,288","19,999","21,442","22,760","24,253","25,303","26,376","27,415","28,252","28,592","28,683"
...NHPI,332,332,371,391,374,365,370,363,347,333,372,336,322
..Two or More Races,"9,553","9,675","10,415","11,239","11,963","12,705","13,361","14,222","14,905","15,777","16,468","17,029","17,155"
.HISPANIC,"20,486","20,697","23,049","25,288","27,025","28,780","30,429","32,338","33,742","35,202","36,330","36,704","37,080"
..One Race,"19,933","20,143","22,370","24,475","26,113","27,790","29,231","30,979","32,261","33,599","34,614","34,944","35,112"
...White,"18,052","18,248","20,129","22,079","23,561","24,994","26,320","27,744","28,960","29,961","30,898","31,110","31,270"
...Black,"1,315","1,327","1,518","1,648","1,695","1,921","1,980","2,154","2,144","2,359","2,426","2,495","2,502"
...AIAN,321,323,407,440,513,503,537,656,705,774,778,802,797
...Asian,170,170,221,210,222,244,257,276,296,328,316,341,341
...NHPI,75,75,95,98,122,128,137,149,156,177,196,196,202
..Two or More Races,553,554,679,813,912,990,"1,198","1,359","1,481","1,603","1,716","1,760","1,968"
MALE,"607,695","609,771","618,105","625,409","631,327","636,276","640,560","645,616","647,553","649,330","649,227","649,394","649,636"
.One Race,"602,674","604,699","612,613","619,427","624,918","629,479","633,385","637,916","639,460","640,771","640,227","640,117","640,191"
..White,"587,370","589,241","595,557","601,121","605,443","609,041","611,770","615,341","616,182","616,657","615,571","615,130","615,197"
..Black,"5,528","5,556","6,095","6,551","6,938","7,264","7,662","8,131","8,388","8,729","8,940","9,169","9,165"
