table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 3. Intercensal Estimates of the Resident Population by Sex, Race, and Hispanic Origin for New Jersey: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
"Sex, Race, and Hispanic Origin","April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,
BOTH SEXES,"8,414,764","8,430,621","8,492,671","8,552,643","8,601,402","8,634,561","8,651,974","8,661,679","8,677,885","8,711,090","8,755,602","8,791,894","8,801,624"
.One Race,"8,324,399","8,338,885","8,394,401","8,447,887","8,490,187","8,516,718","8,527,707","8,530,602","8,539,706","8,565,415","8,602,125","8,632,353","8,641,398"
..White,"6,587,980","6,593,966","6,606,138","6,617,979","6,622,522","6,615,292","6,595,551","6,571,143","6,550,031","6,542,862","6,543,428","6,546,498","6,549,429"
..Black,"1,212,323","1,214,799","1,225,586","1,235,091","1,243,880","1,250,367","1,253,750","1,256,590","1,259,993","1,264,816","1,274,062","1,282,005","1,284,377"
..AIAN,"24,019","24,509","26,697","29,059","31,252","33,579","36,024","38,230","40,834","43,537","47,046","49,907","50,130"
..Asian,"494,388","499,861","530,003","559,494","586,091","610,994","635,570","657,689","681,789","706,964","729,996","746,212","749,675"
..NHPI,"5,689","5,750","5,977","6,264","6,442","6,486","6,812","6,950","7,059","7,236","7,593","7,731","7,787"
.Two or More Races,"90,365","91,736","98,270","104,756","111,215","117,843","124,267","131,077","138,179","145,675","153,477","159,541","160,226"
.NOT HISPANIC,"7,297,528","7,301,718","7,318,939","7,333,796","7,337,879","7,329,810","7,308,642","7,280,639","7,257,998","7,246,565","7,239,732","7,236,750","7,237,587"
..One Race,"7,224,696","7,228,044","7,240,980","7,251,642","7,251,592","7,239,568","7,214,457","7,182,566","7,155,796","7,140,059","7,128,717","7,122,113","7,122,185"
...White,"5,604,832","5,601,464","5,578,892","5,555,789","5,525,789","5,488,172","5,440,558","5,389,373","5,340,793","5,301,078","5,264,148","5,238,374","5,233,566"
...Black,"1,117,301","1,118,695","1,124,362","1,128,961","1,132,849","1,134,136","1,132,716","1,130,682","1,129,110","1,128,625","1,131,976","1,135,566","1,136,960"
...AIAN,"11,997","11,960","12,126","12,363","12,401","12,451","12,482","12,444","12,483","12,512","12,656","12,729","12,791"
...Asian,"488,062","493,417","523,018","551,939","577,956","602,229","626,117","647,502","670,873","695,290","717,393","732,985","736,376"
...NHPI,"2,504","2,508","2,582","2,590","2,597","2,580","2,584","2,565","2,537","2,554","2,544","2,459","2,492"
..Two or More Races,"72,832","73,674","77,959","82,154","86,287","90,242","94,185","98,073","102,202","106,506","111,015","114,637","115,402"
.HISPANIC,"1,117,236","1,128,903","1,173,732","1,218,847","1,263,523","1,304,751","1,343,332","1,381,040","1,419,887","1,464,525","1,515,870","1,555,144","1,564,037"
..One Race,"1,099,703","1,110,841","1,153,421","1,196,245","1,238,595","1,277,150","1,313,250","1,348,036","1,383,910","1,425,356","1,473,408","1,510,240","1,519,213"
...White,"983,148","992,502","1,027,246","1,062,190","1,096,733","1,127,120","1,154,993","1,181,770","1,209,238","1,241,784","1,279,280","1,308,124","1,315,863"
...Black,"95,022","96,104","101,224","106,130","111,031","116,231","121,034","125,908","130,883","136,191","142,086","146,439","147,417"
...AIAN,"12,022","12,549","14,571","16,696","18,851","21,128","23,542","25,786","28,351","31,025","34,390","37,178","37,339"
...Asian,"6,326","6,444","6,985","7,555","8,135","8,765","9,453","10,187","10,916","11,674","12,603","13,227","13,299"
...NHPI,"3,185","3,242","3,395","3,674","3,845","3,906","4,228","4,385","4,522","4,682","5,049","5,272","5,295"
..Two or More Races,"17,533","18,062","20,311","22,602","24,928","27,601","30,082","33,004","35,977","39,169","42,462","44,904","44,824"
MALE,"4,083,038","4,090,509","4,122,739","4,153,842","4,179,438","4,197,597","4,208,429","4,213,580","4,222,737","4,241,189","4,262,096","4,279,600","4,285,192"
.One Race,"4,038,871","4,045,689","4,074,678","4,102,583","4,125,038","4,139,948","4,147,554","4,149,403","4,155,061","4,169,821","4,187,027","4,201,559","4,206,807"
..White,"3,206,115","3,209,077","3,217,602","3,226,278","3,231,303","3,229,952","3,222,972","3,212,560","3,203,784","3,202,238","3,203,220","3,205,019","3,207,104"
..Black,"572,658","573,645","578,243","582,400","586,032","589,146","590,948","592,048","593,554","596,175","599,733","603,322","604,624"
..AIAN,"12,501","12,741","13,849","15,017","16,069","17,304","18,561","19,637","21,131","22,552","24,423","26,132","26,242"
..Asian,"244,699","247,303","261,933","275,758","288,410","300,285","311,651","321,652","333,018","345,212","355,857","363,216","364,944"
..NHPI,"2,898","2,923","3,051","3,130","3,224","3,261","3,422","3,506","3,574","3,644","3,794","3,870","3,893"
.Two or More Races,"44,167","44,820","48,061","51,259","54,400","57,649","60,875","64,177","67,676","71,368","75,069","78,041","78,385"
.NOT HISPANIC,"3,517,471","3,519,176","3,528,703","3,537,116","3,540,198","3,537,841","3,529,390","3,515,712","3,505,529","3,501,995","3,498,037","3,496,182","3,497,103"
..One Race,"3,482,023","3,483,347","3,490,789","3,497,201","3,498,248","3,493,993","3,483,564","3,468,050","3,455,827","3,450,192","3,444,143","3,440,524","3,441,060"
...White,"2,707,754","2,706,084","2,696,955","2,687,951","2,675,336","2,658,946","2,637,829","2,614,017","2,591,765","2,574,275","2,557,155","2,544,964","2,542,975"
...Black,"525,497","525,968","528,056","529,835","531,136","531,702","531,356","530,065","529,090","529,145","530,031","531,542","532,330"
...AIAN,"6,010","5,986","6,069","6,169","6,171","6,211","6,177","6,122","6,138","6,131","6,169","6,203","6,233"
...Asian,"241,502","244,052","258,421","271,968","284,327","295,894","306,940","316,580","327,594","339,396","349,560","356,617","358,308"
...NHPI,"1,260","1,257","1,288","1,278","1,278","1,240","1,262","1,266","1,240","1,245","1,228","1,198","1,214"
..Two or More Races,"35,448","35,829","37,914","39,915","41,950","43,848","45,826","47,662","49,702","51,803","53,894","55,658","56,043"
.HISPANIC,"565,567","571,333","594,036","616,726","639,240","659,756","679,039","697,868","717,208","739,194","764,059","783,418","788,089"
..One Race,"556,848","562,342","583,889","605,382","626,790","645,955","663,990","681,353","699,234","719,629","742,884","761,035","765,747"
...White,"498,361","502,993","520,647","538,327","555,967","571,006","585,143","598,543","612,019","627,963","646,065","660,055","664,129"
...Black,"47,161","47,677","50,187","52,565","54,896","57,444","59,592","61,983","64,464","67,030","69,702","71,780","72,294"
...AIAN,"6,491","6,755","7,780","8,848","9,898","11,093","12,384","13,515","14,993","16,421","18,254","19,929","20,009"
...Asian,"3,197","3,251","3,512","3,790","4,083","4,391","4,711","5,072","5,424","5,816","6,297","6,599","6,636"
...NHPI,"1,638","1,666","1,763","1,852","1,946","2,021","2,160","2,240","2,334","2,399","2,566","2,672","2,679"
..Two or More Races,"8,719","8,991","10,147","11,344","12,450","13,801","15,049","16,515","17,974","19,565","21,175","22,383","22,342"
FEMALE,"4,331,726","4,340,112","4,369,932","4,398,801","4,421,964","4,436,964","4,443,545","4,448,099","4,455,148","4,469,901","4,493,506","4,512,294","4,516,432"
.One Race,"4,285,528","4,293,196","4,319,723","4,345,304","4,365,149","4,376,770","4,380,153","4,381,199","4,384,645","4,395,594","4,415,098","4,430,794","4,434,591"
..White,"3,381,865","3,384,889","3,388,536","3,391,701","3,391,219","3,385,340","3,372,579","3,358,583","3,346,247","3,340,624","3,340,208","3,341,479","3,342,325"
..Black,"639,665","641,154","647,343","652,691","657,848","661,221","662,802","664,542","666,439","668,641","674,329","678,683","679,753"
