table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 3. Intercensal Estimates of the Resident Population by Sex, Race, and Hispanic Origin for New Mexico: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
"Sex, Race, and Hispanic Origin","April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,
BOTH SEXES,"1,819,017","1,821,204","1,831,690","1,855,309","1,877,574","1,903,808","1,932,274","1,962,137","1,990,070","2,010,662","2,036,802","2,059,179","2,065,932"
.One Race,"1,793,606","1,795,545","1,804,536","1,826,315","1,846,751","1,871,087","1,897,339","1,925,102","1,950,869","1,969,210","1,992,776","2,013,273","2,019,716"
..White,"1,553,005","1,555,012","1,558,945","1,575,099","1,590,445","1,609,492","1,631,078","1,654,067","1,674,570","1,687,600","1,704,855","1,720,992","1,726,766"
..Black,"38,433","38,255","39,240","40,480","41,351","42,590","43,575","44,804","45,995","46,536","47,952","49,006","49,140"
..AIAN,"178,870","178,825","182,434","185,548","188,600","191,406","193,882","196,074","199,158","202,878","206,560","208,890","209,287"
..Asian,"21,186","21,329","21,670","22,828","23,919","25,080","26,239","27,400","28,348","29,262","30,303","31,253","31,384"
..NHPI,"2,112","2,124","2,247","2,360","2,436","2,519","2,565","2,757","2,798","2,934","3,106","3,132","3,139"
.Two or More Races,"25,411","25,659","27,154","28,994","30,823","32,721","34,935","37,035","39,201","41,452","44,026","45,906","46,216"
.NOT HISPANIC,"1,053,611","1,051,216","1,048,147","1,054,439","1,060,054","1,069,086","1,078,248","1,087,488","1,093,533","1,094,097","1,099,238","1,105,776","1,106,518"
..One Race,"1,034,926","1,032,439","1,028,709","1,034,089","1,038,885","1,047,012","1,055,194","1,063,523","1,068,633","1,068,359","1,072,441","1,078,043","1,078,488"
...White,"821,372","819,189","812,209","813,977","815,759","820,715","826,507","832,752","835,596","833,488","834,683","838,173","838,154"
...Black,"31,231","30,986","31,460","32,153","32,528","33,311","33,737","34,351","34,807","34,733","35,373","35,906","35,966"
...AIAN,"162,458","162,280","164,797","166,662","168,428","169,781","170,699","171,188","172,254","173,437","174,982","176,021","176,294"
...Asian,"18,825","18,937","19,165","20,160","21,049","22,035","23,065","24,019","24,767","25,430","26,050","26,676","26,801"
...NHPI,"1,040","1,047","1,078","1,137","1,121","1,170","1,186","1,213","1,209","1,271","1,353","1,267","1,273"
..Two or More Races,"18,685","18,777","19,438","20,350","21,169","22,074","23,054","23,965","24,900","25,738","26,797","27,733","28,030"
.HISPANIC,"765,406","769,988","783,543","800,870","817,520","834,722","854,026","874,649","896,537","916,565","937,564","953,403","959,414"
..One Race,"758,680","763,106","775,827","792,226","807,866","824,075","842,145","861,579","882,236","900,851","920,335","935,230","941,228"
...White,"731,633","735,823","746,736","761,122","774,686","788,777","804,571","821,315","838,974","854,112","870,172","882,819","888,612"
...Black,"7,202","7,269","7,780","8,327","8,823","9,279","9,838","10,453","11,188","11,803","12,579","13,100","13,174"
...AIAN,"16,412","16,545","17,637","18,886","20,172","21,625","23,183","24,886","26,904","29,441","31,578","32,869","32,993"
...Asian,"2,361","2,392","2,505","2,668","2,870","3,045","3,174","3,381","3,581","3,832","4,253","4,577","4,583"
...NHPI,"1,072","1,077","1,169","1,223","1,315","1,349","1,379","1,544","1,589","1,663","1,753","1,865","1,866"
..Two or More Races,"6,726","6,882","7,716","8,644","9,654","10,647","11,881","13,070","14,301","15,714","17,229","18,173","18,186"
MALE,"894,335","895,580","901,303","913,453","925,271","939,070","953,754","968,168","982,148","992,084","1,005,564","1,017,421","1,020,992"
.One Race,"881,827","882,960","887,941","899,190","910,057","922,926","936,457","949,856","962,771","971,642","983,796","994,723","998,134"
..White,"764,315","765,480","767,751","776,108","784,339","794,546","805,629","816,551","827,052","833,295","842,108","850,754","853,830"
..Black,"20,188","20,119","20,689","21,474","21,942","22,674","23,280","24,048","24,699","24,984","25,881","26,510","26,588"
..AIAN,"86,607","86,577","88,532","90,052","91,656","93,010","94,289","95,336","96,759","98,579","100,454","101,602","101,800"
..Asian,"9,638","9,700","9,832","10,347","10,858","11,426","11,930","12,476","12,829","13,266","13,771","14,251","14,308"
..NHPI,"1,079","1,084","1,137","1,209","1,262","1,270","1,329","1,445","1,432","1,518","1,582","1,606","1,608"
.Two or More Races,"12,508","12,620","13,362","14,263","15,214","16,144","17,297","18,312","19,377","20,442","21,768","22,698","22,858"
.NOT HISPANIC,"515,385","514,320","513,014","516,411","519,627","525,035","530,007","534,425","537,373","537,535","540,644","544,564","545,004"
..One Race,"506,115","505,015","503,383","506,327","509,123","514,096","518,527","522,506","525,006","524,733","527,335","530,767","531,068"
...White,"401,939","400,990","397,609","398,649","399,824","403,184","406,463","409,342","410,978","409,822","410,857","413,184","413,253"
...Black,"16,828","16,724","17,028","17,523","17,758","18,237","18,514","18,971","19,225","19,245","19,730","20,117","20,161"
...AIAN,"78,316","78,218","79,594","80,538","81,510","82,150","82,549","82,722","83,094","83,599","84,358","84,825","84,958"
...Asian,"8,495","8,542","8,606","9,030","9,454","9,915","10,379","10,826","11,079","11,389","11,693","11,980","12,032"
...NHPI,537,541,546,587,577,610,622,645,630,678,697,661,664
..Two or More Races,"9,270","9,305","9,631","10,084","10,504","10,939","11,480","11,919","12,367","12,802","13,309","13,797","13,936"
.HISPANIC,"378,950","381,260","388,289","397,042","405,644","414,035","423,747","433,743","444,775","454,549","464,920","472,857","475,988"
..One Race,"375,712","377,945","384,558","392,863","400,934","408,830","417,930","427,350","437,765","446,909","456,461","463,956","467,066"
...White,"362,376","364,490","370,142","377,459","384,515","391,362","399,166","407,209","416,074","423,473","431,251","437,570","440,577"
...Black,"3,360","3,395","3,661","3,951","4,184","4,437","4,766","5,077","5,474","5,739","6,151","6,393","6,427"
...AIAN,"8,291","8,359","8,938","9,514","10,146","10,860","11,740","12,614","13,665","14,980","16,096","16,777","16,842"
...Asian,"1,143","1,158","1,226","1,317","1,404","1,511","1,551","1,650","1,750","1,877","2,078","2,271","2,276"
...NHPI,542,543,591,622,685,660,707,800,802,840,885,945,944
..Two or More Races,"3,238","3,315","3,731","4,179","4,710","5,205","5,817","6,393","7,010","7,640","8,459","8,901","8,922"
FEMALE,"924,682","925,624","930,387","941,856","952,303","964,738","978,520","993,969","1,007,922","1,018,578","1,031,238","1,041,758","1,044,940"
.One Race,"911,779","912,585","916,595","927,125","936,694","948,161","960,882","975,246","988,098","997,568","1,008,980","1,018,550","1,021,582"
..White,"788,690","789,532","791,194","798,991","806,106","814,946","825,449","837,516","847,518","854,305","862,747","870,238","872,936"
..Black,"18,245","18,136","18,551","19,006","19,409","19,916","20,295","20,756","21,296","21,552","22,071","22,496","22,552"
..AIAN,"92,263","92,248","93,902","95,496","96,944","98,396","99,593","100,738","102,399","104,299","106,106","107,288","107,487"
..Asian,"11,548","11,629","11,838","12,481","13,061","13,654","14,309","14,924","15,519","15,996","16,532","17,002","17,076"
..NHPI,"1,033","1,040","1,110","1,151","1,174","1,249","1,236","1,312","1,366","1,416","1,524","1,526","1,531"
.Two or More Races,"12,903","13,039","13,792","14,731","15,609","16,577","17,638","18,723","19,824","21,010","22,258","23,208","23,358"
.NOT HISPANIC,"538,226","536,896","535,133","538,028","540,427","544,051","548,241","553,063","556,160","556,562","558,594","561,212","561,514"
..One Race,"528,811","527,424","525,326","527,762","529,762","532,916","536,667","541,017","543,627","543,626","545,106","547,276","547,420"
...White,"419,433","418,199","414,600","415,328","415,935","417,531","420,044","423,410","424,618","423,666","423,826","424,989","424,901"
...Black,"14,403","14,262","14,432","14,630","14,770","15,074","15,223","15,380","15,582","15,488","15,643","15,789","15,805"
...AIAN,"84,142","84,062","85,203","86,124","86,918","87,631","88,150","88,466","89,160","89,838","90,624","91,196","91,336"
...Asian,"10,330","10,395","10,559","11,130","11,595","12,120","12,686","13,193","13,688","14,041","14,357","14,696","14,769"
...NHPI,503,506,532,550,544,560,564,568,579,593,656,606,609
..Two or More Races,"9,415","9,472","9,807","10,266","10,665","11,135","11,574","12,046","12,533","12,936","13,488","13,936","14,094"
.HISPANIC,"386,456","388,728","395,254","403,828","411,876","420,687","430,279","440,906","451,762","462,016","472,644","480,546","483,426"
..One Race,"382,968","385,161","391,269","399,363","406,932","415,245","424,215","434,229","444,471","453,942","463,874","471,274","474,162"
...White,"369,257","371,333","376,594","383,663","390,171","397,415","405,405","414,106","422,900","430,639","438,921","445,249","448,035"
...Black,"3,842","3,874","4,119","4,376","4,639","4,842","5,072","5,376","5,714","6,064","6,428","6,707","6,747"
...AIAN,"8,121","8,186","8,699","9,372","10,026","10,765","11,443","12,272","13,239","14,461","15,482","16,092","16,151"
...Asian,"1,218","1,234","1,279","1,351","1,466","1,534","1,623","1,731","1,831","1,955","2,175","2,306","2,307"
...NHPI,530,534,578,601,630,689,672,744,787,823,868,920,922
..Two or More Races,"3,488","3,567","3,985","4,465","4,944","5,442","6,064","6,677","7,291","8,074","8,770","9,272","9,264"
"1 The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program, legal boundary updates, and other geographic program revisions.  The original race data from 
Census 2000 are modified to reclassify the Some Other Race category.  For more information see http://www.census.gov/popest/research/modified.html.",,,,,,,,,,,,,
"2 The data source for April 1, 2010 is the 2010 Census count.  The original race data from the 2010 Census are modified to reclassify the Some Other Race category.  For more information see 
http://www.census.gov/popest/methodology/2000-2010_Intercensal_Estimates_Methodology.pdf.",,,,,,,,,,,,,
"3 The values for July 1, 2010 were produced by applying estimates of change in the population between April 1 and July 1 of 2010 to the 2010 Census counts.  Further details on this methodology are available
 at http://www.census.gov/popest/methodology/2000-2010_Intercensal_Estimates_Methodology.pdf.",,,,,,,,,,,,,
"Note: Hispanic origin is considered an ethnicity, not a race.  Hispanics may be of any race.  Abbreviations: Black = Black or African American; AIAN = American Indian and Alaska Native; 
NHPI = Native Hawaiian and Other Pacific Islander.",,,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,,
"Table 3. Intercensal Estimates of the Resident Population by Sex, Race, and Hispanic Origin for New Mexico: April 1, 2000 to July 1, 2010 (ST-EST2010-03-35)",,,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,,
Release Date: October 2012,,,,,,,,,,,,,
