table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 3. Intercensal Estimates of the Resident Population by Sex, Race, and Hispanic Origin for New York: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
"Sex, Race, and Hispanic Origin","April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,
BOTH SEXES,"18,977,026","19,001,780","19,082,838","19,137,800","19,175,939","19,171,567","19,132,610","19,104,631","19,132,335","19,212,436","19,307,066","19,378,102","19,392,283"
.One Race,"18,730,622","18,751,605","18,818,322","18,858,691","18,881,970","18,863,549","18,810,468","18,767,389","18,777,482","18,837,960","18,912,336","18,968,309","18,980,956"
..White,"14,161,617","14,162,802","14,171,067","14,159,311","14,139,520","14,092,313","14,009,676","13,933,304","13,899,597","13,896,947","13,902,265","13,901,661","13,901,240"
..Black,"3,345,937","3,352,839","3,362,588","3,367,218","3,366,096","3,354,749","3,343,142","3,334,119","3,330,887","3,341,092","3,358,828","3,378,047","3,384,085"
..AIAN,"101,496","103,311","110,471","118,119","125,607","133,076","140,850","148,667","156,840","166,143","176,161","183,046","183,695"
..Asian,"1,104,934","1,115,771","1,156,742","1,195,846","1,231,965","1,263,884","1,296,714","1,330,598","1,368,954","1,411,744","1,451,956","1,481,555","1,487,789"
..NHPI,"16,638","16,882","17,454","18,197","18,782","19,527","20,086","20,701","21,204","22,034","23,126","24,000","24,147"
.Two or More Races,"246,404","250,175","264,516","279,109","293,969","308,018","322,142","337,242","354,853","374,476","394,730","409,793","411,327"
.NOT HISPANIC,"16,109,344","16,107,464","16,130,448","16,130,657","16,121,534","16,079,274","16,007,210","15,941,689","15,916,300","15,927,444","15,948,001","15,961,180","15,957,063"
..One Race,"15,924,890","15,921,090","15,935,190","15,926,485","15,908,191","15,857,847","15,777,458","15,703,456","15,668,072","15,667,705","15,676,330","15,680,896","15,675,218"
...White,"11,881,526","11,865,298","11,838,581","11,794,878","11,749,298","11,684,648","11,594,170","11,508,250","11,452,811","11,414,142","11,377,422","11,344,650","11,330,139"
...Black,"2,892,867","2,894,948","2,895,442","2,892,238","2,884,520","2,868,550","2,847,435","2,827,470","2,811,198","2,808,817","2,816,025","2,825,404","2,827,976"
...AIAN,"57,363","57,271","57,553","57,710","57,725","57,379","57,205","56,827","56,454","56,392","56,460","56,545","56,701"
...Asian,"1,086,459","1,096,874","1,136,670","1,174,513","1,209,354","1,239,946","1,271,188","1,303,452","1,340,080","1,380,757","1,418,738","1,446,620","1,452,669"
...NHPI,"6,675","6,699","6,944","7,146","7,294","7,324","7,460","7,457","7,529","7,597","7,685","7,677","7,733"
..Two or More Races,"184,454","186,374","195,258","204,172","213,343","221,427","229,752","238,233","248,228","259,739","271,671","280,284","281,845"
.HISPANIC,"2,867,682","2,894,316","2,952,390","3,007,143","3,054,405","3,092,293","3,125,400","3,162,942","3,216,035","3,284,992","3,359,065","3,416,922","3,435,220"
..One Race,"2,805,732","2,830,515","2,883,132","2,932,206","2,973,779","3,005,702","3,033,010","3,063,933","3,109,410","3,170,255","3,236,006","3,287,413","3,305,738"
...White,"2,280,091","2,297,504","2,332,486","2,364,433","2,390,222","2,407,665","2,415,506","2,425,054","2,446,786","2,482,805","2,524,843","2,557,011","2,571,101"
...Black,"453,070","457,891","467,146","474,980","481,576","486,199","495,707","506,649","519,689","532,275","542,803","552,643","556,109"
...AIAN,"44,133","46,040","52,918","60,409","67,882","75,697","83,645","91,840","100,386","109,751","119,701","126,501","126,994"
...Asian,"18,475","18,897","20,072","21,333","22,611","23,938","25,526","27,146","28,874","30,987","33,218","34,935","35,120"
...NHPI,"9,963","10,183","10,510","11,051","11,488","12,203","12,626","13,244","13,675","14,437","15,441","16,323","16,414"
..Two or More Races,"61,950","63,801","69,258","74,937","80,626","86,591","92,390","99,009","106,625","114,737","123,059","129,509","129,482"
MALE,"9,147,053","9,159,719","9,204,125","9,234,873","9,258,129","9,258,040","9,245,143","9,233,230","9,250,825","9,293,595","9,340,446","9,377,147","9,385,652"
.One Race,"9,028,946","9,039,793","9,077,370","9,101,053","9,117,156","9,110,294","9,090,624","9,071,639","9,080,794","9,114,139","9,151,528","9,181,045","9,188,806"
..White,"6,877,874","6,879,190","6,889,671","6,889,157","6,885,323","6,866,628","6,832,459","6,798,686","6,786,616","6,790,315","6,796,746","6,800,480","6,801,454"
..Black,"1,543,253","1,546,622","1,552,106","1,554,739","1,554,760","1,548,734","1,545,168","1,541,254","1,541,248","1,546,699","1,554,358","1,563,221","1,566,499"
..AIAN,"50,424","51,334","54,858","58,747","62,458","66,250","70,225","74,302","78,626","83,474","88,755","92,295","92,620"
..Asian,"549,229","554,382","572,233","589,605","605,415","619,078","632,849","647,220","663,920","682,881","700,330","713,325","716,438"
..NHPI,"8,166","8,265","8,502","8,805","9,200","9,604","9,923","10,177","10,384","10,770","11,339","11,724","11,795"
.Two or More Races,"118,107","119,926","126,755","133,820","140,973","147,746","154,519","161,591","170,031","179,456","188,918","196,102","196,846"
.NOT HISPANIC,"7,737,709","7,737,279","7,752,444","7,755,745","7,755,064","7,736,634","7,706,760","7,676,339","7,667,166","7,675,392","7,685,122","7,692,959","7,692,084"
..One Race,"7,649,172","7,647,809","7,658,728","7,657,725","7,652,573","7,630,176","7,596,313","7,561,969","7,547,997","7,550,719","7,554,856","7,558,678","7,557,039"
...White,"5,747,958","5,740,631","5,732,854","5,715,800","5,698,493","5,670,894","5,632,304","5,593,575","5,570,172","5,555,150","5,540,093","5,527,185","5,520,878"
...Black,"1,329,773","1,330,865","1,332,122","1,331,248","1,328,262","1,320,663","1,312,420","1,303,458","1,297,296","1,297,080","1,299,934","1,304,525","1,306,074"
...AIAN,"27,858","27,791","27,872","27,963","27,906","27,740","27,686","27,509","27,282","27,276","27,311","27,328","27,402"
...Asian,"540,318","545,257","562,505","579,275","594,393","607,323","620,290","633,819","649,622","667,547","683,822","695,973","698,993"
...NHPI,"3,265","3,265","3,375","3,439","3,519","3,556","3,613","3,608","3,625","3,666","3,696","3,667","3,692"
..Two or More Races,"88,537","89,470","93,716","98,020","102,491","106,458","110,447","114,370","119,169","124,673","130,266","134,281","135,045"
.HISPANIC,"1,409,344","1,422,440","1,451,681","1,479,128","1,503,065","1,521,406","1,538,383","1,556,891","1,583,659","1,618,203","1,655,324","1,684,188","1,693,568"
..One Race,"1,379,774","1,391,984","1,418,642","1,443,328","1,464,583","1,480,118","1,494,311","1,509,670","1,532,797","1,563,420","1,596,672","1,622,367","1,631,767"
...White,"1,129,916","1,138,559","1,156,817","1,173,357","1,186,830","1,195,734","1,200,155","1,205,111","1,216,444","1,235,165","1,256,653","1,273,295","1,280,576"
...Black,"213,480","215,757","219,984","223,491","226,498","228,071","232,748","237,796","243,952","249,619","254,424","258,696","260,425"
...AIAN,"22,566","23,543","26,986","30,784","34,552","38,510","42,539","46,793","51,344","56,198","61,444","64,967","65,218"
...Asian,"8,911","9,125","9,728","10,330","11,022","11,755","12,559","13,401","14,298","15,334","16,508","17,352","17,445"
...NHPI,"4,901","5,000","5,127","5,366","5,681","6,048","6,310","6,569","6,759","7,104","7,643","8,057","8,103"
..Two or More Races,"29,570","30,456","33,039","35,800","38,482","41,288","44,072","47,221","50,862","54,783","58,652","61,821","61,801"
FEMALE,"9,829,973","9,842,061","9,878,713","9,902,927","9,917,810","9,913,527","9,887,467","9,871,401","9,881,510","9,918,841","9,966,620","10,000,955","10,006,631"
.One Race,"9,701,676","9,711,812","9,740,952","9,757,638","9,764,814","9,753,255","9,719,844","9,695,750","9,696,688","9,723,821","9,760,808","9,787,264","9,792,150"
..White,"7,283,743","7,283,612","7,281,396","7,270,154","7,254,197","7,225,685","7,177,217","7,134,618","7,112,981","7,106,632","7,105,519","7,101,181","7,099,786"
..Black,"1,802,684","1,806,217","1,810,482","1,812,479","1,811,336","1,806,015","1,797,974","1,792,865","1,789,639","1,794,393","1,804,470","1,814,826","1,817,586"
..AIAN,"51,072","51,977","55,613","59,372","63,149","66,826","70,625","74,365","78,214","82,669","87,406","90,751","91,075"
..Asian,"555,705","561,389","584,509","606,241","626,550","644,806","663,865","683,378","705,034","728,863","751,626","768,230","771,351"
..NHPI,"8,472","8,617","8,952","9,392","9,582","9,923","10,163","10,524","10,820","11,264","11,787","12,276","12,352"
.Two or More Races,"128,297","130,249","137,761","145,289","152,996","160,272","167,623","175,651","184,822","195,020","205,812","213,691","214,481"
.NOT HISPANIC,"8,371,635","8,370,185","8,378,004","8,374,912","8,366,470","8,342,640","8,300,450","8,265,350","8,249,134","8,252,052","8,262,879","8,268,221","8,264,979"
..One Race,"8,275,718","8,273,281","8,276,462","8,268,760","8,255,618","8,227,671","8,181,145","8,141,487","8,120,075","8,116,986","8,121,474","8,122,218","8,118,179"
...White,"6,133,568","6,124,667","6,105,727","6,079,078","6,050,805","6,013,754","5,961,866","5,914,675","5,882,639","5,858,992","5,837,329","5,817,465","5,809,261"
...Black,"1,563,094","1,564,083","1,563,320","1,560,990","1,556,258","1,547,887","1,535,015","1,524,012","1,513,902","1,511,737","1,516,091","1,520,879","1,521,902"
...AIAN,"29,505","29,480","29,681","29,747","29,819","29,639","29,519","29,318","29,172","29,116","29,149","29,217","29,299"
...Asian,"546,141","551,617","574,165","595,238","614,961","632,623","650,898","669,633","690,458","713,210","734,916","750,647","753,676"
...NHPI,"3,410","3,434","3,569","3,707","3,775","3,768","3,847","3,849","3,904","3,931","3,989","4,010","4,041"
