table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 3. Intercensal Estimates of the Resident Population by Sex, Race, and Hispanic Origin for North Carolina: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
"Sex, Race, and Hispanic Origin","April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,
BOTH SEXES,"8,046,346","8,081,614","8,210,122","8,326,201","8,422,501","8,553,152","8,705,407","8,917,270","9,118,037","9,309,449","9,449,566","9,535,483","9,561,558"
.One Race,"7,976,424","8,010,026","8,130,124","8,237,652","8,325,626","8,446,611","8,588,691","8,789,026","8,977,129","9,155,435","9,283,115","9,360,485","9,385,359"
..White,"5,998,646","6,019,940","6,099,850","6,168,788","6,221,883","6,301,196","6,396,990","6,534,975","6,661,931","6,778,908","6,856,459","6,898,296","6,912,931"
..Black,"1,752,636","1,761,665","1,788,451","1,814,581","1,836,358","1,864,749","1,896,346","1,941,888","1,985,772","2,029,922","2,064,933","2,088,362","2,096,403"
..AIAN,"102,346","103,736","107,849","111,873","115,968","120,041","124,227","129,021","133,779","138,444","143,564","147,566","148,263"
..Asian,"118,013","119,791","128,581","136,626","145,242","153,875","164,001","175,356","187,259","199,098","208,558","215,952","217,380"
..NHPI,"4,783","4,894","5,393","5,784","6,175","6,750","7,127","7,786","8,388","9,063","9,601","10,309","10,382"
.Two or More Races,"69,922","71,588","79,998","88,549","96,875","106,541","116,716","128,244","140,908","154,014","166,451","174,998","176,199"
.NOT HISPANIC,"7,667,457","7,696,405","7,785,401","7,864,268","7,926,968","8,018,788","8,128,515","8,292,174","8,441,609","8,580,803","8,678,944","8,735,363","8,755,493"
..One Race,"7,602,687","7,630,317","7,712,725","7,784,908","7,841,146","7,925,237","8,026,995","8,181,209","8,320,225","8,448,677","8,536,848","8,586,571","8,605,601"
...White,"5,658,848","5,675,601","5,723,854","5,763,478","5,790,815","5,839,761","5,902,103","6,002,034","6,088,243","6,165,176","6,212,949","6,235,669","6,245,321"
...Black,"1,728,851","1,737,344","1,761,769","1,785,279","1,804,813","1,829,996","1,858,546","1,899,789","1,939,303","1,978,052","2,007,762","2,026,718","2,034,216"
...AIAN,"96,153","96,776","97,827","98,867","99,978","101,152","102,266","103,919","105,426","106,744","108,061","109,348","109,809"
...Asian,"115,564","117,283","125,747","133,605","141,799","150,302","159,908","170,922","182,527","193,638","202,854","209,392","210,772"
...NHPI,"3,271","3,313","3,528","3,679","3,741","4,026","4,172","4,545","4,726","5,067","5,222","5,444","5,483"
..Two or More Races,"64,770","66,088","72,676","79,360","85,822","93,551","101,520","110,965","121,384","132,126","142,096","148,792","149,892"
.HISPANIC,"378,889","385,209","424,721","461,933","495,533","534,364","576,892","625,096","676,428","728,646","770,622","800,120","806,065"
..One Race,"373,737","379,709","417,399","452,744","484,480","521,374","561,696","607,817","656,904","706,758","746,267","773,914","779,758"
...White,"339,798","344,339","375,996","405,310","431,068","461,435","494,887","532,941","573,688","613,732","643,510","662,627","667,610"
...Black,"23,785","24,321","26,682","29,302","31,545","34,753","37,800","42,099","46,469","51,870","57,171","61,644","62,187"
