table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 3. Intercensal Estimates of the Resident Population by Sex, Race, and Hispanic Origin for North Dakota: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
"Sex, Race, and Hispanic Origin","April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,
BOTH SEXES,"642,237","642,023","639,062","638,168","638,817","644,705","646,089","649,422","652,822","657,569","664,968","672,591","674,499"
.One Race,"636,264","636,001","632,673","631,408","631,523","636,916","637,788","640,661","643,675","647,762","654,578","661,698","663,335"
..White,"596,757","596,394","591,964","589,576","588,683","592,452","592,012","593,469","595,177","598,020","603,186","609,136","610,645"
..Black,"4,157","4,167","4,568","4,955","5,277","5,844","6,380","6,708","6,986","7,325","8,166","8,248","8,252"
..AIAN,"31,440","31,455","31,785","32,247","32,700","33,345","33,813","34,592","35,179","35,837","36,375","36,948","37,032"
..Asian,"3,677","3,751","4,099","4,356","4,599","4,983","5,282","5,580","6,001","6,273","6,525","7,032","7,053"
..NHPI,233,234,257,274,264,292,301,312,332,307,326,334,353
.Two or More Races,"5,973","6,022","6,389","6,760","7,294","7,789","8,301","8,761","9,147","9,807","10,390","10,893","11,164"
.NOT HISPANIC,"634,448","634,189","630,685","629,169","629,103","634,346","635,292","638,123","640,923","645,009","651,692","659,124","660,752"
..One Race,"628,734","628,429","624,620","622,761","622,248","627,045","627,530","629,985","632,459","635,958","642,116","649,041","650,579"
...White,"590,169","589,774","584,968","582,041","580,629","583,877","583,171","584,316","585,666","588,127","592,709","598,436","599,894"
...Black,"3,926","3,930","4,300","4,656","4,979","5,522","6,021","6,341","6,628","6,901","7,731","7,842","7,834"
...AIAN,"30,816","30,827","31,096","31,538","31,886","32,484","32,895","33,586","33,986","34,525","35,008","35,577","35,664"
...Asian,"3,605","3,679","4,015","4,268","4,510","4,891","5,173","5,466","5,884","6,138","6,383","6,893","6,898"
...NHPI,218,219,241,258,244,271,270,276,295,267,285,293,289
..Two or More Races,"5,714","5,760","6,065","6,408","6,855","7,301","7,762","8,138","8,464","9,051","9,576","10,083","10,173"
.HISPANIC,"7,789","7,834","8,377","8,999","9,714","10,359","10,797","11,299","11,899","12,560","13,276","13,467","13,747"
..One Race,"7,530","7,572","8,053","8,647","9,275","9,871","10,258","10,676","11,216","11,804","12,462","12,657","12,756"
...White,"6,588","6,620","6,996","7,535","8,054","8,575","8,841","9,153","9,511","9,893","10,477","10,700","10,751"
...Black,231,237,268,299,298,322,359,367,358,424,435,406,418
...AIAN,624,628,689,709,814,861,918,"1,006","1,193","1,312","1,367","1,371","1,368"
...Asian,72,72,84,88,89,92,109,114,117,135,142,139,155
...NHPI,15,15,16,16,20,21,31,36,37,40,41,41,64
..Two or More Races,259,262,324,352,439,488,539,623,683,756,814,810,991
MALE,"320,545","320,468","319,275","319,151","319,921","323,697","324,546","326,839","328,756","331,438","335,294","339,864","340,878"
.One Race,"317,534","317,437","316,083","315,765","316,291","319,788","320,386","322,491","324,231","326,570","330,143","334,474","335,356"
..White,"297,744","297,603","295,691","294,722","294,643","297,249","297,189","298,452","299,559","301,230","304,109","307,715","308,545"
..Black,"2,519","2,525","2,762","2,970","3,177","3,524","3,805","4,052","4,139","4,403","4,788","4,954","4,958"
..AIAN,"15,433","15,442","15,591","15,839","16,120","16,446","16,657","17,089","17,397","17,696","17,904","18,156","18,189"
..Asian,"1,723","1,751","1,912","2,094","2,225","2,422","2,581","2,742","2,970","3,095","3,189","3,474","3,482"
..NHPI,115,116,127,140,126,147,154,156,166,146,153,175,182
.Two or More Races,"3,011","3,031","3,192","3,386","3,630","3,909","4,160","4,348","4,525","4,868","5,151","5,390","5,522"
.NOT HISPANIC,"316,445","316,349","314,839","314,386","314,735","318,148","318,722","320,776","322,380","324,693","328,263","332,678","333,545"
..One Race,"313,567","313,452","311,821","311,179","311,332","314,494","314,841","316,740","318,204","320,217","323,529","327,695","328,527"
...White,"294,255","294,095","291,972","290,705","290,348","292,644","292,424","293,516","294,475","295,939","298,538","301,955","302,752"
...Black,"2,391","2,398","2,620","2,806","3,003","3,333","3,593","3,838","3,921","4,165","4,540","4,718","4,717"
...AIAN,"15,119","15,128","15,230","15,479","15,681","15,999","16,153","16,562","16,749","16,964","17,200","17,464","17,503"
...Asian,"1,696","1,724","1,881","2,058","2,184","2,381","2,532","2,687","2,912","3,022","3,117","3,402","3,401"
...NHPI,106,107,118,131,116,137,139,137,147,127,134,156,154
..Two or More Races,"2,878","2,897","3,018","3,207","3,403","3,654","3,881","4,036","4,176","4,476","4,734","4,983","5,018"
.HISPANIC,"4,100","4,119","4,436","4,765","5,186","5,549","5,824","6,063","6,376","6,745","7,031","7,186","7,333"
..One Race,"3,967","3,985","4,262","4,586","4,959","5,294","5,545","5,751","6,027","6,353","6,614","6,779","6,829"
...White,"3,489","3,508","3,719","4,017","4,295","4,605","4,765","4,936","5,084","5,291","5,571","5,760","5,793"
...Black,128,127,142,164,174,191,212,214,218,238,248,236,241
...AIAN,314,314,361,360,439,447,504,527,648,732,704,692,686
...Asian,27,27,31,36,41,41,49,55,58,73,72,72,81
...NHPI,9,9,9,9,10,10,15,19,19,19,19,19,28
..Two or More Races,133,134,174,179,227,255,279,312,349,392,417,407,504
FEMALE,"321,692","321,555","319,787","319,017","318,896","321,008","321,543","322,583","324,066","326,131","329,674","332,727","333,621"
.One Race,"318,730","318,564","316,590","315,643","315,232","317,128","317,402","318,170","319,444","321,192","324,435","327,224","327,979"
..White,"299,013","298,791","296,273","294,854","294,040","295,203","294,823","295,017","295,618","296,790","299,077","301,421","302,100"
..Black,"1,638","1,642","1,806","1,985","2,100","2,320","2,575","2,656","2,847","2,922","3,378","3,294","3,294"
..AIAN,"16,007","16,013","16,194","16,408","16,580","16,899","17,156","17,503","17,782","18,141","18,471","18,792","18,843"
..Asian,"1,954","2,000","2,187","2,262","2,374","2,561","2,701","2,838","3,031","3,178","3,336","3,558","3,571"
..NHPI,118,118,130,134,138,145,147,156,166,161,173,159,171
.Two or More Races,"2,962","2,991","3,197","3,374","3,664","3,880","4,141","4,413","4,622","4,939","5,239","5,503","5,642"
.NOT HISPANIC,"318,003","317,840","315,846","314,783","314,368","316,198","316,570","317,347","318,543","320,316","323,429","326,446","327,207"
..One Race,"315,167","314,977","312,799","311,582","310,916","312,551","312,689","313,245","314,255","315,741","318,587","321,346","322,052"
...White,"295,914","295,679","292,996","291,336","290,281","291,233","290,747","290,800","291,191","292,188","294,171","296,481","297,142"
...Black,"1,535","1,532","1,680","1,850","1,976","2,189","2,428","2,503","2,707","2,736","3,191","3,124","3,117"
...AIAN,"15,697","15,699","15,866","16,059","16,205","16,485","16,742","17,024","17,237","17,561","17,808","18,113","18,161"
...Asian,"1,909","1,955","2,134","2,210","2,326","2,510","2,641","2,779","2,972","3,116","3,266","3,491","3,497"
...NHPI,112,112,123,127,128,134,131,139,148,140,151,137,135
..Two or More Races,"2,836","2,863","3,047","3,201","3,452","3,647","3,881","4,102","4,288","4,575","4,842","5,100","5,155"
.HISPANIC,"3,689","3,715","3,941","4,234","4,528","4,810","4,973","5,236","5,523","5,815","6,245","6,281","6,414"
..One Race,"3,563","3,587","3,791","4,061","4,316","4,577","4,713","4,925","5,189","5,451","5,848","5,878","5,927"
...White,"3,099","3,112","3,277","3,518","3,759","3,970","4,076","4,217","4,427","4,602","4,906","4,940","4,958"
...Black,103,110,126,135,124,131,147,153,140,186,187,170,177
...AIAN,310,314,328,349,375,414,414,479,545,580,663,679,682
...Asian,45,45,53,52,48,51,60,59,59,62,70,67,74
...NHPI,6,6,7,7,10,11,16,17,18,21,22,22,36
..Two or More Races,126,128,150,173,212,233,260,311,334,364,397,403,487
"1 The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program, legal boundary updates, and other geographic program revisions.  The original race data from 
Census 2000 are modified to reclassify the Some Other Race category.  For more information see http://www.census.gov/popest/research/modified.html.",,,,,,,,,,,,,
"2 The data source for April 1, 2010 is the 2010 Census count.  The original race data from the 2010 Census are modified to reclassify the Some Other Race category.  For more information see 
http://www.census.gov/popest/methodology/2000-2010_Intercensal_Estimates_Methodology.pdf.",,,,,,,,,,,,,
"3 The values for July 1, 2010 were produced by applying estimates of change in the population between April 1 and July 1 of 2010 to the 2010 Census counts.  Further details on this methodology are available
 at http://www.census.gov/popest/methodology/2000-2010_Intercensal_Estimates_Methodology.pdf.",,,,,,,,,,,,,
"Note: Hispanic origin is considered an ethnicity, not a race.  Hispanics may be of any race.  Abbreviations: Black = Black or African American; AIAN = American Indian and Alaska Native; 
NHPI = Native Hawaiian and Other Pacific Islander.",,,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,,
"Table 3. Intercensal Estimates of the Resident Population by Sex, Race, and Hispanic Origin for North Dakota: April 1, 2000 to July 1, 2010 (ST-EST2010-03-38)",,,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,,
Release Date: October 2012,,,,,,,,,,,,,
