table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 3. Intercensal Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Ohio: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
"Sex, Race, and Hispanic Origin","April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,
BOTH SEXES,"11,353,336","11,363,543","11,387,404","11,407,889","11,434,788","11,452,251","11,463,320","11,481,213","11,500,468","11,515,391","11,528,896","11,536,504","11,536,182"
.One Race,"11,231,582","11,239,811","11,255,888","11,268,759","11,287,319","11,296,200","11,298,273","11,307,042","11,316,146","11,320,472","11,323,353","11,323,088","11,321,616"
..White,"9,749,239","9,752,216","9,748,013","9,740,972","9,739,773","9,731,678","9,715,818","9,706,701","9,698,184","9,686,422","9,675,738","9,664,524","9,659,665"
..Black,"1,318,010","1,321,574","1,335,348","1,348,039","1,359,820","1,369,741","1,380,184","1,391,674","1,402,901","1,412,676","1,421,031","1,426,861","1,429,211"
..AIAN,"25,570","25,652","26,127","26,471","26,786","27,003","27,437","27,800","28,341","28,959","29,064","29,674","29,760"
..Asian,"135,620","137,192","143,002","149,626","157,159","163,687","170,582","176,294","181,867","187,347","192,333","196,693","197,592"
..NHPI,"3,143","3,177","3,398","3,651","3,781","4,091","4,252","4,573","4,853","5,068","5,187","5,336","5,388"
.Two or More Races,"121,754","123,732","131,516","139,130","147,469","156,051","165,047","174,171","184,322","194,919","205,543","213,416","214,566"
.NOT HISPANIC,"11,136,237","11,144,045","11,154,906","11,162,569","11,176,179","11,180,453","11,177,132","11,180,635","11,184,434","11,184,524","11,184,346","11,181,830","11,179,395"
..One Race,"11,020,627","11,026,639","11,030,714","11,031,680","11,037,981","11,034,607","11,023,600","11,019,033","11,013,943","11,004,783","10,995,215","10,985,891","10,982,410"
...White,"9,561,817","9,562,894","9,548,195","9,530,628","9,518,700","9,500,548","9,474,524","9,454,702","9,434,899","9,412,401","9,391,092","9,372,701","9,366,124"
...Black,"1,299,940","1,303,283","1,316,166","1,328,078","1,338,894","1,347,231","1,355,662","1,365,324","1,374,701","1,382,771","1,389,735","1,394,780","1,396,925"
...AIAN,"22,360","22,369","22,452","22,358","22,241","22,129","21,989","21,844","21,687","21,497","21,323","21,117","21,162"
...Asian,"134,100","135,666","141,344","147,886","155,309","161,704","168,364","173,978","179,341","184,668","189,533","193,756","194,636"
...NHPI,"2,410","2,427","2,557","2,730","2,837","2,995","3,061","3,185","3,315","3,446","3,532","3,537","3,563"
..Two or More Races,"115,610","117,406","124,192","130,889","138,198","145,846","153,532","161,602","170,491","179,741","189,131","195,939","196,985"
.HISPANIC,"217,099","219,498","232,498","245,320","258,609","271,798","286,188","300,578","316,034","330,867","344,550","354,674","356,787"
..One Race,"210,955","213,172","225,174","237,079","249,338","261,593","274,673","288,009","302,203","315,689","328,138","337,197","339,206"
...White,"187,422","189,322","199,818","210,344","221,073","231,130","241,294","251,999","263,285","274,021","284,646","291,823","293,541"
...Black,"18,070","18,291","19,182","19,961","20,926","22,510","24,522","26,350","28,200","29,905","31,296","32,081","32,286"
...AIAN,"3,210","3,283","3,675","4,113","4,545","4,874","5,448","5,956","6,654","7,462","7,741","8,557","8,598"
...Asian,"1,520","1,526","1,658","1,740","1,850","1,983","2,218","2,316","2,526","2,679","2,800","2,937","2,956"
...NHPI,733,750,841,921,944,"1,096","1,191","1,388","1,538","1,622","1,655","1,799","1,825"
..Two or More Races,"6,144","6,326","7,324","8,241","9,271","10,205","11,515","12,569","13,831","15,178","16,412","17,477","17,581"
MALE,"5,512,372","5,518,118","5,533,713","5,548,504","5,566,253","5,577,840","5,586,617","5,598,146","5,609,503","5,618,797","5,626,878","5,632,156","5,632,832"
.One Race,"5,453,615","5,458,384","5,470,111","5,481,109","5,494,738","5,502,081","5,506,430","5,513,309","5,519,659","5,523,667","5,526,556","5,527,885","5,528,006"
..White,"4,748,588","4,750,776","4,752,503","4,753,209","4,756,721","4,755,733","4,751,193","4,749,085","4,747,147","4,743,803","4,740,096","4,736,166","4,734,515"
..Black,"624,294","626,091","633,186","639,874","646,137","651,194","656,531","662,601","668,046","672,650","676,726","679,687","680,965"
..AIAN,"13,136","13,178","13,436","13,633","13,808","13,899","14,086","14,338","14,553","14,796","14,939","15,236","15,280"
..Asian,"66,028","66,757","69,284","72,555","76,158","79,191","82,425","84,924","87,471","89,821","92,149","94,049","94,476"
..NHPI,"1,569","1,582","1,702","1,838","1,914","2,064","2,195","2,361","2,442","2,597","2,646","2,747","2,770"
.Two or More Races,"58,757","59,734","63,602","67,395","71,515","75,759","80,187","84,837","89,844","95,130","100,322","104,271","104,826"
.NOT HISPANIC,"5,400,115","5,404,615","5,413,366","5,421,429","5,432,276","5,437,222","5,438,541","5,442,632","5,446,150","5,448,041","5,449,067","5,449,310","5,448,871"
..One Race,"5,344,302","5,347,914","5,353,324","5,358,054","5,365,268","5,366,441","5,364,001","5,363,961","5,363,083","5,360,295","5,356,785","5,353,579","5,352,627"
...White,"4,650,834","4,652,012","4,648,241","4,643,402","4,641,272","4,635,181","4,625,271","4,617,702","4,609,976","4,601,160","4,592,178","4,584,610","4,582,030"
...Black,"615,614","617,308","623,923","630,232","636,019","640,313","644,703","649,797","654,334","658,123","661,397","664,013","665,187"
...AIAN,"11,405","11,410","11,433","11,384","11,333","11,249","11,184","11,099","10,948","10,823","10,729","10,624","10,649"
...Asian,"65,281","66,007","68,470","71,691","75,248","78,224","81,319","83,773","86,208","88,497","90,738","92,580","92,998"
...NHPI,"1,168","1,177","1,257","1,345","1,396","1,474","1,524","1,590","1,617","1,692","1,743","1,752","1,763"
..Two or More Races,"55,813","56,701","60,042","63,375","67,008","70,781","74,540","78,671","83,067","87,746","92,282","95,731","96,244"
.HISPANIC,"112,257","113,503","120,347","127,075","133,977","140,618","148,076","155,514","163,353","170,756","177,811","182,846","183,961"
..One Race,"109,313","110,470","116,787","123,055","129,470","135,640","142,429","149,348","156,576","163,372","169,771","174,306","175,379"
