table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 3. Intercensal Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Oklahoma: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
"Sex, Race, and Hispanic Origin","April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,
BOTH SEXES,"3,450,451","3,454,365","3,467,100","3,489,080","3,504,892","3,525,233","3,548,597","3,594,090","3,634,349","3,668,976","3,717,572","3,751,351","3,761,702"
.One Race,"3,311,844","3,313,620","3,321,786","3,338,606","3,348,918","3,363,230","3,380,489","3,418,838","3,451,780","3,478,606","3,518,137","3,543,986","3,553,302"
..White,"2,721,370","2,721,397","2,722,405","2,730,507","2,733,754","2,740,106","2,749,192","2,774,199","2,794,958","2,810,940","2,836,043","2,851,510","2,857,956"
..Black,"264,244","264,137","265,290","266,755","266,870","268,228","269,299","273,147","276,157","277,236","281,437","284,332","285,399"
..AIAN,"275,545","276,836","281,053","286,074","291,188","296,022","301,766","308,955","315,592","322,816","330,302","335,664","336,996"
..Asian,"48,029","48,550","50,109","52,000","53,727","55,141","56,350","58,332","60,644","62,838","65,402","67,126","67,566"
..NHPI,"2,656","2,700","2,929","3,270","3,379","3,733","3,882","4,205","4,429","4,776","4,953","5,354","5,385"
.Two or More Races,"138,607","140,745","145,314","150,474","155,974","162,003","168,108","175,252","182,569","190,370","199,435","207,365","208,400"
.NOT HISPANIC,"3,271,157","3,273,270","3,271,617","3,278,634","3,281,946","3,289,101","3,297,394","3,325,915","3,348,731","3,368,253","3,398,283","3,419,344","3,427,108"
..One Race,"3,137,848","3,137,981","3,132,537","3,135,368","3,134,205","3,136,419","3,140,053","3,162,767","3,179,612","3,192,794","3,215,302","3,229,578","3,236,530"
...White,"2,562,731","2,561,390","2,550,772","2,547,272","2,540,939","2,537,550","2,535,578","2,548,163","2,555,810","2,561,357","2,572,676","2,578,592","2,582,948"
...Black,"259,166","259,009","259,719","260,613","260,309","261,107","261,618","264,778","267,015","267,461","270,651","273,008","273,976"
...AIAN,"266,845","267,938","270,801","274,211","277,999","281,229","285,073","289,952","294,571","299,450","304,969","309,172","310,355"
