table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 3. Intercensal Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Oregon: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
"Sex, Race, and Hispanic Origin","April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,
BOTH SEXES,"3,421,524","3,429,708","3,467,937","3,513,424","3,547,376","3,569,463","3,613,202","3,670,883","3,722,417","3,768,748","3,808,600","3,831,074","3,838,957"
.One Race,"3,346,160","3,353,147","3,387,155","3,428,075","3,457,686","3,475,718","3,514,346","3,566,279","3,612,124","3,652,789","3,686,426","3,704,108","3,711,286"
..White,"3,127,419","3,132,686","3,158,673","3,191,365","3,214,075","3,226,562","3,256,775","3,299,010","3,335,150","3,366,833","3,391,395","3,403,252","3,408,941"
..Black,"58,477","58,647","60,227","62,011","63,003","63,707","65,155","67,322","69,349","71,549","73,298","74,414","74,669"
..AIAN,"47,627","47,926","49,314","50,737","52,277","53,848","55,801","57,663","60,115","62,610","65,108","66,784","67,045"
..Asian,"104,033","105,157","109,603","114,037","117,792","120,653","124,996","130,039","134,572","138,328","142,352","145,009","145,912"
..NHPI,"8,604","8,731","9,338","9,925","10,539","10,948","11,619","12,245","12,938","13,469","14,273","14,649","14,719"
.Two or More Races,"75,364","76,561","80,782","85,349","89,690","93,745","98,856","104,604","110,293","115,959","122,174","126,966","127,671"
.NOT HISPANIC,"3,146,203","3,151,449","3,171,854","3,200,192","3,218,490","3,225,786","3,251,579","3,289,364","3,320,019","3,346,895","3,370,395","3,381,012","3,385,817"
..One Race,"3,076,961","3,081,242","3,098,587","3,123,461","3,138,792","3,143,225","3,165,450","3,198,908","3,225,392","3,248,236","3,267,158","3,274,274","3,278,520"
...White,"2,872,110","2,874,966","2,886,124","2,904,680","2,915,103","2,916,267","2,932,409","2,958,539","2,978,189","2,995,407","3,008,466","3,012,347","3,015,329"
...Black,"54,446","54,539","55,757","57,095","57,820","58,061","59,160","60,787","62,379","63,744","65,111","65,444","65,627"
...AIAN,"40,487","40,606","40,879","41,116","41,189","41,160","41,440","41,702","42,100","42,492","42,726","42,899","43,040"
...Asian,"102,246","103,341","107,516","111,736","115,283","118,010","122,088","126,978","131,212","134,630","138,224","140,593","141,472"
...NHPI,"7,672","7,790","8,311","8,834","9,397","9,727","10,353","10,902","11,512","11,963","12,631","12,991","13,052"
..Two or More Races,"69,242","70,207","73,267","76,731","79,698","82,561","86,129","90,456","94,627","98,659","103,237","106,738","107,297"
.HISPANIC,"275,321","278,259","296,083","313,232","328,886","343,677","361,623","381,519","402,398","421,853","438,205","450,062","453,140"
..One Race,"269,199","271,905","288,568","304,614","318,894","332,493","348,896","367,371","386,732","404,553","419,268","429,834","432,766"
...White,"255,309","257,720","272,549","286,685","298,972","310,295","324,366","340,471","356,961","371,426","382,929","390,905","393,612"
...Black,"4,031","4,108","4,470","4,916","5,183","5,646","5,995","6,535","6,970","7,805","8,187","8,970","9,042"
...AIAN,"7,140","7,320","8,435","9,621","11,088","12,688","14,361","15,961","18,015","20,118","22,382","23,885","24,005"
...Asian,"1,787","1,816","2,087","2,301","2,509","2,643","2,908","3,061","3,360","3,698","4,128","4,416","4,440"
...NHPI,932,941,"1,027","1,091","1,142","1,221","1,266","1,343","1,426","1,506","1,642","1,658","1,667"
..Two or More Races,"6,122","6,354","7,515","8,618","9,992","11,184","12,727","14,148","15,666","17,300","18,937","20,228","20,374"
MALE,"1,696,611","1,701,061","1,720,048","1,742,298","1,758,571","1,769,086","1,789,755","1,817,766","1,843,070","1,865,213","1,885,391","1,896,002","1,900,216"
.One Race,"1,659,468","1,663,319","1,680,282","1,700,344","1,714,476","1,722,914","1,741,056","1,766,297","1,788,806","1,808,114","1,825,185","1,833,329","1,837,199"
..White,"1,550,799","1,553,798","1,566,946","1,583,013","1,593,871","1,599,722","1,613,945","1,634,343","1,652,229","1,667,020","1,679,649","1,684,703","1,687,856"
..Black,"31,230","31,350","32,155","33,144","33,675","34,016","34,924","36,228","37,235","38,550","39,359","40,200","40,346"
..AIAN,"23,851","23,995","24,663","25,450","26,147","27,051","28,036","29,076","30,526","31,880","33,317","34,298","34,425"
..Asian,"49,148","49,671","51,679","53,619","55,339","56,473","58,169","60,369","62,167","63,713","65,518","66,594","67,005"
..NHPI,"4,440","4,505","4,839","5,118","5,444","5,652","5,982","6,281","6,649","6,951","7,342","7,534","7,567"
.Two or More Races,"37,143","37,742","39,766","41,954","44,095","46,172","48,699","51,469","54,264","57,099","60,206","62,673","63,017"
.NOT HISPANIC,"1,544,544","1,547,444","1,557,756","1,571,522","1,580,419","1,583,904","1,596,253","1,614,660","1,629,974","1,642,743","1,655,223","1,660,032","1,662,595"
..One Race,"1,510,525","1,512,934","1,521,779","1,533,907","1,541,337","1,543,369","1,553,982","1,570,313","1,583,603","1,594,404","1,604,595","1,607,642","1,609,933"
...White,"1,409,437","1,411,140","1,417,052","1,426,185","1,431,277","1,431,987","1,439,922","1,452,676","1,462,933","1,471,066","1,478,418","1,479,934","1,481,624"
