table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 3. Intercensal Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Pennsylvania: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
"Sex, Race, and Hispanic Origin","April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,
BOTH SEXES,"12,280,548","12,284,173","12,298,970","12,331,031","12,374,658","12,410,722","12,449,990","12,510,809","12,563,937","12,612,285","12,666,858","12,702,379","12,709,630"
.One Race,"12,183,094","12,185,011","12,191,435","12,214,564","12,249,097","12,275,276","12,303,918","12,354,021","12,395,335","12,431,117","12,473,558","12,500,645","12,506,825"
..White,"10,674,562","10,670,718","10,651,965","10,645,010","10,646,774","10,638,463","10,631,953","10,643,317","10,648,442","10,649,979","10,659,092","10,663,774","10,664,819"
..Black,"1,258,914","1,261,602","1,273,174","1,287,953","1,304,608","1,323,311","1,342,155","1,364,087","1,384,015","1,403,066","1,421,059","1,431,826","1,434,966"
..AIAN,"19,772","20,164","22,059","23,896","25,790","27,809","29,735","31,717","33,991","36,226","38,449","39,735","39,921"
..Asian,"225,441","228,049","239,637","252,897","266,870","280,279","294,268","308,789","322,476","335,116","348,126","358,195","359,947"
..NHPI,"4,405","4,478","4,600","4,808","5,055","5,414","5,807","6,111","6,411","6,730","6,832","7,115","7,172"
.Two or More Races,"97,454","99,162","107,535","116,467","125,561","135,446","146,072","156,788","168,602","181,168","193,300","201,734","202,805"
.NOT HISPANIC,"11,886,483","11,885,799","11,877,509","11,883,410","11,897,201","11,900,369","11,904,941","11,927,569","11,942,459","11,954,696","11,973,041","11,982,719","11,985,633"
..One Race,"11,798,320","11,796,298","11,781,456","11,780,321","11,786,972","11,782,437","11,778,784","11,793,193","11,798,931","11,801,488","11,810,437","11,813,905","11,815,782"
...White,"10,345,866","10,339,234","10,303,880","10,277,435","10,257,703","10,227,405","10,197,333","10,181,799","10,160,699","10,138,388","10,122,518","10,108,932","10,106,536"
...Black,"1,211,597","1,213,602","1,222,501","1,234,553","1,247,102","1,259,782","1,272,522","1,288,174","1,301,595","1,314,168","1,326,090","1,333,432","1,335,884"
...AIAN,"15,285","15,288","15,585","15,835","16,117","16,393","16,562","16,764","16,948","17,090","17,271","17,168","17,236"
...Asian,"222,777","225,354","236,690","249,676","263,223","276,020","289,491","303,517","316,711","328,848","341,627","351,461","353,175"
...NHPI,"2,795","2,820","2,800","2,822","2,827","2,837","2,876","2,939","2,978","2,994","2,931","2,912","2,951"
..Two or More Races,"88,163","89,501","96,053","103,089","110,229","117,932","126,157","134,376","143,528","153,208","162,604","168,814","169,851"
.HISPANIC,"394,065","398,374","421,461","447,621","477,457","510,353","545,049","583,240","621,478","657,589","693,817","719,660","723,997"
..One Race,"384,774","388,713","409,979","434,243","462,125","492,839","525,134","560,828","596,404","629,629","663,121","686,740","691,043"
...White,"328,696","331,484","348,085","367,575","389,071","411,058","434,620","461,518","487,743","511,591","536,574","554,842","558,283"
...Black,"47,317","48,000","50,673","53,400","57,506","63,529","69,633","75,913","82,420","88,898","94,969","98,394","99,082"
...AIAN,"4,487","4,876","6,474","8,061","9,673","11,416","13,173","14,953","17,043","19,136","21,178","22,567","22,685"
...Asian,"2,664","2,695","2,947","3,221","3,647","4,259","4,777","5,272","5,765","6,268","6,499","6,734","6,772"
...NHPI,"1,610","1,658","1,800","1,986","2,228","2,577","2,931","3,172","3,433","3,736","3,901","4,203","4,221"
..Two or More Races,"9,291","9,661","11,482","13,378","15,332","17,514","19,915","22,412","25,074","27,960","30,696","32,920","32,954"
MALE,"5,929,355","5,932,174","5,944,575","5,967,199","5,996,764","6,019,973","6,044,937","6,081,497","6,111,850","6,138,990","6,169,834","6,190,363","6,194,958"
.One Race,"5,882,079","5,884,074","5,892,359","5,910,658","5,935,735","5,954,131","5,974,076","6,005,390","6,029,893","6,050,995","6,076,010","6,092,405","6,096,449"
..White,"5,165,098","5,164,273","5,159,769","5,162,350","5,170,750","5,171,910","5,174,419","5,186,254","5,192,832","5,197,712","5,206,035","5,211,302","5,212,737"
..Black,"594,012","595,355","601,626","609,886","618,712","628,590","638,231","649,604","660,052","669,305","678,918","684,677","686,321"
..AIAN,"9,816","10,026","11,032","11,956","12,952","13,977","14,982","16,073","17,245","18,478","19,455","20,146","20,234"
..Asian,"110,966","112,197","117,658","124,083","130,819","136,951","143,533","150,400","156,546","162,153","168,230","172,753","173,602"
..NHPI,"2,187","2,223","2,274","2,383","2,502","2,703","2,911","3,059","3,218","3,347","3,372","3,527","3,555"
.Two or More Races,"47,276","48,100","52,216","56,541","61,029","65,842","70,861","76,107","81,957","87,995","93,824","97,958","98,509"
.NOT HISPANIC,"5,727,543","5,728,209","5,728,942","5,738,326","5,752,529","5,758,882","5,765,961","5,783,022","5,793,898","5,802,769","5,815,144","5,822,545","5,824,859"
..One Race,"5,684,710","5,684,741","5,682,326","5,688,300","5,699,055","5,701,664","5,704,886","5,717,956","5,724,378","5,728,590","5,736,513","5,740,881","5,742,666"
...White,"4,995,292","4,993,090","4,980,306","4,972,902","4,970,211","4,960,098","4,950,321","4,948,320","4,941,511","4,934,109","4,929,610","4,925,628","4,925,246"
...Black,"570,875","571,874","576,799","583,760","590,577","597,316","603,912","612,257","619,442","625,640","632,091","636,074","637,357"
...AIAN,"7,552","7,556","7,707","7,806","7,928","8,045","8,133","8,269","8,348","8,457","8,558","8,450","8,483"
...Asian,"109,623","110,840","116,153","122,444","128,968","134,806","141,095","147,637","153,588","158,907","164,814","169,297","170,128"
...NHPI,"1,368","1,381","1,361","1,388","1,371","1,399","1,425","1,473","1,489","1,477","1,440","1,432","1,452"
..Two or More Races,"42,833","43,468","46,616","50,026","53,474","57,218","61,075","65,066","69,520","74,179","78,631","81,664","82,193"
.HISPANIC,"201,812","203,965","215,633","228,873","244,235","261,091","278,976","298,475","317,952","336,221","354,690","367,818","370,099"
..One Race,"197,369","199,333","210,033","222,358","236,680","252,467","269,190","287,434","305,515","322,405","339,497","351,524","353,783"
...White,"169,806","171,183","179,463","189,448","200,539","211,812","224,098","237,934","251,321","263,603","276,425","285,674","287,491"
...Black,"23,137","23,481","24,827","26,126","28,135","31,274","34,319","37,347","40,610","43,665","46,827","48,603","48,964"
...AIAN,"2,264","2,470","3,325","4,150","5,024","5,932","6,849","7,804","8,897","10,021","10,897","11,696","11,751"
...Asian,"1,343","1,357","1,505","1,639","1,851","2,145","2,438","2,763","2,958","3,246","3,416","3,456","3,474"
...NHPI,819,842,913,995,"1,131","1,304","1,486","1,586","1,729","1,870","1,932","2,095","2,103"
