table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 3. Intercensal Estimates of the Resident Population by Sex, Race, and Hispanic Origin for South Carolina: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
"Sex, Race, and Hispanic Origin","April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,
BOTH SEXES,"4,012,023","4,024,223","4,064,995","4,107,795","4,150,297","4,210,921","4,270,150","4,357,847","4,444,110","4,528,996","4,589,872","4,625,364","4,636,312"
.One Race,"3,982,346","3,994,061","4,031,637","4,071,214","4,110,374","4,167,613","4,223,437","4,306,832","4,388,497","4,468,363","4,524,582","4,556,877","4,567,214"
..White,"2,738,896","2,745,477","2,771,630","2,801,386","2,829,623","2,872,043","2,914,430","2,977,023","3,040,155","3,098,698","3,141,756","3,164,143","3,169,435"
..Black,"1,190,021","1,194,520","1,203,169","1,209,656","1,217,203","1,228,313","1,237,906","1,254,565","1,268,537","1,285,421","1,295,429","1,302,865","1,307,425"
..AIAN,"14,395","14,589","15,541","16,527","17,346","18,357","19,310","20,473","21,728","23,133","23,923","24,665","24,752"
..Asian,"37,183","37,618","39,212","41,351","43,718","46,241","48,895","51,637","54,727","57,416","59,657","61,247","61,635"
..NHPI,"1,851","1,857","2,085","2,294","2,484","2,659","2,896","3,134","3,350","3,695","3,817","3,957","3,967"
.Two or More Races,"29,677","30,162","33,358","36,581","39,923","43,308","46,713","51,015","55,613","60,633","65,290","68,487","69,098"
.NOT HISPANIC,"3,916,935","3,927,753","3,957,380","3,988,253","4,019,131","4,066,815","4,111,676","4,182,158","4,249,899","4,316,972","4,364,036","4,389,682","4,398,839"
..One Race,"3,888,873","3,899,246","3,926,155","3,954,275","3,982,391","4,027,164","4,069,212","4,135,973","4,199,714","4,262,449","4,305,471","4,328,388","4,337,143"
...White,"2,657,882","2,663,361","2,680,357","2,700,141","2,718,539","2,750,461","2,781,833","2,830,730","2,878,461","2,921,986","2,953,076","2,967,563","2,971,471"
...Black,"1,180,327","1,184,706","1,192,747","1,198,495","1,205,483","1,215,406","1,223,117","1,237,938","1,250,724","1,266,554","1,276,023","1,282,660","1,287,071"
...AIAN,"12,954","13,032","13,401","13,847","14,172","14,620","14,980","15,379","15,768","16,379","16,606","16,740","16,788"
...Asian,"36,379","36,817","38,228","40,283","42,602","45,008","47,507","50,087","52,868","55,444","57,677","59,237","59,612"
...NHPI,"1,331","1,330","1,422","1,509","1,595","1,669","1,775","1,839","1,893","2,086","2,089","2,188","2,201"
..Two or More Races,"28,062","28,507","31,225","33,978","36,740","39,651","42,464","46,185","50,185","54,523","58,565","61,294","61,696"
.HISPANIC,"95,088","96,470","107,615","119,542","131,166","144,106","158,474","175,689","194,211","212,024","225,836","235,682","237,473"
..One Race,"93,473","94,815","105,482","116,939","127,983","140,449","154,225","170,859","188,783","205,914","219,111","228,489","230,071"
...White,"81,014","82,116","91,273","101,245","111,084","121,582","132,597","146,293","161,694","176,712","188,680","196,580","197,964"
...Black,"9,694","9,814","10,422","11,161","11,720","12,907","14,789","16,627","17,813","18,867","19,406","20,205","20,354"
...AIAN,"1,441","1,557","2,140","2,680","3,174","3,737","4,330","5,094","5,960","6,754","7,317","7,925","7,964"
...Asian,804,801,984,"1,068","1,116","1,233","1,388","1,550","1,859","1,972","1,980","2,010","2,023"
...NHPI,520,527,663,785,889,990,"1,121","1,295","1,457","1,609","1,728","1,769","1,766"
..Two or More Races,"1,615","1,655","2,133","2,603","3,183","3,657","4,249","4,830","5,428","6,110","6,725","7,193","7,402"
MALE,"1,948,945","1,955,596","1,975,032","1,996,726","2,016,330","2,048,616","2,077,805","2,120,192","2,163,318","2,203,949","2,232,842","2,250,101","2,255,787"
.One Race,"1,934,550","1,940,972","1,958,881","1,978,964","1,996,964","2,027,513","2,055,086","2,095,441","2,136,360","2,174,499","2,201,138","2,216,842","2,222,233"
..White,"1,351,286","1,355,084","1,367,533","1,382,544","1,395,223","1,418,127","1,439,367","1,469,924","1,501,418","1,529,930","1,550,231","1,561,147","1,564,028"
..Black,"557,322","559,626","563,798","567,183","570,937","576,629","580,978","588,756","595,835","603,387","608,179","611,830","614,116"
..AIAN,"7,361","7,470","7,965","8,508","8,909","9,531","10,071","10,700","11,457","12,179","12,562","13,009","13,046"
..Asian,"17,567","17,774","18,459","19,498","20,509","21,786","23,059","24,376","25,814","26,970","28,031","28,694","28,873"
..NHPI,"1,014","1,018","1,126","1,231","1,386","1,440","1,611","1,685","1,836","2,033","2,135","2,162","2,170"
.Two or More Races,"14,395","14,624","16,151","17,762","19,366","21,103","22,719","24,751","26,958","29,450","31,704","33,259","33,554"
.NOT HISPANIC,"1,892,202","1,898,027","1,911,485","1,926,629","1,940,302","1,965,591","1,987,090","2,020,325","2,053,651","2,085,048","2,106,502","2,118,781","2,123,473"
..One Race,"1,878,630","1,884,245","1,896,427","1,910,225","1,922,580","1,946,384","1,966,599","1,998,101","2,029,518","2,058,797","2,078,326","2,089,256","2,093,751"
...White,"1,301,943","1,305,070","1,312,637","1,322,224","1,329,920","1,347,174","1,362,576","1,385,860","1,409,335","1,430,057","1,444,070","1,450,994","1,453,086"
...Black,"552,415","554,652","558,446","561,440","564,877","569,953","573,323","580,121","586,537","593,630","598,053","601,246","603,446"
...AIAN,"6,446","6,486","6,648","6,862","6,986","7,256","7,426","7,640","7,840","8,123","8,201","8,274","8,297"
...Asian,"17,116","17,328","17,942","18,904","19,932","21,135","22,321","23,546","24,808","25,895","26,927","27,612","27,782"
...NHPI,710,709,754,795,865,866,953,934,998,"1,092","1,075","1,130","1,140"
..Two or More Races,"13,572","13,782","15,058","16,404","17,722","19,207","20,491","22,224","24,133","26,251","28,176","29,525","29,722"
.HISPANIC,"56,743","57,569","63,547","70,097","76,028","83,025","90,715","99,867","109,667","118,901","126,340","131,320","132,314"
..One Race,"55,920","56,727","62,454","68,739","74,384","81,129","88,487","97,340","106,842","115,702","122,812","127,586","128,482"
...White,"49,343","50,014","54,896","60,320","65,303","70,953","76,791","84,064","92,083","99,873","106,161","110,153","110,942"
...Black,"4,907","4,974","5,352","5,743","6,060","6,676","7,655","8,635","9,298","9,757","10,126","10,584","10,670"
...AIAN,915,984,"1,317","1,646","1,923","2,275","2,645","3,060","3,617","4,056","4,361","4,735","4,749"
...Asian,451,446,517,594,577,651,738,830,"1,006","1,075","1,104","1,082","1,091"
...NHPI,304,309,372,436,521,574,658,751,838,941,"1,060","1,032","1,030"
..Two or More Races,823,842,"1,093","1,358","1,644","1,896","2,228","2,527","2,825","3,199","3,528","3,734","3,832"
FEMALE,"2,063,078","2,068,627","2,089,963","2,111,069","2,133,967","2,162,305","2,192,345","2,237,655","2,280,792","2,325,047","2,357,030","2,375,263","2,380,525"
.One Race,"2,047,796","2,053,089","2,072,756","2,092,250","2,113,410","2,140,100","2,168,351","2,211,391","2,252,137","2,293,864","2,323,444","2,340,035","2,344,981"
..White,"1,387,610","1,390,393","1,404,097","1,418,842","1,434,400","1,453,916","1,475,063","1,507,099","1,538,737","1,568,768","1,591,525","1,602,996","1,605,407"
..Black,"632,699","634,894","639,371","642,473","646,266","651,684","656,928","665,809","672,702","682,034","687,250","691,035","693,309"
..AIAN,"7,034","7,119","7,576","8,019","8,437","8,826","9,239","9,773","10,271","10,954","11,361","11,656","11,706"
..Asian,"19,616","19,844","20,753","21,853","23,209","24,455","25,836","27,261","28,913","30,446","31,626","32,553","32,762"
..NHPI,837,839,959,"1,063","1,098","1,219","1,285","1,449","1,514","1,662","1,682","1,795","1,797"
.Two or More Races,"15,282","15,538","17,207","18,819","20,557","22,205","23,994","26,264","28,655","31,183","33,586","35,228","35,544"
.NOT HISPANIC,"2,024,733","2,029,726","2,045,895","2,061,624","2,078,829","2,101,224","2,124,586","2,161,833","2,196,248","2,231,924","2,257,534","2,270,901","2,275,366"
..One Race,"2,010,243","2,015,001","2,029,728","2,044,050","2,059,811","2,080,780","2,102,613","2,137,872","2,170,196","2,203,652","2,227,145","2,239,132","2,243,392"
