table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 3. Intercensal Estimates of the Resident Population by Sex, Race, and Hispanic Origin for South Dakota: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
"Sex, Race, and Hispanic Origin","April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,
BOTH SEXES,"754,858","755,844","757,972","760,020","763,729","770,396","775,493","783,033","791,623","799,124","807,067","814,180","816,463"
.One Race,"746,225","747,122","748,619","750,029","753,103","759,170","763,416","770,325","778,137","784,919","791,860","798,297","800,251"
..White,"674,053","674,595","674,503","674,297","675,551","679,638","682,268","687,117","692,596","697,376","701,817","706,690","708,383"
..Black,"4,960","4,985","5,538","6,076","6,575","7,052","7,582","8,094","8,806","9,361","10,104","10,533","10,550"
..AIAN,"62,484","62,763","63,495","64,257","65,226","66,358","67,149","68,308","69,565","70,827","71,791","72,782","73,016"
..Asian,"4,461","4,510","4,783","5,036","5,386","5,722","5,971","6,377","6,695","6,847","7,615","7,775","7,794"
..NHPI,267,269,300,363,365,400,446,429,475,508,533,517,508
.Two or More Races,"8,633","8,722","9,353","9,991","10,626","11,226","12,077","12,708","13,486","14,205","15,207","15,883","16,212"
.NOT HISPANIC,"743,952","744,849","745,391","746,215","748,641","754,025","757,944","764,425","771,997","778,347","785,358","792,061","794,006"
..One Race,"735,796","736,607","736,586","736,853","738,743","743,596","746,796","752,791","759,666","765,409","771,518","777,606","779,435"
...White,"665,372","665,838","664,619","663,501","663,870","666,964","668,814","673,051","677,885","681,994","685,608","690,043","691,627"
...Black,"4,766","4,791","5,285","5,804","6,237","6,704","7,184","7,685","8,373","8,875","9,573","10,063","10,070"
...AIAN,"61,064","61,333","61,755","62,340","63,093","64,012","64,623","65,513","66,523","67,496","68,529","69,544","69,770"
...Asian,"4,375","4,424","4,690","4,935","5,281","5,625","5,860","6,253","6,563","6,717","7,476","7,638","7,653"
...NHPI,219,221,237,273,262,291,315,289,322,327,332,318,315
..Two or More Races,"8,156","8,242","8,805","9,362","9,898","10,429","11,148","11,634","12,331","12,938","13,840","14,455","14,571"
.HISPANIC,"10,906","10,995","12,581","13,805","15,088","16,371","17,549","18,608","19,626","20,777","21,709","22,119","22,457"
..One Race,"10,429","10,515","12,033","13,176","14,360","15,574","16,620","17,534","18,471","19,510","20,342","20,691","20,816"
...White,"8,681","8,757","9,884","10,796","11,681","12,674","13,454","14,066","14,711","15,382","16,209","16,647","16,756"
...Black,194,194,253,272,338,348,398,409,433,486,531,470,480
...AIAN,"1,420","1,430","1,740","1,917","2,133","2,346","2,526","2,795","3,042","3,331","3,262","3,238","3,246"
...Asian,86,86,93,101,105,97,111,124,132,130,139,137,141
...NHPI,48,48,63,90,103,109,131,140,153,181,201,199,193
..Two or More Races,477,480,548,629,728,797,929,"1,074","1,155","1,267","1,367","1,428","1,641"
MALE,"374,565","375,163","376,435","377,692","380,096","383,719","386,472","390,613","394,973","398,888","403,869","407,381","408,600"
.One Race,"370,265","370,820","371,772","372,711","374,795","378,186","380,528","384,376","388,346","391,933","396,391","399,544","400,594"
..White,"333,995","334,362","334,555","334,763","335,887","338,225","339,745","342,478","345,318","347,887","350,721","353,265","354,191"
..Black,"3,209","3,228","3,519","3,769","4,036","4,315","4,573","4,923","5,270","5,609","6,202","6,372","6,387"
..AIAN,"30,829","30,973","31,278","31,617","32,140","32,747","33,159","33,755","34,355","34,959","35,535","35,941","36,048"
..Asian,"2,091","2,114","2,261","2,364","2,535","2,687","2,800","3,001","3,149","3,194","3,646","3,692","3,697"
..NHPI,141,143,159,198,197,212,251,219,254,284,287,274,271
.Two or More Races,"4,300","4,343","4,663","4,981","5,301","5,533","5,944","6,237","6,627","6,955","7,478","7,837","8,006"
.NOT HISPANIC,"368,753","369,298","369,726","370,324","371,993","374,884","377,008","380,475","384,341","387,669","392,073","395,412","396,451"
..One Race,"364,693","365,197","365,345","365,661","367,066","369,750","371,529","374,787","378,313","381,374","385,288","388,314","389,294"
...White,"329,289","329,610","329,206","328,885","329,508","331,298","332,429","334,767","337,299","339,520","341,903","344,218","345,079"
...Black,"3,099","3,118","3,372","3,618","3,843","4,104","4,348","4,681","5,019","5,317","5,881","6,087","6,096"
...AIAN,"30,135","30,274","30,422","30,694","31,090","31,554","31,833","32,253","32,742","33,221","33,754","34,220","34,326"
...Asian,"2,054","2,077","2,223","2,322","2,490","2,648","2,751","2,948","3,091","3,141","3,585","3,635","3,638"
...NHPI,116,118,122,142,135,146,168,138,162,175,165,154,155
..Two or More Races,"4,060","4,101","4,381","4,663","4,927","5,134","5,479","5,688","6,028","6,295","6,785","7,098","7,157"
.HISPANIC,"5,812","5,865","6,709","7,368","8,103","8,835","9,464","10,138","10,632","11,219","11,796","11,969","12,149"
..One Race,"5,572","5,623","6,427","7,050","7,729","8,436","8,999","9,589","10,033","10,559","11,103","11,230","11,300"
