table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 3. Intercensal Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Tennessee: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
"Sex, Race, and Hispanic Origin","April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,
BOTH SEXES,"5,689,427","5,703,719","5,750,789","5,795,918","5,847,812","5,910,809","5,991,057","6,088,766","6,175,727","6,247,411","6,306,019","6,346,105","6,356,897"
.One Race,"5,641,515","5,655,049","5,697,936","5,739,037","5,786,730","5,845,403","5,920,650","6,012,939","6,094,391","6,160,428","6,213,547","6,249,900","6,259,936"
..White,"4,626,599","4,635,849","4,662,873","4,687,848","4,719,321","4,758,617","4,812,899","4,880,336","4,942,949","4,994,148","5,031,693","5,056,311","5,062,408"
..Black,"938,231","941,527","953,361","964,948","976,542","990,590","1,006,150","1,025,289","1,037,827","1,048,329","1,059,243","1,068,010","1,071,277"
..AIAN,"15,916","16,125","17,253","18,108","18,914","19,946","20,872","21,852","23,727","24,791","25,799","26,256","26,360"
..Asian,"58,263","59,008","61,638","65,080","68,694","72,693","76,828","81,183","85,203","88,277","91,483","93,897","94,450"
..NHPI,"2,506","2,540","2,811","3,053","3,259","3,557","3,901","4,279","4,685","4,883","5,329","5,426","5,441"
.Two or More Races,"47,912","48,670","52,853","56,881","61,082","65,406","70,407","75,827","81,336","86,983","92,472","96,205","96,961"
.NOT HISPANIC,"5,565,599","5,578,147","5,611,750","5,642,988","5,680,811","5,726,854","5,787,037","5,864,850","5,930,035","5,984,848","6,027,421","6,056,046","6,064,741"
..One Race,"5,519,926","5,531,813","5,561,803","5,589,627","5,623,882","5,666,226","5,722,315","5,795,514","5,855,994","5,906,037","5,943,945","5,969,557","5,977,678"
...White,"4,515,408","4,523,239","4,538,835","4,551,925","4,571,391","4,596,795","4,635,480","4,686,469","4,731,199","4,768,431","4,791,859","4,806,681","4,811,053"
...Black,"931,274","934,519","945,799","956,874","967,864","980,481","993,588","1,011,301","1,022,802","1,032,667","1,043,391","1,052,015","1,055,166"
