table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 3. Intercensal Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Utah: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
"Sex, Race, and Hispanic Origin","April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,
BOTH SEXES,"2,233,183","2,244,502","2,283,715","2,324,815","2,360,137","2,401,580","2,457,719","2,525,507","2,597,746","2,663,029","2,723,421","2,763,885","2,776,469"
.One Race,"2,205,355","2,216,233","2,252,772","2,291,322","2,324,003","2,363,132","2,416,349","2,480,839","2,549,463","2,611,206","2,668,106","2,705,771","2,717,661"
..White,"2,100,216","2,109,989","2,142,381","2,176,691","2,206,161","2,241,095","2,289,230","2,347,641","2,409,092","2,464,247","2,514,266","2,547,329","2,558,131"
..Black,"19,376","19,465","20,811","22,021","22,684","23,873","25,405","27,173","29,397","30,893","32,768","33,864","34,072"
..AIAN,"31,154","31,370","31,648","32,370","32,712","33,272","34,192","35,336","36,955","38,241","39,563","40,729","40,947"
..Asian,"38,625","39,186","40,848","42,425","43,809","45,460","47,142","49,387","51,363","53,811","56,305","57,800","58,297"
..NHPI,"15,984","16,223","17,084","17,815","18,637","19,432","20,380","21,302","22,656","24,014","25,204","26,049","26,214"
.Two or More Races,"27,828","28,269","30,943","33,493","36,134","38,448","41,370","44,668","48,283","51,823","55,315","58,114","58,808"
.NOT HISPANIC,"2,031,625","2,040,146","2,066,067","2,093,704","2,117,090","2,146,716","2,188,250","2,238,089","2,288,085","2,332,297","2,375,838","2,405,545","2,414,511"
..One Race,"2,006,749","2,014,967","2,038,915","2,064,728","2,086,314","2,114,247","2,153,805","2,201,235","2,248,453","2,290,213","2,331,218","2,358,896","2,367,368"
...White,"1,910,519","1,917,865","1,939,037","1,961,882","1,981,343","2,006,561","2,042,590","2,085,324","2,127,722","2,165,034","2,201,203","2,226,363","2,233,952"
...Black,"16,578","16,607","17,586","18,434","18,873","19,668","20,696","22,215","23,539","24,504","25,886","26,328","26,462"
...AIAN,"26,891","26,958","26,552","26,553","26,202","25,922","26,066","26,342","26,871","26,962","27,218","27,228","27,347"
...Asian,"37,531","38,075","39,547","40,995","42,296","43,790","45,304","47,371","49,159","51,340","53,516","54,794","55,264"
...NHPI,"15,230","15,462","16,193","16,864","17,600","18,306","19,149","19,983","21,162","22,373","23,395","24,183","24,343"
..Two or More Races,"24,876","25,179","27,152","28,976","30,776","32,469","34,445","36,854","39,632","42,084","44,620","46,649","47,143"
.HISPANIC,"201,558","204,356","217,648","231,111","243,047","254,864","269,469","287,418","309,661","330,732","347,583","358,340","361,958"
..One Race,"198,606","201,266","213,857","226,594","237,689","248,885","262,544","279,604","301,010","320,993","336,888","346,875","350,293"
...White,"189,697","192,124","203,344","214,809","224,818","234,534","246,640","262,317","281,370","299,213","313,063","320,966","324,179"
...Black,"2,798","2,858","3,225","3,587","3,811","4,205","4,709","4,958","5,858","6,389","6,882","7,536","7,610"
...AIAN,"4,263","4,412","5,096","5,817","6,510","7,350","8,126","8,994","10,084","11,279","12,345","13,501","13,600"
...Asian,"1,094","1,111","1,301","1,430","1,513","1,670","1,838","2,016","2,204","2,471","2,789","3,006","3,033"
...NHPI,754,761,891,951,"1,037","1,126","1,231","1,319","1,494","1,641","1,809","1,866","1,871"
..Two or More Races,"2,952","3,090","3,791","4,517","5,358","5,979","6,925","7,814","8,651","9,739","10,695","11,465","11,665"
