table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 3. Intercensal Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Vermont: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
"Sex, Race, and Hispanic Origin","April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,
BOTH SEXES,"608,613","609,618","612,223","615,442","617,858","619,920","621,215","622,892","623,481","624,151","624,817","625,741","625,960"
.One Race,"602,441","603,383","605,721","608,515","610,558","612,253","613,054","614,305","614,511","614,803","614,993","615,600","615,543"
..White,"591,213","592,031","593,614","595,803","597,224","598,348","598,555","599,014","598,657","598,535","597,923","598,592","598,607"
..Black,"3,238","3,251","3,618","3,882","4,243","4,599","4,958","5,386","5,640","6,051","6,534","6,456","6,416"
..AIAN,"2,482","2,490","2,534","2,490","2,447","2,467","2,406","2,417","2,362","2,370","2,379","2,308","2,270"
..Asian,"5,359","5,462","5,798","6,189","6,482","6,684","6,971","7,316","7,671","7,676","7,983","8,069","8,062"
..NHPI,149,149,157,151,162,155,164,172,181,171,174,175,188
.Two or More Races,"6,172","6,235","6,502","6,927","7,300","7,667","8,161","8,587","8,970","9,348","9,824","10,141","10,417"
.NOT HISPANIC,"603,107","604,062","606,119","608,865","610,930","612,576","613,461","614,755","614,989","615,228","615,543","616,533","616,532"
..One Race,"597,195","598,090","599,905","602,268","603,988","605,285","605,775","606,713","606,590","606,485","606,367","607,040","606,957"
...White,"586,384","587,155","588,287","590,076","591,226","591,990","591,941","592,125","591,478","591,023","590,153","590,890","590,891"
...Black,"3,027","3,040","3,359","3,602","3,942","4,277","4,590","5,014","5,248","5,618","6,075","6,009","5,971"
...AIAN,"2,366","2,374","2,396","2,346","2,283","2,291","2,219","2,208","2,137","2,132","2,121","2,038","2,002"
