table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 3. Intercensal Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Virginia: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
"Sex, Race, and Hispanic Origin","April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,
BOTH SEXES,"7,079,057","7,105,817","7,198,362","7,286,873","7,366,977","7,475,575","7,577,105","7,673,725","7,751,000","7,833,496","7,925,937","8,001,024","8,024,617"
.One Race,"6,983,155","7,008,098","7,092,640","7,172,637","7,244,220","7,343,299","7,434,198","7,520,206","7,586,482","7,657,670","7,737,997","7,803,721","7,825,829"
..White,"5,277,314","5,291,975","5,342,181","5,387,673","5,427,062","5,484,790","5,535,129","5,579,437","5,611,286","5,647,186","5,690,274","5,725,432","5,737,904"
..Black,"1,410,793","1,416,671","1,431,476","1,446,516","1,459,320","1,479,563","1,497,615","1,518,543","1,532,613","1,548,267","1,565,478","1,579,414","1,585,613"
..AIAN,"22,747","23,233","25,126","26,881","28,534","30,429","32,188","33,938","35,756","37,665","39,888","41,525","41,770"
..Asian,"267,711","271,565","288,780","306,208","323,616","342,482","362,814","381,441","399,640","416,988","434,370","449,149","452,281"
..NHPI,"4,590","4,654","5,077","5,359","5,688","6,035","6,452","6,847","7,187","7,564","7,987","8,201","8,261"
.Two or More Races,"95,902","97,719","105,722","114,236","122,757","132,276","142,907","153,519","164,518","175,826","187,940","197,303","198,788"
.NOT HISPANIC,"6,749,484","6,771,549","6,836,712","6,897,080","6,948,739","7,026,274","7,094,409","7,157,629","7,204,529","7,257,827","7,318,507","7,369,199","7,387,851"
..One Race,"6,660,620","6,681,105","6,739,593","6,793,032","6,837,696","6,907,301","6,966,615","7,021,193","7,058,985","7,102,809","7,153,563","7,196,506","7,213,823"
...White,"4,988,217","4,999,290","5,027,048","5,049,595","5,065,992","5,099,021","5,122,621","5,140,929","5,149,291","5,162,957","5,181,990","5,198,632","5,206,944"
...Black,"1,385,223","1,390,699","1,403,995","1,417,563","1,428,611","1,446,240","1,461,805","1,479,716","1,491,097","1,504,072","1,518,483","1,530,069","1,535,841"
...AIAN,"18,957","19,040","19,375","19,559","19,621","19,949","20,104","20,218","20,342","20,508","20,722","20,941","21,051"
...Asian,"264,731","268,542","285,427","302,412","319,409","337,830","357,624","375,710","393,471","410,256","427,171","441,621","444,707"
...NHPI,"3,492","3,534","3,748","3,903","4,063","4,261","4,461","4,620","4,784","5,016","5,197","5,243","5,280"
..Two or More Races,"88,864","90,444","97,119","104,048","111,043","118,973","127,794","136,436","145,544","155,018","164,944","172,693","174,028"
.HISPANIC,"329,573","334,268","361,650","389,793","418,238","449,301","482,696","516,096","546,471","575,669","607,430","631,825","636,766"
..One Race,"322,535","326,993","353,047","379,605","406,524","435,998","467,583","499,013","527,497","554,861","584,434","607,215","612,006"
...White,"289,097","292,685","315,133","338,078","361,070","385,769","412,508","438,508","461,995","484,229","508,284","526,800","530,960"
...Black,"25,570","25,972","27,481","28,953","30,709","33,323","35,810","38,827","41,516","44,195","46,995","49,345","49,772"
...AIAN,"3,790","4,193","5,751","7,322","8,913","10,480","12,084","13,720","15,414","17,157","19,166","20,584","20,719"
...Asian,"2,980","3,023","3,353","3,796","4,207","4,652","5,190","5,731","6,169","6,732","7,199","7,528","7,574"
...NHPI,"1,098","1,120","1,329","1,456","1,625","1,774","1,991","2,227","2,403","2,548","2,790","2,958","2,981"
..Two or More Races,"7,038","7,275","8,603","10,188","11,714","13,303","15,113","17,083","18,974","20,808","22,996","24,610","24,760"
