table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 3. Intercensal Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Washington: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
"Sex, Race, and Hispanic Origin","April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,
BOTH SEXES,"5,894,281","5,910,512","5,985,722","6,052,349","6,104,115","6,178,645","6,257,305","6,370,753","6,461,587","6,562,231","6,667,426","6,724,540","6,744,496"
.One Race,"5,733,811","5,746,877","5,813,010","5,870,257","5,912,688","5,976,668","6,044,319","6,144,844","6,222,581","6,309,323","6,399,448","6,445,434","6,463,683"
..White,"5,081,885","5,089,730","5,131,720","5,166,047","5,188,400","5,228,882","5,271,430","5,339,831","5,389,485","5,445,589","5,505,691","5,535,262","5,548,035"
..Black,"199,176","199,718","205,250","210,038","212,949","217,049","221,729","229,193","234,347","242,340","250,117","252,333","253,407"
..AIAN,"96,937","97,315","99,254","100,972","103,046","105,992","108,415","111,104","114,361","117,951","120,524","122,649","123,258"
..Asian,"330,510","334,430","349,658","364,599","378,181","392,988","409,177","429,033","446,725","463,498","480,895","491,685","495,202"
..NHPI,"25,303","25,684","27,128","28,601","30,112","31,757","33,568","35,683","37,663","39,945","42,221","43,505","43,781"
.Two or More Races,"160,470","163,635","172,712","182,092","191,427","201,977","212,986","225,909","239,006","252,908","267,978","279,106","280,813"
.NOT HISPANIC,"5,452,770","5,463,559","5,512,082","5,553,278","5,579,951","5,625,498","5,674,041","5,751,955","5,808,908","5,871,854","5,937,616","5,968,750","5,983,005"
..One Race,"5,304,447","5,312,610","5,354,115","5,387,962","5,407,385","5,444,915","5,484,972","5,552,840","5,599,827","5,651,799","5,705,932","5,728,482","5,741,161"
...White,"4,679,980","4,683,516","4,703,650","4,717,352","4,720,498","4,739,760","4,759,787","4,800,565","4,824,289","4,851,079","4,879,627","4,888,788","4,896,543"
...Black,"189,279","189,674","194,584","198,705","200,778","203,627","207,050","212,966","216,854","223,345","229,758","231,472","232,344"
...AIAN,"86,359","86,458","86,743","87,038","87,102","87,463","87,554","87,793","88,226","88,722","88,990","89,149","89,529"
...Asian,"325,554","329,332","344,234","358,620","371,533","385,303","400,352","419,428","436,533","452,691","469,459","479,752","483,179"
...NHPI,"23,275","23,630","24,904","26,247","27,474","28,762","30,229","32,088","33,925","35,962","38,098","39,321","39,566"
..Two or More Races,"148,323","150,949","157,967","165,316","172,566","180,583","189,069","199,115","209,081","220,055","231,684","240,268","241,844"
.HISPANIC,"441,511","446,953","473,640","499,071","524,164","553,147","583,264","618,798","652,679","690,377","729,810","755,790","761,491"
..One Race,"429,364","434,267","458,895","482,295","505,303","531,753","559,347","592,004","622,754","657,524","693,516","716,952","722,522"
...White,"401,905","406,214","428,070","448,695","467,902","489,122","511,643","539,266","565,196","594,510","626,064","646,474","651,492"
...Black,"9,897","10,044","10,666","11,333","12,171","13,422","14,679","16,227","17,493","18,995","20,359","20,861","21,063"
...AIAN,"10,578","10,857","12,511","13,934","15,944","18,529","20,861","23,311","26,135","29,229","31,534","33,500","33,729"
