table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 3. Intercensal Estimates of the Resident Population by Sex, Race, and Hispanic Origin for West Virginia: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
"Sex, Race, and Hispanic Origin","April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,
BOTH SEXES,"1,808,193","1,807,021","1,801,481","1,805,414","1,812,295","1,816,438","1,820,492","1,827,912","1,834,052","1,840,310","1,847,775","1,852,994","1,853,973"
.One Race,"1,794,548","1,793,228","1,786,710","1,789,645","1,795,475","1,798,484","1,801,182","1,807,456","1,812,264","1,817,084","1,823,243","1,827,495","1,828,100"
..White,"1,723,037","1,721,633","1,715,007","1,717,331","1,722,107","1,724,169","1,726,255","1,730,899","1,734,522","1,738,166","1,742,732","1,746,513","1,746,987"
..Black,"57,790","57,767","57,651","57,975","58,573","59,041","59,437","60,562","61,393","62,258","63,417","63,885","64,006"
..AIAN,"3,666","3,672","3,693","3,737","3,737","3,798","3,851","3,895","3,948","4,032","4,052","3,975","3,954"
..Asian,"9,630","9,732","9,895","10,141","10,581","11,017","11,186","11,621","11,925","12,118","12,591","12,637","12,672"
..NHPI,425,424,464,461,477,459,453,479,476,510,451,485,481
.Two or More Races,"13,645","13,793","14,771","15,769","16,820","17,954","19,310","20,456","21,788","23,226","24,532","25,499","25,873"
.NOT HISPANIC,"1,795,920","1,794,674","1,788,334","1,791,376","1,797,129","1,800,237","1,802,919","1,808,884","1,813,906","1,819,095","1,825,731","1,830,726","1,831,363"
..One Race,"1,782,567","1,781,175","1,773,912","1,776,033","1,780,833","1,782,858","1,784,352","1,789,292","1,793,069","1,796,893","1,802,322","1,806,380","1,806,878"
...White,"1,711,933","1,710,457","1,703,249","1,704,880","1,708,765","1,709,944","1,710,997","1,714,509","1,717,215","1,720,090","1,724,043","1,727,584","1,727,969"
...Black,"57,254","57,231","57,009","57,245","57,749","58,141","58,423","59,402","60,181","60,880","61,948","62,445","62,566"
...AIAN,"3,498","3,504","3,480","3,495","3,470","3,511","3,534","3,523","3,514","3,551","3,561","3,512","3,487"
...Asian,"9,536","9,638","9,789","10,033","10,456","10,888","11,026","11,463","11,766","11,952","12,406","12,446","12,474"
...NHPI,346,345,385,380,393,374,372,395,393,420,364,393,382
..Two or More Races,"13,353","13,499","14,422","15,343","16,296","17,379","18,567","19,592","20,837","22,202","23,409","24,346","24,485"
.HISPANIC,"12,273","12,347","13,147","14,038","15,166","16,201","17,573","19,028","20,146","21,215","22,044","22,268","22,610"
..One Race,"11,981","12,053","12,798","13,612","14,642","15,626","16,830","18,164","19,195","20,191","20,921","21,115","21,222"
...White,"11,104","11,176","11,758","12,451","13,342","14,225","15,258","16,390","17,307","18,076","18,689","18,929","19,018"
...Black,536,536,642,730,824,900,"1,014","1,160","1,212","1,378","1,469","1,440","1,440"
...AIAN,168,168,213,242,267,287,317,372,434,481,491,463,467
...Asian,94,94,106,108,125,129,160,158,159,166,185,191,198
...NHPI,79,79,79,81,84,85,81,84,83,90,87,92,99
..Two or More Races,292,294,349,426,524,575,743,864,951,"1,024","1,123","1,153","1,388"
MALE,"879,096","878,752","877,838","881,573","886,460","889,411","892,802","897,307","901,369","905,399","910,341","913,586","914,233"
.One Race,"872,461","872,038","870,619","873,825","878,146","880,554","883,216","887,179","890,575","893,882","898,170","900,903","901,352"
..White,"836,581","836,081","834,286","836,955","840,609","842,275","844,446","847,301","849,880","852,516","855,653","858,150","858,516"
..Black,"29,131","29,157","29,385","29,804","30,214","30,679","31,112","31,920","32,519","33,119","34,068","34,407","34,485"
..AIAN,"1,877","1,883","1,917","1,953","1,977","2,029","2,058","2,105","2,143","2,185","2,214","2,156","2,146"
..Asian,"4,667","4,713","4,807","4,887","5,114","5,352","5,384","5,609","5,810","5,789","6,015","5,941","5,956"
..NHPI,205,204,224,226,232,219,216,244,223,273,220,249,249
.Two or More Races,"6,635","6,714","7,219","7,748","8,314","8,857","9,586","10,128","10,794","11,517","12,171","12,683","12,881"
.NOT HISPANIC,"872,718","872,328","870,917","874,174","878,480","880,904","883,514","887,243","890,676","894,048","898,496","901,566","902,027"
..One Race,"866,238","865,770","863,878","866,646","870,436","872,340","874,313","877,564","880,368","883,066","886,909","889,485","889,870"
...White,"830,824","830,279","828,123","830,412","833,614","834,845","836,431","838,701","840,763","842,903","845,691","847,995","848,310"
...Black,"28,837","28,863","29,020","29,398","29,763","30,177","30,558","31,278","31,846","32,367","33,231","33,599","33,672"
...AIAN,"1,792","1,798","1,798","1,823","1,821","1,855","1,855","1,864","1,860","1,879","1,903","1,862","1,852"
...Asian,"4,623","4,669","4,757","4,832","5,052","5,291","5,298","5,524","5,723","5,696","5,912","5,833","5,843"
...NHPI,162,161,180,181,186,172,171,197,176,221,172,196,193
..Two or More Races,"6,480","6,558","7,039","7,528","8,044","8,564","9,201","9,679","10,308","10,982","11,587","12,081","12,157"
.HISPANIC,"6,378","6,424","6,921","7,399","7,980","8,507","9,288","10,064","10,693","11,351","11,845","12,020","12,206"
..One Race,"6,223","6,268","6,741","7,179","7,710","8,214","8,903","9,615","10,207","10,816","11,261","11,418","11,482"
...White,"5,757","5,802","6,163","6,543","6,995","7,430","8,015","8,600","9,117","9,613","9,962","10,155","10,206"
...Black,294,294,365,406,451,502,554,642,673,752,837,808,813
...AIAN,85,85,119,130,156,174,203,241,283,306,311,294,294
...Asian,44,44,50,55,62,61,86,85,87,93,103,108,113
...NHPI,43,43,44,45,46,47,45,47,47,52,48,53,56
