table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 3. Intercensal Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Wisconsin: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
"Sex, Race, and Hispanic Origin","April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,
BOTH SEXES,"5,363,757","5,373,999","5,406,835","5,445,162","5,479,203","5,514,026","5,546,166","5,577,655","5,610,775","5,640,996","5,669,264","5,686,986","5,691,047"
.One Race,"5,315,014","5,324,525","5,353,787","5,388,406","5,418,815","5,449,927","5,478,069","5,505,418","5,534,182","5,560,064","5,583,797","5,598,377","5,601,805"
..White,"4,864,671","4,871,484","4,889,223","4,911,636","4,931,084","4,952,000","4,969,387","4,985,569","5,002,847","5,017,423","5,030,324","5,036,923","5,038,904"
..Black,"309,136","310,480","316,863","323,469","329,090","334,119","339,638","345,509","351,506","357,415","363,022","367,021","367,753"
..AIAN,"48,325","48,554","49,462","50,616","51,731","52,828","54,053","55,182","56,594","57,734","58,819","60,100","60,238"
..Asian,"91,047","92,168","96,290","100,672","104,870","108,872","112,812","116,862","120,879","125,054","129,070","131,828","132,405"
..NHPI,"1,835","1,839","1,949","2,013","2,040","2,108","2,179","2,296","2,356","2,438","2,562","2,505","2,505"
.Two or More Races,"48,743","49,474","53,048","56,756","60,388","64,099","68,097","72,237","76,593","80,932","85,467","88,609","89,242"
.NOT HISPANIC,"5,170,835","5,178,628","5,197,064","5,221,166","5,241,738","5,263,029","5,280,645","5,296,994","5,314,525","5,330,080","5,343,585","5,350,930","5,352,828"
..One Race,"5,125,881","5,133,076","5,148,585","5,169,765","5,187,418","5,205,676","5,220,210","5,233,236","5,247,304","5,259,385","5,269,279","5,274,189","5,275,646"
...White,"4,688,598","4,693,327","4,698,727","4,708,972","4,716,994","4,726,677","4,732,052","4,735,715","4,740,067","4,742,670","4,743,944","4,742,619","4,742,771"
...Black,"301,760","302,981","308,717","314,767","319,816","324,149","328,945","333,982","339,214","344,175","348,779","352,014","352,653"
...AIAN,"44,219","44,355","44,700","45,266","45,727","46,095","46,603","46,969","47,570","47,934","48,164","48,629","48,719"
...Asian,"89,926","91,032","95,005","99,311","103,401","107,264","111,103","114,997","118,855","122,977","126,719","129,328","129,900"
...NHPI,"1,378","1,381","1,436","1,449","1,480","1,491","1,507","1,573","1,598","1,629","1,673","1,599","1,603"
..Two or More Races,"44,954","45,552","48,479","51,401","54,320","57,353","60,435","63,758","67,221","70,695","74,306","76,741","77,182"
.HISPANIC,"192,922","195,371","209,771","223,996","237,465","250,997","265,521","280,661","296,250","310,916","325,679","336,056","338,219"
..One Race,"189,133","191,449","205,202","218,641","231,397","244,251","257,859","272,182","286,878","300,679","314,518","324,188","326,159"
...White,"176,073","178,157","190,496","202,664","214,090","225,323","237,335","249,854","262,780","274,753","286,380","294,304","296,133"
...Black,"7,376","7,499","8,146","8,702","9,274","9,970","10,693","11,527","12,292","13,240","14,243","15,007","15,100"
...AIAN,"4,106","4,199","4,762","5,350","6,004","6,733","7,450","8,213","9,024","9,800","10,655","11,471","11,519"
...Asian,"1,121","1,136","1,285","1,361","1,469","1,608","1,709","1,865","2,024","2,077","2,351","2,500","2,505"
...NHPI,457,458,513,564,560,617,672,723,758,809,889,906,902
..Two or More Races,"3,789","3,922","4,569","5,355","6,068","6,746","7,662","8,479","9,372","10,237","11,161","11,868","12,060"
MALE,"2,649,094","2,654,764","2,673,188","2,693,465","2,712,302","2,731,348","2,749,105","2,765,379","2,782,993","2,798,728","2,813,161","2,822,400","2,824,977"
.One Race,"2,625,048","2,630,362","2,647,046","2,665,497","2,682,548","2,699,756","2,715,520","2,729,898","2,745,399","2,758,955","2,771,222","2,778,920","2,781,159"
..White,"2,405,310","2,409,243","2,420,049","2,432,315","2,443,773","2,455,591","2,465,756","2,474,695","2,484,352","2,492,353","2,499,131","2,502,770","2,504,241"
..Black,"149,424","150,152","153,533","156,978","159,974","162,754","165,824","168,899","172,207","175,260","178,196","180,377","180,784"
..AIAN,"24,044","24,160","24,709","25,300","25,924","26,579","27,219","27,686","28,404","28,973","29,598","30,223","30,302"
..Asian,"45,319","45,854","47,744","49,856","51,812","53,720","55,589","57,397","59,206","61,082","62,959","64,216","64,498"
..NHPI,951,953,"1,011","1,048","1,065","1,112","1,132","1,221","1,230","1,287","1,338","1,334","1,334"
.Two or More Races,"24,046","24,402","26,142","27,968","29,754","31,592","33,585","35,481","37,594","39,773","41,939","43,480","43,818"
.NOT HISPANIC,"2,544,571","2,548,937","2,559,946","2,573,012","2,585,080","2,597,248","2,608,005","2,616,800","2,626,652","2,635,147","2,642,155","2,646,269","2,647,657"
..One Race,"2,522,409","2,526,485","2,536,080","2,547,737","2,558,381","2,569,031","2,578,264","2,585,549","2,593,767","2,600,522","2,605,831","2,608,772","2,609,928"
...White,"2,309,251","2,312,059","2,316,504","2,322,604","2,328,310","2,334,497","2,338,920","2,341,683","2,344,937","2,347,058","2,348,100","2,347,858","2,348,333"
...Black,"145,808","146,474","149,552","152,714","155,428","157,829","160,541","163,170","166,096","168,669","171,075","172,867","173,219"
...AIAN,"21,919","21,991","22,216","22,517","22,818","23,033","23,304","23,414","23,716","23,883","24,009","24,231","24,280"
...Asian,"44,730","45,258","47,077","49,157","51,064","52,895","54,715","56,457","58,191","60,057","61,771","62,966","63,245"
...NHPI,701,703,731,745,761,777,784,825,827,855,876,850,851
..Two or More Races,"22,162","22,452","23,866","25,275","26,699","28,217","29,741","31,251","32,885","34,625","36,324","37,497","37,729"
.HISPANIC,"104,523","105,827","113,242","120,453","127,222","134,100","141,100","148,579","156,341","163,581","171,006","176,131","177,320"
..One Race,"102,639","103,877","110,966","117,760","124,167","130,725","137,256","144,349","151,632","158,433","165,391","170,148","171,231"
...White,"96,059","97,184","103,545","109,711","115,463","121,094","126,836","133,012","139,415","145,295","151,031","154,912","155,908"
...Black,"3,616","3,678","3,981","4,264","4,546","4,925","5,283","5,729","6,111","6,591","7,121","7,510","7,565"
...AIAN,"2,125","2,169","2,493","2,783","3,106","3,546","3,915","4,272","4,688","5,090","5,589","5,992","6,022"
...Asian,589,596,667,699,748,825,874,940,"1,015","1,025","1,188","1,250","1,253"
...NHPI,250,250,280,303,304,335,348,396,403,432,462,484,483
..Two or More Races,"1,884","1,950","2,276","2,693","3,055","3,375","3,844","4,230","4,709","5,148","5,615","5,983","6,089"
FEMALE,"2,714,663","2,719,235","2,733,647","2,751,697","2,766,901","2,782,678","2,797,061","2,812,276","2,827,782","2,842,268","2,856,103","2,864,586","2,866,070"
.One Race,"2,689,966","2,694,163","2,706,741","2,722,909","2,736,267","2,750,171","2,762,549","2,775,520","2,788,783","2,801,109","2,812,575","2,819,457","2,820,646"
..White,"2,459,361","2,462,241","2,469,174","2,479,321","2,487,311","2,496,409","2,503,631","2,510,874","2,518,495","2,525,070","2,531,193","2,534,153","2,534,663"
..Black,"159,712","160,328","163,330","166,491","169,116","171,365","173,814","176,610","179,299","182,155","184,826","186,644","186,969"
..AIAN,"24,281","24,394","24,753","25,316","25,807","26,249","26,834","27,496","28,190","28,761","29,221","29,877","29,936"
..Asian,"45,728","46,314","48,546","50,816","53,058","55,152","57,223","59,465","61,673","63,972","66,111","67,612","67,907"
..NHPI,884,886,938,965,975,996,"1,047","1,075","1,126","1,151","1,224","1,171","1,171"
.Two or More Races,"24,697","25,072","26,906","28,788","30,634","32,507","34,512","36,756","38,999","41,159","43,528","45,129","45,424"
