table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 3. Intercensal Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Wyoming: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
"Sex, Race, and Hispanic Origin","April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,
BOTH SEXES,"493,786","494,300","494,657","500,017","503,453","509,106","514,157","522,667","534,876","546,043","559,851","563,626","564,460"
.One Race,"488,012","488,503","488,584","493,591","496,706","501,996","506,593","514,701","526,342","537,024","550,280","553,872","554,362"
..White,"469,425","469,875","469,145","473,616","476,461","481,147","485,347","492,607","503,310","513,386","525,475","529,110","529,679"
..Black,"3,942","3,940","4,181","4,285","4,330","4,530","4,574","4,671","4,945","4,914","5,402","5,135","5,101"
..AIAN,"11,412","11,429","11,812","12,071","12,142","12,414","12,609","13,064","13,562","13,966","14,304","14,457","14,438"
..Asian,"2,904","2,931","3,065","3,216","3,361","3,480","3,630","3,878","4,030","4,255","4,596","4,649","4,640"
..NHPI,329,328,381,403,412,425,433,481,495,503,503,521,504
.Two or More Races,"5,774","5,797","6,073","6,426","6,747","7,110","7,564","7,966","8,534","9,019","9,571","9,754","10,098"
.NOT HISPANIC,"462,116","462,301","461,701","465,763","468,029","472,105","475,579","482,234","491,854","500,094","511,082","513,395","513,769"
..One Race,"456,997","457,157","456,361","460,155","462,186","466,015","469,174","475,572","484,728","492,620","503,149","505,372","505,614"
...White,"440,153","440,281","438,909","442,344","444,231","447,613","450,600","456,366","464,915","472,449","482,058","484,472","484,769"
...Black,"3,536","3,531","3,728","3,812","3,837","3,995","3,984","4,060","4,283","4,251","4,615","4,389","4,361"
...AIAN,"10,302","10,313","10,540","10,657","10,664","10,824","10,868","11,160","11,390","11,587","11,839","11,811","11,800"
...Asian,"2,728","2,755","2,856","3,004","3,124","3,241","3,388","3,623","3,767","3,967","4,274","4,327","4,324"
...NHPI,278,277,328,338,330,342,334,363,373,366,363,373,360
..Two or More Races,"5,119","5,144","5,340","5,608","5,843","6,090","6,405","6,662","7,126","7,474","7,933","8,023","8,155"
.HISPANIC,"31,670","31,999","32,956","34,254","35,424","37,001","38,578","40,433","43,022","45,949","48,769","50,231","50,691"
..One Race,"31,015","31,346","32,223","33,436","34,520","35,981","37,419","39,129","41,614","44,404","47,131","48,500","48,748"
...White,"29,272","29,594","30,236","31,272","32,230","33,534","34,747","36,241","38,395","40,937","43,417","44,638","44,910"
...Black,406,409,453,473,493,535,590,611,662,663,787,746,740
...AIAN,"1,110","1,116","1,272","1,414","1,478","1,590","1,741","1,904","2,172","2,379","2,465","2,646","2,638"
...Asian,176,176,209,212,237,239,242,255,263,288,322,322,316
...NHPI,51,51,53,65,82,83,99,118,122,137,140,148,144
..Two or More Races,655,653,733,818,904,"1,020","1,159","1,304","1,408","1,545","1,638","1,731","1,943"
MALE,"248,385","248,716","249,330","252,232","254,325","257,600","260,431","265,306","272,100","278,061","285,805","287,437","287,946"
.One Race,"245,512","245,837","246,308","249,038","250,925","254,048","256,630","261,313","267,775","273,525","281,019","282,541","282,862"
..White,"236,086","236,381","236,468","238,889","240,663","243,498","245,791","249,939","256,074","261,525","268,246","269,854","270,200"
..Black,"2,266","2,271","2,404","2,471","2,491","2,595","2,677","2,736","2,946","2,886","3,244","3,061","3,048"
..AIAN,"5,769","5,780","5,949","6,111","6,135","6,240","6,385","6,665","6,803","7,034","7,255","7,314","7,304"
..Asian,"1,232","1,247","1,305","1,374","1,436","1,487","1,558","1,724","1,704","1,823","2,011","2,035","2,032"
..NHPI,159,158,182,193,200,228,219,249,248,257,263,277,278
.Two or More Races,"2,873","2,879","3,022","3,194","3,400","3,552","3,801","3,993","4,325","4,536","4,786","4,896","5,084"
.NOT HISPANIC,"232,052","232,205","232,218","234,361","235,824","238,265","240,305","244,238","249,620","253,996","260,130","261,003","261,244"
..One Race,"229,487","229,632","229,536","231,557","232,862","235,216","237,092","240,894","245,998","250,233","256,160","256,966","257,141"
...White,"220,923","221,045","220,686","222,507","223,772","225,916","227,638","231,046","235,913","239,991","245,337","246,309","246,503"
...Black,"2,086","2,088","2,194","2,244","2,242","2,332","2,369","2,415","2,606","2,536","2,832","2,680","2,669"
...AIAN,"5,212","5,219","5,307","5,383","5,376","5,420","5,481","5,655","5,732","5,845","5,950","5,902","5,896"
...Asian,"1,138","1,153","1,200","1,270","1,320","1,369","1,438","1,598","1,571","1,677","1,856","1,881","1,879"
...NHPI,128,127,149,153,152,179,166,180,176,184,185,194,194
..Two or More Races,"2,565","2,573","2,682","2,804","2,962","3,049","3,213","3,344","3,622","3,763","3,970","4,037","4,103"
