State,Year,Total Population
Alabama,1970,3431908
Alaska,1970,304738
Arizona,1970,1790701
Arkansas,1970,1915073
California,1970,19913149
Colorado,1970,2212911
Connecticut,1970,3017146
Delaware,1970,548338
District of Columbia,1970,750466
Florida,1970,6812095
Georgia,1970,4586499
Hawaii,1970,773348
Idaho,1970,712793
Illinois,1970,11053412
Indiana,1970,5168565
Iowa,1970,2800376
Kansas,1970,2225531
Kentucky,1970,3211144
Louisiana,1970,3636934
Maine,1970,988759
Maryland,1970,3923887
Massachusetts,1970,5650622
Michigan,1970,8849410
Minnesota,1970,3783182
Mississippi,1970,2210044
Missouri,1970,4643228
Montana,1970,691703
Nebraska,1970,1473479
Nevada,1970,493293
New Hampshire,1970,736443
New Jersey,1970,7149059
New Mexico,1970,1019669
New York,1970,18142958
North Carolina,1970,5080723
North Dakota,1970,614156
Ohio,1970,10599517
Oklahoma,1970,2547483
Oregon,1970,2085516
Pennsylvania,1970,11731972
Rhode Island,1970,945254
South Carolina,1970,2592832
South Dakota,1970,660869
Tennessee,1970,3915711
Texas,1970,11191123
Utah,1970,1062120
Vermont,1970,442641
Virginia,1970,4646006
Washington,1970,3393996
West Virginia,1970,1735113
Wisconsin,1970,4391235
Wyoming,1970,331850
Alabama,1971,3473748
Alaska,1971,315779
Arizona,1971,1886516
Arkansas,1971,1953491
California,1971,20205245
Colorado,1971,2287432
Connecticut,1971,3039159
Delaware,1971,561853
District of Columbia,1971,745479
Florida,1971,7104364
Georgia,1971,4683457
Hawaii,1971,798169
Idaho,1971,733158
Illinois,1971,11126201
Indiana,1971,5210732
Iowa,1971,2820085
Kansas,1971,2222503
Kentucky,1971,3272621
Louisiana,1971,3689033
Maine,1971,1005922
Maryland,1971,4001630
Massachusetts,1971,5687775
Michigan,1971,8918554
Minnesota,1971,3817836
Mississippi,1971,2248403
Missouri,1971,4678026
Montana,1971,704808
Nebraska,1971,1488108
Nevada,1971,518177
New Hampshire,1971,755721
New Jersey,1971,7235276
New Mexico,1971,1048316
New York,1971,18234901
North Carolina,1971,5172733
North Dakota,1971,621081
Ohio,1971,10658344
Oklahoma,1971,2593635
Oregon,1971,2131261
Pennsylvania,1971,11794769
Rhode Island,1971,956243
South Carolina,1971,2649093
South Dakota,1971,664686
Tennessee,1971,3982179
Texas,1971,11437117
Utah,1971,1095009
Vermont,1971,450198
Virginia,1971,4725896
Washington,1971,3419558
West Virginia,1971,1755530
Wisconsin,1971,4422946
Wyoming,1971,337827
Alabama,1972,3515508
Alaska,1972,325835
Arizona,1972,1998490
Arkansas,1972,1998889
California,1972,20436654
Colorado,1972,2387803
Connecticut,1972,3045919
Delaware,1972,570295
District of Columbia,1972,738468
Florida,1972,7456596
Georgia,1972,4779185
Hawaii,1972,824286
Idaho,1972,757293
Illinois,1972,11174694
Indiana,1972,5255361
Iowa,1972,2827321
Kansas,1972,2230752
Kentucky,1972,3309410
Louisiana,1972,3739540
Maine,1972,1024689
Maryland,1972,4059090
Massachusetts,1972,5708823
Michigan,1972,8968409
Minnesota,1972,3830843
Mississippi,1972,2289656
Missouri,1972,4706822
Montana,1972,712564
Nebraska,1972,1501290
Nevada,1972,544825
New Hampshire,1972,774897
New Jersey,1972,7287320
New Mexico,1972,1072476
New York,1972,18214917
North Carolina,1972,5266738
North Dakota,1972,625062
Ohio,1972,10667305
Oklahoma,1972,2632338
Oregon,1972,2175610
Pennsylvania,1972,11810679
Rhode Island,1972,968191
South Carolina,1972,2705073
South Dakota,1972,670162
Tennessee,1972,4059125
Texas,1972,11682533
Utah,1972,1128540
Vermont,1972,458861
Virginia,1972,4799909
Washington,1972,3417855
West Virginia,1972,1781604
Wisconsin,1972,4459522
Wyoming,1972,344518
Alabama,1973,3555322
Alaska,1973,332541
Arizona,1973,2114176
Arkansas,1973,2038603
California,1973,20711859
Colorado,1973,2478283
Connecticut,1973,3044021
Delaware,1973,575387
District of Columbia,1973,728231
Florida,1973,7858321
Georgia,1973,4877766
Hawaii,1973,846947
Idaho,1973,775786
Illinois,1973,11173075
Indiana,1973,5286726
Iowa,1973,2829515
Kansas,1973,2238446
Kentucky,1973,3343929
Louisiana,1973,3765548
Maine,1973,1035927
Maryland,1973,4085833
Massachusetts,1973,5728018
Michigan,1973,9012581
Minnesota,1973,3847216
Mississippi,1973,2331641
Missouri,1973,4726593
Montana,1973,720419
Nebraska,1973,1510802
Nevada,1973,566817
New Hampshire,1973,794668
New Jersey,1973,7283514
New Mexico,1973,1098552
New York,1973,18051067
North Carolina,1973,5351632
North Dakota,1973,626217
Ohio,1973,10684310
Oklahoma,1973,2667954
Oregon,1973,2218233
Pennsylvania,1973,11787095
Rhode Island,1973,969370
South Carolina,1973,2761439
South Dakota,1973,671248
Tennessee,1973,4107938
Texas,1973,11939153
Utah,1973,1162424
Vermont,1973,464024
Virginia,1973,4877069
Washington,1973,3446731
West Virginia,1973,1789429
Wisconsin,1973,4477666
Wyoming,1973,350864
Alabama,1974,3600638
Alaska,1974,344053
Arizona,1974,2212121
Arkansas,1974,2079445
California,1974,21006985
Colorado,1974,2522742
Connecticut,1974,3048973
Delaware,1974,579213
District of Columbia,1974,715100
Florida,1974,8241621
Georgia,1974,4963921
Hawaii,1974,862614
Idaho,1974,801313
Illinois,1974,11181707
Indiana,1974,5305403
Iowa,1974,2831695
Kansas,1974,2240597
Kentucky,1974,3388076
Louisiana,1974,3796225
Maine,1974,1049107
Maryland,1974,4108634
Massachusetts,1974,5718258
Michigan,1974,9046612
Minnesota,1974,3858264
Mississippi,1974,2359661
Missouri,1974,4735052
Montana,1974,729832
Nebraska,1974,1519101
Nevada,1974,594400
New Hampshire,1974,809579
New Jersey,1974,7280127
New Mexico,1974,1123432
New York,1974,17920140
North Carolina,1974,5428143
North Dakota,1974,627672
Ohio,1974,10678569
Oklahoma,1974,2704940
Oregon,1974,2258995
Pennsylvania,1974,11760387
Rhode Island,1974,944398
South Carolina,1974,2828239
South Dakota,1974,671666
Tennessee,1974,4169389
Texas,1974,12182782
Utah,1974,1192054
Vermont,1974,468390
Virginia,1974,4946581
Washington,1974,3515722
West Virginia,1974,1797443
Wisconsin,1974,4495069
Wyoming,1974,361866
Alabama,1975,3651754
Alaska,1975,370266
Arizona,1975,2273029
Arkansas,1975,2136596
California,1975,21361461
Colorado,1975,2566596
Connecticut,1975,3056238
Delaware,1975,584578
District of Columbia,1975,704456
Florida,1975,8459715
Georgia,1975,5025914
Hawaii,1975,880103
Idaho,1975,825009
Illinois,1975,11209629
Indiana,1975,5304574
Iowa,1975,2843547
Kansas,1975,2250229
Kentucky,1975,3438639
Louisiana,1975,3861190
Maine,1975,1061889
Maryland,1975,4131062
Massachusetts,1975,5700400
Michigan,1975,9041569
Minnesota,1975,3883323
Mississippi,1975,2380168
Missouri,1975,4742865
Montana,1975,741375
Nebraska,1975,1521920
Nevada,1975,617341
New Hampshire,1975,822237
New Jersey,1975,7282990
New Mexico,1975,1156126
New York,1975,17870729
North Carolina,1975,5500108
North Dakota,1975,631748
Ohio,1975,10679364
Oklahoma,1975,2743231
Oregon,1975,2301387
Pennsylvania,1975,11788875
Rhode Island,1975,936760
South Carolina,1975,2884395
South Dakota,1975,672849
Tennessee,1975,4226960
Texas,1975,12478210
Utah,1975,1226823
Vermont,1975,474910
Virginia,1975,5022920
Washington,1975,3585067
West Virginia,1975,1823299
Wisconsin,1975,4524211
Wyoming,1975,377647
Alabama,1976,3707769
Alaska,1976,392408
Arizona,1976,2333678
Arkansas,1976,2146530
California,1976,21754163
Colorado,1976,2612250
Connecticut,1976,3056827
Delaware,1976,588484
District of Columbia,1976,690479
Florida,1976,8607776
Georgia,1976,5092838
Hawaii,1976,897548
Idaho,1976,850035
