State,Year,Total Population
ALABAMA,1995,4262731
ALASKA,1995,601345
ARIZONA,1995,4306908
ARKANSAS,1995,2480121
CALIFORNIA,1995,31493525
COLORADO,1995,3738061
CONNECTICUT,1995,3265293
DELAWARE,1995,718265
DISTRICT OF COLUMBIA,1995,551273
FLORIDA,1995,14185403
GEORGIA,1995,7188538
HAWAII,1995,1180490
IDAHO,1995,1165000
ILLINOIS,1995,11884935
INDIANA,1995,5791819
IOWA,1995,2840860
KANSAS,1995,2586942
KENTUCKY,1995,3855248
LOUISIANA,1995,4327978
MAINE,1995,1237438
MARYLAND,1995,5023650
MASSACHUSETTS,1995,6062335
MICHIGAN,1995,9659871
MINNESOTA,1995,4605445
MISSISSIPPI,1995,2690788
MISSOURI,1995,5324610
MONTANA,1995,868522
NEBRASKA,1995,1635142
NEVADA,1995,1525777
NEW HAMPSHIRE,1995,1145604
NEW JERSEY,1995,7965523
NEW MEXICO,1995,1682417
NEW YORK,1995,18150928
NORTH CAROLINA,1995,7185403
NORTH DAKOTA,1995,641548
OHIO,1995,11155493
OKLAHOMA,1995,3265547
OREGON,1995,3141421
PENNSYLVANIA,1995,12044780
RHODE ISLAND,1995,989203
SOUTH CAROLINA,1995,3699943
SOUTH DAKOTA,1995,728251
TENNESSEE,1995,5241168
TEXAS,1995,18679706
UTAH,1995,1976774
VERMONT,1995,582827
VIRGINIA,1995,6601392
WASHINGTON,1995,5431024
WEST VIRGINIA,1995,1820560
WISCONSIN,1995,5137004
WYOMING,1995,478447
