State,Year,Total_Population
1996,ALABAMA,4290403
1996,ALASKA,604918
1996,ARIZONA,4432308
1996,ARKANSAS,2504858
1996,CALIFORNIA,31780829
1996,COLORADO,3812716
1996,CONNECTICUT,3267030
1996,DELAWARE,727090
1996,DISTRICT OF COLUMBIA,538273
1996,FLORIDA,14426911
1996,GEORGIA,7332225
1996,HAWAII,1184434
1996,IDAHO,1187706
1996,ILLINOIS,11953003
1996,INDIANA,5834908
1996,IOWA,2848473
1996,KANSAS,2598266
1996,KENTUCKY,3881051
1996,LOUISIANA,4338763
1996,MAINE,1241436
1996,MARYLAND,5057142
1996,MASSACHUSETTS,6085393
1996,MICHIGAN,9739184
1996,MINNESOTA,4647723
1996,MISSISSIPPI,2709925
1996,MISSOURI,5367888
1996,MONTANA,876656
1996,NEBRASKA,1647657
1996,NEVADA,1596476
1996,NEW HAMPSHIRE,1160768
1996,NEW JERSEY,8009624
1996,NEW MEXICO,1706151
1996,NEW YORK,18143805
1996,NORTH CAROLINA,7307658
1996,NORTH DAKOTA,642858
1996,OHIO,11187032
1996,OKLAHOMA,3289634
1996,OREGON,3195087
1996,PENNSYLVANIA,12038008
1996,RHODE ISLAND,987858
1996,SOUTH CAROLINA,3738974
1996,SOUTH DAKOTA,730699
1996,TENNESSEE,5313576
1996,TEXAS,19006240
1996,UTAH,2022253
1996,VERMONT,586352
1996,VIRGINIA,6665491
1996,WASHINGTON,5509963
1996,WEST VIRGINIA,1818983
1996,WISCONSIN,5173828
1996,WYOMING,480085
