State,Year,Total Population
Alabama,1993,4193114
Alaska,1993,596993
Arizona,1993,3993390
Arkansas,1993,2423743
California,1993,31147208
Colorado,1993,3560884
Connecticut,1993,3272325
Delaware,1993,699475
District Of Columbia,1993,576358
Florida,1993,13713593
Georgia,1993,6894092
Hawaii,1993,1161508
Idaho,1993,1101204
Illinois,1993,11725984
Indiana,1993,5701965
Iowa,1993,2820525
Kansas,1993,2547605
Kentucky,1993,3792288
Louisiana,1993,4284749
Maine,1993,1238256
Maryland,1993,4942504
Massachusetts,1993,6010884
Michigan,1993,9529240
Minnesota,1993,4521709
Mississippi,1993,2635574
Missouri,1993,5237757
Montana,1993,839876
Nebraska,1993,1612149
Nevada,1993,1380197
New Hampshire,1993,1122191
New Jersey,1993,7874891
New Mexico,1993,1614937
New York,1993,18140894
North Carolina,1993,6947412
North Dakota,1993,637229
Ohio,1993,11070385
Oklahoma,1993,3228829
Oregon,1993,3034490
Pennsylvania,1993,12022128
Rhode Island,1993,997852
South Carolina,1993,3634507
South Dakota,1993,716258
Tennessee,1993,5085666
Texas,1993,17996764
Utah,1993,1875993
Vermont,1993,574004
Virginia,1993,6464795
Washington,1993,5247704
West Virginia,1993,1816179
Wisconsin,1993,5055318
Wyoming,1993,469033
