(ST-99-45) States Ranked by Black Population, July 1, 1999
  
Source:  Population Estimates Program, Population Division, U.S. Census Bureau, Washington, DC  20233
  
Internet Release Date:  August 30, 2000
  
Contact:  Statistical Information Staff, Population Division, U.S. Census Bureau (301-457-2422)
           pop@census.gov (please include a phone number with email correspondence)

                               Estimated        4/1/90                        |-----7/1/99-----|
                                   Black    Population |--4/1/90 to 7/1/99--|            Rank of
                             Population,     Estimates        Numeric Percent   Percent  Percent
Rank STATE                        7/1/99          Base         Change  Change     Black    Black
                                                                                                
   1 NEW YORK                  3,222,461     3,065,158        157,303     5.1      17.7       11
   2 CALIFORNIA                2,487,006     2,309,935        177,071     7.7       7.5       26
   3 TEXAS                     2,470,194     2,048,099        422,095    20.6      12.3       18
   4 FLORIDA                   2,333,424     1,772,424        561,000    31.7      15.4       14
   5 GEORGIA                   2,235,897     1,751,180        484,717    27.7      28.7        5
   6 ILLINOIS                  1,854,173     1,707,405        146,768     8.6      15.3       15
   7 NORTH CAROLINA            1,686,143     1,461,563        224,580    15.4      22.0        8
   8 MARYLAND                  1,454,381     1,196,221        258,160    21.6      28.1        6
   9 MICHIGAN                  1,415,201     1,298,365        116,836     9.0      14.3       17
  10 LOUISIANA                 1,415,195     1,303,323        111,872     8.6      32.4        3
  11 VIRGINIA                  1,384,651     1,168,283        216,368    18.5      20.1        9
  12 OHIO                      1,304,126     1,159,796        144,330    12.4      11.6       19
  13 NEW JERSEY                1,197,430     1,077,119        120,311    11.2      14.7       16
  14 PENNSYLVANIA              1,170,095     1,105,025         65,070     5.9       9.8       21
  15 SOUTH CAROLINA            1,156,946     1,041,514        115,432    11.1      29.8        4
  16 ALABAMA                   1,138,726     1,021,418        117,308    11.5      26.1        7
  17 MISSISSIPPI               1,010,216       917,454         92,762    10.1      36.5        2
  18 TENNESSEE                   912,577       779,205        133,372    17.1      16.6       12
  19 MISSOURI                    617,148       549,719         67,429    12.3      11.3       20
  20 INDIANA                     497,976       434,307         63,669    14.7       8.4       23
  21 ARKANSAS                    410,821       374,406         36,415     9.7      16.1       13
  22 MASSACHUSETTS               405,159       327,440         77,719    23.7       6.6       28
  23 DISTRICT OF COLUMBIA        318,657       402,472        -83,815   -20.8      61.4        1
  24 CONNECTICUT                 308,772       282,103         26,669     9.5       9.4       22
  25 WISCONSIN                   293,367       246,797         46,570    18.9       5.6       30
  26 KENTUCKY                    288,336       264,171         24,165     9.1       7.3       27
  27 OKLAHOMA                    262,136       235,712         26,424    11.2       7.8       24
  28 WASHINGTON                  203,853       152,569         51,284    33.6       3.5       36
  29 COLORADO                    176,277       135,995         40,282    29.6       4.3       32
  30 ARIZONA                     175,506       114,960         60,546    52.7       3.7       35
  31 KANSAS                      157,176       144,741         12,435     8.6       5.9       29
  32 DELAWARE                    149,290       113,453         35,837    31.6      19.8       10
  33 MINNESOTA                   148,596        96,173         52,423    54.5       3.1       37
  34 NEVADA                      140,031        79,862         60,169    75.3       7.7       25
  35 NEBRASKA                     68,067        57,862         10,205    17.6       4.1       33
  36 OREGON                       62,012        47,017         14,995    31.9       1.9       42
  37 IOWA                         58,013        48,417          9,596    19.8       2.0       41
  38 WEST VIRGINIA                56,108        56,398           -290    -0.5       3.1       38
  39 RHODE ISLAND                 50,292        43,317          6,975    16.1       5.1       31
  40 NEW MEXICO                   45,792        31,651         14,141    44.7       2.6       40
  41 HAWAII                       33,752        27,947          5,805    20.8       2.8       39
  42 ALASKA                       24,067        22,833          1,234     5.4       3.9       34
  43 UTAH                         19,481        12,082          7,399    61.2       0.9       43
  44 NEW HAMPSHIRE                 9,044         7,358          1,686    22.9       0.8       45
  45 IDAHO                         7,561         3,519          4,042   114.9       0.6       48
  46 MAINE                         6,258         5,194          1,064    20.5       0.5       50
  47 SOUTH DAKOTA                  5,099         3,291          1,808    54.9       0.7       46
  48 WYOMING                       4,210         3,723            487    13.1       0.9       44
  49 NORTH DAKOTA                  4,118         3,567            551    15.4       0.6       47
  50 VERMONT                       3,184         1,973          1,211    61.4       0.5       49
  51 MONTANA                       3,168         2,424            744    30.7       0.4       51
