Year,State_Code,Age,state_pop
1991,1,0,60561
1991,1,1,59429
1991,1,2,57308
1991,1,3,55976
1991,1,4,56497
1991,1,5,56937
1991,1,6,57202
1991,1,7,55983
1991,1,8,55331
1991,1,9,60103
1991,1,10,60990
1991,1,11,61659
1991,1,12,58964
1991,1,13,58934
1991,1,14,59328
1991,1,15,57736
1991,1,16,59847
1991,1,17,61740
1991,1,18,61517
1991,1,19,68550
1991,1,20,71603
1991,1,21,67448
1991,1,22,61899
1991,1,23,58634
1991,1,24,59386
1991,1,25,59157
1991,1,26,61592
1991,1,27,63616
1991,1,28,61001
1991,1,29,68162
1991,1,30,66452
1991,1,31,65658
1991,1,32,65522
1991,1,33,66036
1991,1,34,69473
1991,1,35,66270
1991,1,36,64735
1991,1,37,64284
1991,1,38,58691
1991,1,39,63683
1991,1,40,59423
1991,1,41,58612
1991,1,42,58204
1991,1,43,57468
1991,1,44,63696
1991,1,45,45310
1991,1,46,45798
1991,1,47,46758
1991,1,48,46800
1991,1,49,45143
1991,1,50,42189
1991,1,51,39730
1991,1,52,39466
1991,1,53,39685
1991,1,54,38534
1991,1,55,37558
1991,1,56,39017
1991,1,57,36605
1991,1,58,34688
1991,1,59,36906
1991,1,60,36719
1991,1,61,35947
1991,1,62,35419
1991,1,63,37168
1991,1,64,37164
1991,1,65,34737
1991,1,66,34296
1991,1,67,33888
1991,1,68,31753
1991,1,69,32141
1991,1,70,32505
1991,1,71,29518
1991,1,72,27109
1991,1,73,24060
1991,1,74,23160
1991,1,75,23834
1991,1,76,22833
1991,1,77,21391
1991,1,78,20261
1991,1,79,18831
1991,1,80,16731
1991,1,81,14577
1991,1,82,13327
1991,1,83,12636
1991,1,84,11073
1991,1,85,50463
1991,2,0,11567
1991,2,1,11999
1991,2,2,11582
1991,2,3,11134
1991,2,4,11221
1991,2,5,11245
1991,2,6,11031
1991,2,7,10686
1991,2,8,10418
1991,2,9,10816
1991,2,10,10299
1991,2,11,9900
1991,2,12,9289
1991,2,13,8845
1991,2,14,8660
1991,2,15,8095
1991,2,16,8020
1991,2,17,7703
1991,2,18,7828
1991,2,19,8209
1991,2,20,8100
1991,2,21,8116
1991,2,22,7780
1991,2,23,7654
1991,2,24,8271
1991,2,25,8803
1991,2,26,9558
1991,2,27,10230
1991,2,28,10235
1991,2,29,11544
1991,2,30,11666
1991,2,31,11584
1991,2,32,11628
1991,2,33,11826
1991,2,34,12380
1991,2,35,12277
1991,2,36,12186
1991,2,37,11919
1991,2,38,10982
1991,2,39,11784
1991,2,40,10856
1991,2,41,10344
1991,2,42,9678
1991,2,43,9135
1991,2,44,9809
1991,2,45,7008
1991,2,46,6946
1991,2,47,6723
1991,2,48,6568
1991,2,49,6145
1991,2,50,5602
1991,2,51,4965
1991,2,52,4610
1991,2,53,4415
1991,2,54,4119
1991,2,55,3893
1991,2,56,3920
1991,2,57,3478
1991,2,58,3067
1991,2,59,3067
1991,2,60,3094
1991,2,61,2968
1991,2,62,2688
1991,2,63,2594
1991,2,64,2412
1991,2,65,2244
1991,2,66,2152
1991,2,67,2101
1991,2,68,1795
1991,2,69,1791
1991,2,70,1654
1991,2,71,1442
1991,2,72,1323
1991,2,73,1127
1991,2,74,1050
1991,2,75,978
1991,2,76,877
1991,2,77,750
1991,2,78,706
1991,2,79,648
1991,2,80,553
1991,2,81,449
1991,2,82,412
1991,2,83,370
1991,2,84,322
1991,2,85,1355
1991,4,0,67488
1991,4,1,65533
1991,4,2,62161
1991,4,3,60136
1991,4,4,59985
1991,4,5,59701
1991,4,6,58775
1991,4,7,56513
1991,4,8,55413
1991,4,9,59308
1991,4,10,58267
1991,4,11,56993
1991,4,12,53714
1991,4,13,52220
1991,4,14,52141
1991,4,15,50351
1991,4,16,51367
1991,4,17,49671
1991,4,18,49469
1991,4,19,55571
1991,4,20,60076
1991,4,21,58673
1991,4,22,55020
1991,4,23,53602
1991,4,24,55834
1991,4,25,57161
1991,4,26,60423
1991,4,27,63102
1991,4,28,61281
1991,4,29,68410
1991,4,30,66719
1991,4,31,65013
1991,4,32,63584
1991,4,33,63231
1991,4,34,64597
1991,4,35,61327
1991,4,36,59363
1991,4,37,58232
1991,4,38,53299
1991,4,39,58441
1991,4,40,54191
1991,4,41,52313
1991,4,42,50899
1991,4,43,50255
1991,4,44,55605
1991,4,45,39256
1991,4,46,39293
1991,4,47,39683
1991,4,48,39777
1991,4,49,38255
1991,4,50,35350
1991,4,51,32670
1991,4,52,32040
1991,4,53,31676
1991,4,54,30655
1991,4,55,29545
1991,4,56,30584
1991,4,57,29010
1991,4,58,27206
1991,4,59,29433
1991,4,60,30440
1991,4,61,30399
1991,4,62,29941
1991,4,63,31062
1991,4,64,31636
1991,4,65,32111
1991,4,66,32504
1991,4,67,32458
1991,4,68,31626
1991,4,69,32846
1991,4,70,30976
1991,4,71,28426
1991,4,72,27259
1991,4,73,25502
1991,4,74,24372
1991,4,75,22790
1991,4,76,21482
1991,4,77,19976
1991,4,78,18974
1991,4,79,16917
1991,4,80,14704
1991,4,81,13344
1991,4,82,11847
1991,4,83,10867
1991,4,84,9152
1991,4,85,40922
1991,5,0,34569
1991,5,1,34344
1991,5,2,33387
1991,5,3,32839
1991,5,4,33265
1991,5,5,33736
1991,5,6,34062
1991,5,7,33742
1991,5,8,33536
1991,5,9,36087
1991,5,10,36652
1991,5,11,36746
1991,5,12,34982
