State,Year,Total_Population
1990,ALABAMA,4048508
1990,ALASKA,553120
1990,ARIZONA,3679056
1990,ARKANSAS,2354343
1990,CALIFORNIA,29950111
1990,COLORADO,3303862
1990,CONNECTICUT,3289056
1990,DELAWARE,669063
1990,DISTRICT OF COLUMBIA,603814
1990,FLORIDA,13018365
1990,GEORGIA,6506531
1990,HAWAII,1112703
1990,IDAHO,1011882
1990,ILLINOIS,11446979
1990,INDIANA,5555097
1990,IOWA,2779769
1990,KANSAS,2480683
1990,KENTUCKY,3692584
1990,LOUISIANA,4219179
1990,MAINE,1231296
1990,MARYLAND,4797431
1990,MASSACHUSETTS,6018664
1990,MICHIGAN,9310462
1990,MINNESOTA,4387283
1990,MISSISSIPPI,2577426
1990,MISSOURI,5126370
1990,MONTANA,799824
1990,NEBRASKA,1580664
1990,NEVADA,1218629
1990,NEW HAMPSHIRE,1111831
1990,NEW JERSEY,7757158
1990,NEW MEXICO,1519933
1990,NEW YORK,18002855
1990,NORTH CAROLINA,6656987
1990,NORTH DAKOTA,637364
1990,OHIO,10861837
1990,OKLAHOMA,3147105
1990,OREGON,2858547
1990,PENNSYLVANIA,11895604
1990,RHODE ISLAND,1004649
1990,SOUTH CAROLINA,3499064
1990,SOUTH DAKOTA,696667
1990,TENNESSEE,4890626
1990,TEXAS,17044714
1990,UTAH,1729722
1990,VERMONT,564526
1990,VIRGINIA,6213526
1990,WASHINGTON,4900780
1990,WEST VIRGINIA,1792481
1990,WISCONSIN,4902265
1990,WYOMING,453401
